RecommendationID,ProductID,MaterialID,RankingScore,CO2ImpactIndex,CostEfficiencyIndex,MaterialSuitabilityScore,RecommendationReason,MaterialName,MaterialType,StrengthRating,WeightCapacity_KG,BiodegradabilityScore,BiodegradationTime_Months,CO2_Emissions_KG_Per_Ton,RecyclabilityPercentage,CostPerKG_USD,Durability_Months,ChemicalResistance,MoistureBarrier,OxygenBarrier,CompostableStatus,SupplierAvailability,CompatibleProducts,ScaleRating,InnovationLevel,RegulationCompliance,ProductName,ProductCategory,Weight_KG,RequiredStrength_Level,FragilityLevel,MoistureRequired,OxygenSensitivity,ShippingDistance_KM,ShelfLife_Months,PreferredBiodegradable,PreferredRecyclable,MaxBudgetPerUnit_USD,strength_gap,moisture_gap,oxygen_gap,estimated_cost_per_unit_usd,budget_gap,estimated_co2_per_unit_kg,is_strength_insufficient,is_moisture_insufficient,is_oxygen_insufficient,is_over_budget,preference_alignment
326,66,15,88.69,90.35,100.0,78.96,Meets strength requirements; Satisfies barrier needs; Cost within budget,Corrugated Cardboard (Virgin),Paper/Cardboard,9.0,55.0,75.0,12.0,531.0,88.0,0.35,36.0,8.0,8.0,7.0,Industrial,High,"General, Heavy, Industrial",10.0,2.0,"EU, FDA",Energy Drink Can 250ml,Beverages,0.25,4,3,4,4,2000,6.0,1,1,0.55,5.0,4.0,3.0,0.0875,0.4625,0.13275,0,0,0,0,1.0
327,66,19,87.86,98.73,84.96,81.89,Meets strength requirements; Satisfies barrier needs; Cost within budget,Recycled Glass,Glass,10.0,100.0,5.0,1000.0,200.0,95.0,1.2,60.0,10.0,9.0,10.0,No,Medium,"Beverages, Spirits, Specialty",7.0,2.0,"EU, FDA",Energy Drink Can 250ml,Beverages,0.25,4,3,4,4,2000,6.0,1,1,0.55,6.0,5.0,6.0,0.3,0.25000000000000006,0.05,0,0,0,0,1.0
328,66,1,84.48,86.08,98.23,72.96,Meets strength requirements; Satisfies barrier needs; Cost within budget,Recycled Cardboard (rCardboard),Paper/Cardboard,8.0,50.0,90.0,3.0,700.0,85.0,0.45,24.0,7.0,8.0,7.0,Industrial,High,"General, Electronics, Food, Cosmetics",10.0,3.0,"EU, FDA",Energy Drink Can 250ml,Beverages,0.25,4,3,4,4,2000,6.0,1,1,0.55,4.0,4.0,3.0,0.1125,0.43750000000000006,0.175,0,0,0,0,1.0
329,66,40,80.8,79.75,79.65,82.47,Meets strength requirements; Satisfies barrier needs; Cost within budget,Refillable Glass (Thickwall),Glass,10.0,120.0,5.0,1200.0,950.0,98.0,1.5,120.0,10.0,10.0,10.0,No,Medium,"Beverages, Cosmetics, Premium",6.0,3.0,"EU, FDA",Energy Drink Can 250ml,Beverages,0.25,4,3,4,4,2000,6.0,1,1,0.55,6.0,6.0,6.0,0.375,0.17500000000000004,0.2375,0,0,0,0,1.0
330,66,13,80.28,86.84,94.69,64.56,Meets strength requirements; Satisfies barrier needs; Cost within budget,FSC-Certified Paperboard,Paper/Cardboard,8.0,45.0,85.0,4.0,670.0,88.0,0.65,20.0,7.0,7.0,6.0,Home/Industrial,High,"General, Electronics, Food",9.0,4.0,"EU, FDA",Energy Drink Can 250ml,Beverages,0.25,4,3,4,4,2000,6.0,1,1,0.55,4.0,3.0,2.0,0.1625,0.38750000000000007,0.1675,0,0,0,0,1.0
331,67,15,88.69,90.35,100.0,78.96,Meets strength requirements; Satisfies barrier needs; Cost within budget,Corrugated Cardboard (Virgin),Paper/Cardboard,9.0,55.0,75.0,12.0,531.0,88.0,0.35,36.0,8.0,8.0,7.0,Industrial,High,"General, Heavy, Industrial",10.0,2.0,"EU, FDA",Ready-to-Drink Coffee 250ml,Beverages,0.25,4,3,4,4,2000,6.0,1,1,0.4,5.0,4.0,3.0,0.0875,0.3125,0.13275,0,0,0,0,1.0
332,67,19,86.1,98.73,84.96,77.48,Meets strength requirements; Satisfies barrier needs; Cost within budget,Recycled Glass,Glass,10.0,100.0,5.0,1000.0,200.0,95.0,1.2,60.0,10.0,9.0,10.0,No,Medium,"Beverages, Spirits, Specialty",7.0,2.0,"EU, FDA",Ready-to-Drink Coffee 250ml,Beverages,0.25,4,3,4,4,2000,6.0,1,1,0.4,6.0,5.0,6.0,0.3,0.10000000000000003,0.05,0,0,0,0,1.0
333,67,1,84.27,86.08,98.23,72.44,Meets strength requirements; Satisfies barrier needs; Cost within budget,Recycled Cardboard (rCardboard),Paper/Cardboard,8.0,50.0,90.0,3.0,700.0,85.0,0.45,24.0,7.0,8.0,7.0,Industrial,High,"General, Electronics, Food, Cosmetics",10.0,3.0,"EU, FDA",Ready-to-Drink Coffee 250ml,Beverages,0.25,4,3,4,4,2000,6.0,1,1,0.4,4.0,4.0,3.0,0.1125,0.28750000000000003,0.175,0,0,0,0,1.0
334,67,13,79.66,86.84,94.69,63.0,Meets strength requirements; Satisfies barrier needs; Cost within budget,FSC-Certified Paperboard,Paper/Cardboard,8.0,45.0,85.0,4.0,670.0,88.0,0.65,20.0,7.0,7.0,6.0,Home/Industrial,High,"General, Electronics, Food",9.0,4.0,"EU, FDA",Ready-to-Drink Coffee 250ml,Beverages,0.25,4,3,4,4,2000,6.0,1,1,0.4,4.0,3.0,2.0,0.1625,0.23750000000000002,0.1675,0,0,0,0,1.0
335,67,40,78.42,79.75,79.65,76.5,Meets strength requirements; Satisfies barrier needs; Cost within budget,Refillable Glass (Thickwall),Glass,10.0,120.0,5.0,1200.0,950.0,98.0,1.5,120.0,10.0,10.0,10.0,No,Medium,"Beverages, Cosmetics, Premium",6.0,3.0,"EU, FDA",Ready-to-Drink Coffee 250ml,Beverages,0.25,4,3,4,4,2000,6.0,1,1,0.4,6.0,6.0,6.0,0.375,0.025000000000000022,0.2375,0,0,0,0,1.0
336,68,15,91.0,90.35,100.0,84.73,Meets strength requirements; Satisfies barrier needs; Cost within budget,Corrugated Cardboard (Virgin),Paper/Cardboard,9.0,55.0,75.0,12.0,531.0,88.0,0.35,36.0,8.0,8.0,7.0,Industrial,High,"General, Heavy, Industrial",10.0,2.0,"EU, FDA",Green Tea Bags 50ct,Beverages,0.1,2,1,1,1,2500,18.0,1,1,0.25,7.0,7.0,6.0,0.034999999999999996,0.215,0.05310000000000001,0,0,0,0,1.0
337,68,19,88.82,98.73,84.96,84.29,Meets strength requirements; Satisfies barrier needs; Cost within budget,Recycled Glass,Glass,10.0,100.0,5.0,1000.0,200.0,95.0,1.2,60.0,10.0,9.0,10.0,No,Medium,"Beverages, Spirits, Specialty",7.0,2.0,"EU, FDA",Green Tea Bags 50ct,Beverages,0.1,2,1,1,1,2500,18.0,1,1,0.25,8.0,8.0,9.0,0.12,0.13,0.020000000000000004,0,0,0,0,1.0
338,68,1,87.26,86.08,98.23,79.92,Meets strength requirements; Satisfies barrier needs; Cost within budget,Recycled Cardboard (rCardboard),Paper/Cardboard,8.0,50.0,90.0,3.0,700.0,85.0,0.45,24.0,7.0,8.0,7.0,Industrial,High,"General, Electronics, Food, Cosmetics",10.0,3.0,"EU, FDA",Green Tea Bags 50ct,Beverages,0.1,2,1,1,1,2500,18.0,1,1,0.25,6.0,7.0,6.0,0.045000000000000005,0.205,0.06999999999999999,0,0,0,0,1.0
339,68,13,83.96,86.84,94.69,73.76,Meets strength requirements; Satisfies barrier needs; Cost within budget,FSC-Certified Paperboard,Paper/Cardboard,8.0,45.0,85.0,4.0,670.0,88.0,0.65,20.0,7.0,7.0,6.0,Home/Industrial,High,"General, Electronics, Food",9.0,4.0,"EU, FDA",Green Tea Bags 50ct,Beverages,0.1,2,1,1,1,2500,18.0,1,1,0.25,6.0,6.0,5.0,0.065,0.185,0.067,0,0,0,0,1.0
340,68,40,81.5,79.75,79.65,84.2,Meets strength requirements; Satisfies barrier needs; Cost within budget,Refillable Glass (Thickwall),Glass,10.0,120.0,5.0,1200.0,950.0,98.0,1.5,120.0,10.0,10.0,10.0,No,Medium,"Beverages, Cosmetics, Premium",6.0,3.0,"EU, FDA",Green Tea Bags 50ct,Beverages,0.1,2,1,1,1,2500,18.0,1,1,0.25,8.0,9.0,9.0,0.15000000000000002,0.09999999999999998,0.095,0,0,0,0,1.0
341,69,15,90.02,90.35,100.0,82.3,Meets strength requirements; Satisfies barrier needs; Cost within budget,Corrugated Cardboard (Virgin),Paper/Cardboard,9.0,55.0,75.0,12.0,531.0,88.0,0.35,36.0,8.0,8.0,7.0,Industrial,High,"General, Heavy, Industrial",10.0,2.0,"EU, FDA",Instant Coffee 100g,Beverages,0.1,3,1,2,3,2500,18.0,1,1,0.35,6.0,6.0,4.0,0.034999999999999996,0.315,0.05310000000000001,0,0,0,0,1.0
342,69,19,89.71,98.73,84.96,86.52,Meets strength requirements; Satisfies barrier needs; Cost within budget,Recycled Glass,Glass,10.0,100.0,5.0,1000.0,200.0,95.0,1.2,60.0,10.0,9.0,10.0,No,Medium,"Beverages, Spirits, Specialty",7.0,2.0,"EU, FDA",Instant Coffee 100g,Beverages,0.1,3,1,2,3,2500,18.0,1,1,0.35,7.0,7.0,7.0,0.12,0.22999999999999998,0.020000000000000004,0,0,0,0,1.0
343,69,1,86.23,86.08,98.23,77.34,Meets strength requirements; Satisfies barrier needs; Cost within budget,Recycled Cardboard (rCardboard),Paper/Cardboard,8.0,50.0,90.0,3.0,700.0,85.0,0.45,24.0,7.0,8.0,7.0,Industrial,High,"General, Electronics, Food, Cosmetics",10.0,3.0,"EU, FDA",Instant Coffee 100g,Beverages,0.1,3,1,2,3,2500,18.0,1,1,0.35,5.0,6.0,4.0,0.045000000000000005,0.305,0.06999999999999999,0,0,0,0,1.0
344,69,13,82.86,86.84,94.69,71.02,Meets strength requirements; Satisfies barrier needs; Cost within budget,FSC-Certified Paperboard,Paper/Cardboard,8.0,45.0,85.0,4.0,670.0,88.0,0.65,20.0,7.0,7.0,6.0,Home/Industrial,High,"General, Electronics, Food",9.0,4.0,"EU, FDA",Instant Coffee 100g,Beverages,0.1,3,1,2,3,2500,18.0,1,1,0.35,5.0,5.0,3.0,0.065,0.285,0.067,0,0,0,0,1.0
345,69,40,82.86,79.75,79.65,87.6,Meets strength requirements; Satisfies barrier needs; Cost within budget,Refillable Glass (Thickwall),Glass,10.0,120.0,5.0,1200.0,950.0,98.0,1.5,120.0,10.0,10.0,10.0,No,Medium,"Beverages, Cosmetics, Premium",6.0,3.0,"EU, FDA",Instant Coffee 100g,Beverages,0.1,3,1,2,3,2500,18.0,1,1,0.35,7.0,8.0,7.0,0.15000000000000002,0.19999999999999996,0.095,0,0,0,0,1.0
346,70,15,90.02,90.35,100.0,82.3,Meets strength requirements; Satisfies barrier needs; Cost within budget,Corrugated Cardboard (Virgin),Paper/Cardboard,9.0,55.0,75.0,12.0,531.0,88.0,0.35,36.0,8.0,8.0,7.0,Industrial,High,"General, Heavy, Industrial",10.0,2.0,"EU, FDA",Chocolate Drink Powder 500g,Beverages,0.5,3,1,2,3,2500,18.0,1,1,0.6,6.0,6.0,4.0,0.175,0.425,0.2655,0,0,0,0,1.0
347,70,1,85.54,86.08,98.23,75.62,Meets strength requirements; Satisfies barrier needs; Cost within budget,Recycled Cardboard (rCardboard),Paper/Cardboard,8.0,50.0,90.0,3.0,700.0,85.0,0.45,24.0,7.0,8.0,7.0,Industrial,High,"General, Electronics, Food, Cosmetics",10.0,3.0,"EU, FDA",Chocolate Drink Powder 500g,Beverages,0.5,3,1,2,3,2500,18.0,1,1,0.6,5.0,6.0,4.0,0.225,0.375,0.35,0,0,0,0,1.0
348,70,19,83.87,98.73,84.96,71.92,Meets strength requirements; Satisfies barrier needs; Cost within budget,Recycled Glass,Glass,10.0,100.0,5.0,1000.0,200.0,95.0,1.2,60.0,10.0,9.0,10.0,No,Medium,"Beverages, Spirits, Specialty",7.0,2.0,"EU, FDA",Chocolate Drink Powder 500g,Beverages,0.5,3,1,2,3,2500,18.0,1,1,0.6,7.0,7.0,7.0,0.6,0.0,0.1,0,0,0,0,1.0
349,70,13,80.8,86.84,94.69,65.86,Meets strength requirements; Satisfies barrier needs; Cost within budget,FSC-Certified Paperboard,Paper/Cardboard,8.0,45.0,85.0,4.0,670.0,88.0,0.65,20.0,7.0,7.0,6.0,Home/Industrial,High,"General, Electronics, Food",9.0,4.0,"EU, FDA",Chocolate Drink Powder 500g,Beverages,0.5,3,1,2,3,2500,18.0,1,1,0.6,5.0,5.0,3.0,0.325,0.27499999999999997,0.335,0,0,0,0,1.0
350,70,40,77.78,79.75,79.65,74.9,Meets strength requirements; Satisfies barrier needs; High recyclability,Refillable Glass (Thickwall),Glass,10.0,120.0,5.0,1200.0,950.0,98.0,1.5,120.0,10.0,10.0,10.0,No,Medium,"Beverages, Cosmetics, Premium",6.0,3.0,"EU, FDA",Chocolate Drink Powder 500g,Beverages,0.5,3,1,2,3,2500,18.0,1,1,0.6,7.0,8.0,7.0,0.75,-0.15000000000000002,0.475,0,0,0,1,1.0
351,71,15,81.86,90.35,100.0,61.88,Meets strength requirements; Cost within budget; Biodegradable option,Corrugated Cardboard (Virgin),Paper/Cardboard,9.0,55.0,75.0,12.0,531.0,88.0,0.35,36.0,8.0,8.0,7.0,Industrial,High,"General, Heavy, Industrial",10.0,2.0,"EU, FDA",Frozen Green Peas 500g,Frozen Food,0.5,4,3,8,6,1000,9.0,1,1,0.4,5.0,0.0,1.0,0.175,0.22500000000000003,0.2655,0,0,0,0,1.0
352,71,19,80.87,98.73,84.96,64.42,Meets strength requirements; Satisfies barrier needs; High recyclability,Recycled Glass,Glass,10.0,100.0,5.0,1000.0,200.0,95.0,1.2,60.0,10.0,9.0,10.0,No,Medium,"Beverages, Spirits, Specialty",7.0,2.0,"EU, FDA",Frozen Green Peas 500g,Frozen Food,0.5,4,3,8,6,1000,9.0,1,1,0.4,6.0,1.0,4.0,0.6,-0.19999999999999996,0.1,0,0,0,1,1.0
353,71,40,77.78,79.75,79.65,74.9,Meets strength requirements; Satisfies barrier needs; High recyclability,Refillable Glass (Thickwall),Glass,10.0,120.0,5.0,1200.0,950.0,98.0,1.5,120.0,10.0,10.0,10.0,No,Medium,"Beverages, Cosmetics, Premium",6.0,3.0,"EU, FDA",Frozen Green Peas 500g,Frozen Food,0.5,4,3,8,6,1000,9.0,1,1,0.4,6.0,2.0,4.0,0.75,-0.35,0.475,0,0,0,1,1.0
354,71,1,76.3,86.08,98.23,52.51,Meets strength requirements; Cost within budget; Biodegradable option,Recycled Cardboard (rCardboard),Paper/Cardboard,8.0,50.0,90.0,3.0,700.0,85.0,0.45,24.0,7.0,8.0,7.0,Industrial,High,"General, Electronics, Food, Cosmetics",10.0,3.0,"EU, FDA",Frozen Green Peas 500g,Frozen Food,0.5,4,3,8,6,1000,9.0,1,1,0.4,4.0,0.0,1.0,0.225,0.17500000000000002,0.35,0,0,0,0,1.0
355,71,13,70.25,86.84,94.69,39.47,Meets strength requirements; Cost within budget; Biodegradable option,FSC-Certified Paperboard,Paper/Cardboard,8.0,45.0,85.0,4.0,670.0,88.0,0.65,20.0,7.0,7.0,6.0,Home/Industrial,High,"General, Electronics, Food",9.0,4.0,"EU, FDA",Frozen Green Peas 500g,Frozen Food,0.5,4,3,8,6,1000,9.0,1,1,0.4,4.0,-1.0,0.0,0.325,0.07500000000000001,0.335,0,1,0,0,1.0
356,72,15,81.86,90.35,100.0,61.88,Meets strength requirements; Cost within budget; Biodegradable option,Corrugated Cardboard (Virgin),Paper/Cardboard,9.0,55.0,75.0,12.0,531.0,88.0,0.35,36.0,8.0,8.0,7.0,Industrial,High,"General, Heavy, Industrial",10.0,2.0,"EU, FDA",Frozen Mixed Vegetables 500g,Frozen Food,0.5,4,3,8,6,1000,9.0,1,1,0.4,5.0,0.0,1.0,0.175,0.22500000000000003,0.2655,0,0,0,0,1.0
357,72,19,80.87,98.73,84.96,64.42,Meets strength requirements; Satisfies barrier needs; High recyclability,Recycled Glass,Glass,10.0,100.0,5.0,1000.0,200.0,95.0,1.2,60.0,10.0,9.0,10.0,No,Medium,"Beverages, Spirits, Specialty",7.0,2.0,"EU, FDA",Frozen Mixed Vegetables 500g,Frozen Food,0.5,4,3,8,6,1000,9.0,1,1,0.4,6.0,1.0,4.0,0.6,-0.19999999999999996,0.1,0,0,0,1,1.0
358,72,40,77.78,79.75,79.65,74.9,Meets strength requirements; Satisfies barrier needs; High recyclability,Refillable Glass (Thickwall),Glass,10.0,120.0,5.0,1200.0,950.0,98.0,1.5,120.0,10.0,10.0,10.0,No,Medium,"Beverages, Cosmetics, Premium",6.0,3.0,"EU, FDA",Frozen Mixed Vegetables 500g,Frozen Food,0.5,4,3,8,6,1000,9.0,1,1,0.4,6.0,2.0,4.0,0.75,-0.35,0.475,0,0,0,1,1.0
359,72,1,76.3,86.08,98.23,52.51,Meets strength requirements; Cost within budget; Biodegradable option,Recycled Cardboard (rCardboard),Paper/Cardboard,8.0,50.0,90.0,3.0,700.0,85.0,0.45,24.0,7.0,8.0,7.0,Industrial,High,"General, Electronics, Food, Cosmetics",10.0,3.0,"EU, FDA",Frozen Mixed Vegetables 500g,Frozen Food,0.5,4,3,8,6,1000,9.0,1,1,0.4,4.0,0.0,1.0,0.225,0.17500000000000002,0.35,0,0,0,0,1.0
360,72,13,70.25,86.84,94.69,39.47,Meets strength requirements; Cost within budget; Biodegradable option,FSC-Certified Paperboard,Paper/Cardboard,8.0,45.0,85.0,4.0,670.0,88.0,0.65,20.0,7.0,7.0,6.0,Home/Industrial,High,"General, Electronics, Food",9.0,4.0,"EU, FDA",Frozen Mixed Vegetables 500g,Frozen Food,0.5,4,3,8,6,1000,9.0,1,1,0.4,4.0,-1.0,0.0,0.325,0.07500000000000001,0.335,0,1,0,0,1.0
361,73,15,81.52,90.35,100.0,61.05,Meets strength requirements; Cost within budget; Biodegradable option,Corrugated Cardboard (Virgin),Paper/Cardboard,9.0,55.0,75.0,12.0,531.0,88.0,0.35,36.0,8.0,8.0,7.0,Industrial,High,"General, Heavy, Industrial",10.0,2.0,"EU, FDA",Frozen French Fries 1kg,Frozen Food,1.0,5,3,8,6,1000,9.0,1,1,0.55,4.0,0.0,1.0,0.35,0.20000000000000007,0.531,0,0,0,0,1.0
362,73,19,80.87,98.73,84.96,64.42,Meets strength requirements; Satisfies barrier needs; High recyclability,Recycled Glass,Glass,10.0,100.0,5.0,1000.0,200.0,95.0,1.2,60.0,10.0,9.0,10.0,No,Medium,"Beverages, Spirits, Specialty",7.0,2.0,"EU, FDA",Frozen French Fries 1kg,Frozen Food,1.0,5,3,8,6,1000,9.0,1,1,0.55,5.0,1.0,4.0,1.2,-0.6499999999999999,0.2,0,0,0,1,1.0
363,73,40,77.78,79.75,79.65,74.9,Meets strength requirements; Satisfies barrier needs; High recyclability,Refillable Glass (Thickwall),Glass,10.0,120.0,5.0,1200.0,950.0,98.0,1.5,120.0,10.0,10.0,10.0,No,Medium,"Beverages, Cosmetics, Premium",6.0,3.0,"EU, FDA",Frozen French Fries 1kg,Frozen Food,1.0,5,3,8,6,1000,9.0,1,1,0.55,5.0,2.0,4.0,1.5,-0.95,0.95,0,0,0,1,1.0
364,73,1,73.41,86.08,98.23,45.29,Meets strength requirements; Cost within budget; Biodegradable option,Recycled Cardboard (rCardboard),Paper/Cardboard,8.0,50.0,90.0,3.0,700.0,85.0,0.45,24.0,7.0,8.0,7.0,Industrial,High,"General, Electronics, Food, Cosmetics",10.0,3.0,"EU, FDA",Frozen French Fries 1kg,Frozen Food,1.0,5,3,8,6,1000,9.0,1,1,0.55,3.0,0.0,1.0,0.45,0.10000000000000003,0.7,0,0,0,0,1.0
365,73,4,69.3,82.94,89.38,44.01,Meets strength requirements; Satisfies barrier needs; High recyclability,Recycled PET (rPET),Plastic,8.0,25.0,20.0,1000.0,824.0,70.0,0.95,36.0,8.0,9.0,8.0,No,High,"Beverages, Food, General",9.0,4.0,"EU, FDA",Frozen French Fries 1kg,Frozen Food,1.0,5,3,8,6,1000,9.0,1,1,0.55,3.0,1.0,2.0,0.95,-0.3999999999999999,0.824,0,0,0,1,1.0
366,74,15,81.52,90.35,100.0,61.05,Meets strength requirements; Cost within budget; Biodegradable option,Corrugated Cardboard (Virgin),Paper/Cardboard,9.0,55.0,75.0,12.0,531.0,88.0,0.35,36.0,8.0,8.0,7.0,Industrial,High,"General, Heavy, Industrial",10.0,2.0,"EU, FDA",Frozen Samosas 500g,Frozen Food,0.5,5,3,8,6,1000,6.0,1,1,0.6,4.0,0.0,1.0,0.175,0.425,0.2655,0,0,0,0,1.0
367,74,19,80.87,98.73,84.96,64.42,Meets strength requirements; Satisfies barrier needs; Cost within budget,Recycled Glass,Glass,10.0,100.0,5.0,1000.0,200.0,95.0,1.2,60.0,10.0,9.0,10.0,No,Medium,"Beverages, Spirits, Specialty",7.0,2.0,"EU, FDA",Frozen Samosas 500g,Frozen Food,0.5,5,3,8,6,1000,6.0,1,1,0.6,5.0,1.0,4.0,0.6,0.0,0.1,0,0,0,0,1.0
368,74,40,77.78,79.75,79.65,74.9,Meets strength requirements; Satisfies barrier needs; High recyclability,Refillable Glass (Thickwall),Glass,10.0,120.0,5.0,1200.0,950.0,98.0,1.5,120.0,10.0,10.0,10.0,No,Medium,"Beverages, Cosmetics, Premium",6.0,3.0,"EU, FDA",Frozen Samosas 500g,Frozen Food,0.5,5,3,8,6,1000,6.0,1,1,0.6,5.0,2.0,4.0,0.75,-0.15000000000000002,0.475,0,0,0,1,1.0
369,74,1,76.47,86.08,98.23,52.94,Meets strength requirements; Cost within budget; Biodegradable option,Recycled Cardboard (rCardboard),Paper/Cardboard,8.0,50.0,90.0,3.0,700.0,85.0,0.45,24.0,7.0,8.0,7.0,Industrial,High,"General, Electronics, Food, Cosmetics",10.0,3.0,"EU, FDA",Frozen Samosas 500g,Frozen Food,0.5,5,3,8,6,1000,6.0,1,1,0.6,3.0,0.0,1.0,0.225,0.375,0.35,0,0,0,0,1.0
370,74,13,72.09,86.84,94.69,44.08,Meets strength requirements; Cost within budget; Biodegradable option,FSC-Certified Paperboard,Paper/Cardboard,8.0,45.0,85.0,4.0,670.0,88.0,0.65,20.0,7.0,7.0,6.0,Home/Industrial,High,"General, Electronics, Food",9.0,4.0,"EU, FDA",Frozen Samosas 500g,Frozen Food,0.5,5,3,8,6,1000,6.0,1,1,0.6,3.0,-1.0,0.0,0.325,0.27499999999999997,0.335,0,1,0,0,1.0
371,75,19,83.23,98.73,84.96,70.32,Meets strength requirements; Satisfies barrier needs; Cost within budget,Recycled Glass,Glass,10.0,100.0,5.0,1000.0,200.0,95.0,1.2,60.0,10.0,9.0,10.0,No,Medium,"Beverages, Spirits, Specialty",7.0,2.0,"EU, FDA",Ice Cream Tub 500ml,Frozen Food,0.45,4,3,8,7,800,6.0,1,1,0.7,6.0,1.0,3.0,0.54,0.15999999999999992,0.09000000000000001,0,0,0,0,1.0
372,75,15,80.36,90.35,100.0,58.13,Meets strength requirements; Cost within budget; Biodegradable option,Corrugated Cardboard (Virgin),Paper/Cardboard,9.0,55.0,75.0,12.0,531.0,88.0,0.35,36.0,8.0,8.0,7.0,Industrial,High,"General, Heavy, Industrial",10.0,2.0,"EU, FDA",Ice Cream Tub 500ml,Frozen Food,0.45,4,3,8,7,800,6.0,1,1,0.7,5.0,0.0,0.0,0.1575,0.5425,0.23895000000000002,0,0,0,0,1.0
373,75,40,78.15,79.75,79.65,75.82,Meets strength requirements; Satisfies barrier needs; Cost within budget,Refillable Glass (Thickwall),Glass,10.0,120.0,5.0,1200.0,950.0,98.0,1.5,120.0,10.0,10.0,10.0,No,Medium,"Beverages, Cosmetics, Premium",6.0,3.0,"EU, FDA",Ice Cream Tub 500ml,Frozen Food,0.45,4,3,8,7,800,6.0,1,1,0.7,6.0,2.0,3.0,0.675,0.02499999999999991,0.4275,0,0,0,0,1.0
374,75,1,75.91,86.08,98.23,51.55,Meets strength requirements; Cost within budget; Biodegradable option,Recycled Cardboard (rCardboard),Paper/Cardboard,8.0,50.0,90.0,3.0,700.0,85.0,0.45,24.0,7.0,8.0,7.0,Industrial,High,"General, Electronics, Food, Cosmetics",10.0,3.0,"EU, FDA",Ice Cream Tub 500ml,Frozen Food,0.45,4,3,8,7,800,6.0,1,1,0.7,4.0,0.0,0.0,0.2025,0.49749999999999994,0.315,0,0,0,0,1.0
375,75,13,73.59,86.84,94.69,47.83,Meets strength requirements; Cost within budget; Biodegradable option,FSC-Certified Paperboard,Paper/Cardboard,8.0,45.0,85.0,4.0,670.0,88.0,0.65,20.0,7.0,7.0,6.0,Home/Industrial,High,"General, Electronics, Food",9.0,4.0,"EU, FDA",Ice Cream Tub 500ml,Frozen Food,0.45,4,3,8,7,800,6.0,1,1,0.7,4.0,-1.0,-1.0,0.29250000000000004,0.4074999999999999,0.30150000000000005,0,1,1,0,1.0
376,76,19,84.18,98.73,84.96,72.69,Meets strength requirements; Satisfies barrier needs; Cost within budget,Recycled Glass,Glass,10.0,100.0,5.0,1000.0,200.0,95.0,1.2,60.0,10.0,9.0,10.0,No,Medium,"Beverages, Spirits, Specialty",7.0,2.0,"EU, FDA",Ice Cream Sticks Multipack,Frozen Food,0.4,4,3,8,7,800,6.0,1,1,0.72,6.0,1.0,3.0,0.48,0.24,0.08000000000000002,0,0,0,0,1.0
377,76,15,80.36,90.35,100.0,58.13,Meets strength requirements; Cost within budget; Biodegradable option,Corrugated Cardboard (Virgin),Paper/Cardboard,9.0,55.0,75.0,12.0,531.0,88.0,0.35,36.0,8.0,8.0,7.0,Industrial,High,"General, Heavy, Industrial",10.0,2.0,"EU, FDA",Ice Cream Sticks Multipack,Frozen Food,0.4,4,3,8,7,800,6.0,1,1,0.72,5.0,0.0,0.0,0.13999999999999999,0.58,0.21240000000000003,0,0,0,0,1.0
378,76,40,79.43,79.75,79.65,79.04,Meets strength requirements; Satisfies barrier needs; Cost within budget,Refillable Glass (Thickwall),Glass,10.0,120.0,5.0,1200.0,950.0,98.0,1.5,120.0,10.0,10.0,10.0,No,Medium,"Beverages, Cosmetics, Premium",6.0,3.0,"EU, FDA",Ice Cream Sticks Multipack,Frozen Food,0.4,4,3,8,7,800,6.0,1,1,0.72,6.0,2.0,3.0,0.6000000000000001,0.11999999999999988,0.38,0,0,0,0,1.0
379,76,1,76.02,86.08,98.23,51.83,Meets strength requirements; Cost within budget; Biodegradable option,Recycled Cardboard (rCardboard),Paper/Cardboard,8.0,50.0,90.0,3.0,700.0,85.0,0.45,24.0,7.0,8.0,7.0,Industrial,High,"General, Electronics, Food, Cosmetics",10.0,3.0,"EU, FDA",Ice Cream Sticks Multipack,Frozen Food,0.4,4,3,8,7,800,6.0,1,1,0.72,4.0,0.0,0.0,0.18000000000000002,0.5399999999999999,0.27999999999999997,0,0,0,0,1.0
380,76,13,73.92,86.84,94.69,48.66,Meets strength requirements; Cost within budget; Biodegradable option,FSC-Certified Paperboard,Paper/Cardboard,8.0,45.0,85.0,4.0,670.0,88.0,0.65,20.0,7.0,7.0,6.0,Home/Industrial,High,"General, Electronics, Food",9.0,4.0,"EU, FDA",Ice Cream Sticks Multipack,Frozen Food,0.4,4,3,8,7,800,6.0,1,1,0.72,4.0,-1.0,-1.0,0.26,0.45999999999999996,0.268,0,1,1,0,1.0
381,77,19,84.02,98.73,84.96,72.27,Meets strength requirements; Satisfies barrier needs; Cost within budget,Recycled Glass,Glass,10.0,100.0,5.0,1000.0,200.0,95.0,1.2,60.0,10.0,9.0,10.0,No,Medium,"Beverages, Spirits, Specialty",7.0,2.0,"EU, FDA",Paneer Cubes 200g,Chilled & Fresh,0.2,4,3,8,7,500,1.0,1,1,0.35,6.0,1.0,3.0,0.24,0.10999999999999999,0.04000000000000001,0,0,0,0,1.0
