Material,Product_Name,Shape,Product_Quantity,No_of_Units,Countries_Tags,Cost_Per_Unit_USD,Strength_MPa,Biodegradability,CO2_Emission,Recyclability,Moisture_Barrier,Sustainability_Score,Material_Suitability_Score,Cost_Efficiency_Index,AI_Recommendation,Z_Sustainability_Index,Predicted_Cost,Predicted_CO2,AI_Final_Recommendation,True_Label
Glass,Soda Can,Can,100,1,en:japan,0.26,84.0,0.0,2.66,80.4,10,12.78,100,2.17,Avoid,-0.35559368608718483,0.2651,2.441200000000007,Not Recommended,Not Recommended
Aluminum Foil/Can,Sandwich,Wrapper,250,1,en:india,0.13,31.1,0.0,8.6,91.2,10,0.0,100,3.85,Avoid,-0.12052151296077108,0.12999999999999984,8.679999999999984,Not Recommended,Not Recommended
Bamboo Fiber,Soda Can,Can,600,6,en:germany,0.44,55.2,99.2,0.93,36.7,7,49.37000000000001,100,1.13,Good Alternative,-0.15007721603800495,0.4423999999999995,0.8982000000000029,Not Recommended,Not Recommended
Bamboo Fiber,Yogurt,Cup,1200,12,en:japan,0.35,44.4,97.8,1.16,39.7,8,49.260000000000005,100,2.13,Good Alternative,-0.014412582945120026,0.35175000000000023,1.0352999999999979,Not Recommended,Not Recommended
Virgin Plastic (PP),Potato Chips,Bag,7125,12,en:usa,0.03,87.4,4.0,4.53,16.5,10,0.0,100,8.877500000000001,Avoid,-0.4542512799626193,0.03110000000000002,4.596299999999985,Not Recommended,Not Recommended
Aluminum Foil/Can,Yogurt,Cup,250,1,en:india,0.13,22.3,0.0,8.875,95.4,10,0.0,100,3.85,Avoid,-0.07847516120273419,0.13004999999999986,8.839925000000001,Not Recommended,Not Recommended
Aluminum Foil/Can,Biscuits,Box,7125,12,en:uk,0.2,34.8,0.0,8.875,92.1,10,0.0,100,2.5,Avoid,-0.21352737026468793,0.19975000000000012,8.761975,Not Recommended,Not Recommended
Recycled Cardboard,Tomato Sauce,Jar,250,1,en:usa,0.12,21.7,95.8,1.25,84.8,3,52.03,100,3.42,Technical Failure (Not Suitable),0.3073399197868969,0.12035000000000007,1.2273000000000005,Recommended,Recommended
Recycled Cardboard,Potato Chips,Bag,3000,6,en:uk,0.06,31.4,94.1,0.84,80.9,3,52.620000000000005,100,8.877500000000001,Good Alternative,0.666178538646138,0.06270000000000009,0.9673000000000022,Highly Recommended,Recommended
Bioplastic (PLA),Sandwich,Wrapper,1200,12,en:japan,0.46,73.6,80.9,1.83,46.4,9,41.49000000000001,100,1.54,Good Alternative,-0.09430760851673112,0.4550499999999997,2.1175999999999986,Not Recommended,Not Recommended
Bioplastic (PLA),Yogurt,Cup,1000,1,en:uk,0.49,60.6,86.4,1.57,53.3,9,46.37,100,1.49,Good Alternative,0.017988055095114718,0.4860999999999996,1.9265000000000014,Recommended,Recommended
Mushroom Mycelium,Yogurt,Cup,1000,1,en:france,0.72,21.9,100.0,0.15,100.0,5,64.25,100,0.93,Good Alternative,0.3912892378341458,0.7247,0.24335000000000018,Recommended,Recommended
Bamboo Fiber,Potato Chips,Bag,1200,12,en:india,0.33,49.2,97.9,0.51,46.2,6,51.85000000000001,100,2.3,Good Alternative,-0.019694646249632297,0.3304999999999989,0.6145000000000014,Not Recommended,Not Recommended
Aluminum Foil/Can,Potato Chips,Bag,1000,1,en:japan,0.12,23.8,0.0,8.08,98.9,10,0.0,100,4.17,Avoid,-0.019255014186948846,0.1199500000000001,8.30239999999999,Not Recommended,Not Recommended
Aluminum Foil/Can,Potato Chips,Bag,3000,6,en:japan,0.18,42.8,0.0,8.51,92.5,10,0.0,100,2.78,Avoid,-0.1883641253296312,0.1799999999999998,8.587599999999993,Not Recommended,Not Recommended
Glass,Tomato Sauce,Jar,500,1,en:usa,0.27,96.0,0.0,1.85,90.3,10,18.81,100,2.2,Avoid,-0.254217410820179,0.2686500000000007,1.9369000000000032,Not Recommended,Not Recommended
Virgin Plastic (PP),Frozen Peas,Pouch,7125,12,en:germany,0.02,83.6,3.4,4.13,18.6,10,0.0,100,8.877500000000001,Avoid,-0.4383551451979056,0.027699999999999895,4.376649999999997,Not Recommended,Not Recommended
Recycled Cardboard,Orange Juice,Bottle,100,1,en:france,0.1,27.4,97.6,1.12,91.3,5,56.7,100,4.33,Technical Failure (Not Suitable),0.5406137148727613,0.10155000000000002,1.1275000000000022,Highly Recommended,Recommended
Glass,Frozen Peas,Pouch,1000,1,en:usa,0.28,86.0,0.0,1.91,97.2,10,19.89,100,2.14,Avoid,-0.18967529660667054,0.27535000000000065,2.1736499999999994,Not Recommended,Not Recommended
Glass,Orange Juice,Bottle,250,1,en:india,0.37,86.2,0.0,2.22,96.7,10,18.24,100,1.6,Avoid,-0.23548713060250198,0.3688499999999996,2.296250000000008,Not Recommended,Not Recommended
Mushroom Mycelium,Tomato Sauce,Jar,1500,6,en:germany,0.71,15.3,100.0,0.32,100.0,5,63.4,100,0.8,Good Alternative,0.38146549511040173,0.7105999999999988,0.3060000000000002,Recommended,Recommended
Bamboo Fiber,Potato Chips,Bag,1000,1,en:germany,0.44,54.6,95.7,0.89,35.3,8,48.89,100,1.69,Good Alternative,-0.10965537658708416,0.4401999999999992,0.8680999999999987,Not Recommended,Not Recommended
Bioplastic (PLA),Sandwich,Wrapper,3000,6,en:uk,0.51,52.8,88.6,1.93,45.7,8,42.93,100,1.4,Good Alternative,-0.08812509032367219,0.5106000000000013,1.9693000000000032,Not Recommended,Not Recommended
Recycled Cardboard,Tomato Sauce,Jar,6000,12,en:france,0.06,22.6,93.2,1.39,91.9,3,51.71000000000001,100,4.31,Technical Failure (Not Suitable),0.4234559522000443,0.06645000000000008,1.2907499999999956,Recommended,Recommended
Recycled Cardboard,Tomato Sauce,Jar,6000,6,en:india,0.14,23.8,90.4,1.11,80.6,4,50.73,100,1.81,Technical Failure (Not Suitable),0.1395142916356903,0.1402500000000003,1.120300000000003,Recommended,Recommended
Bioplastic (PLA),Potato Chips,Bag,600,6,en:france,0.53,61.0,85.3,2.17,46.3,8,40.53,100,1.33,Good Alternative,-0.11560690239310609,0.530850000000001,2.1428500000000024,Not Recommended,Not Recommended
Bioplastic (PLA),Potato Chips,Bag,1200,12,en:germany,0.35,64.0,89.8,1.54,52.1,9,47.64,100,2.11,Good Alternative,0.08187974078382257,0.34710000000000074,1.701850000000002,Recommended,Recommended
Virgin Plastic (PP),Sandwich,Wrapper,250,1,en:usa,0.07,85.1,1.3,5.48,23.1,10,0.0,100,7.14,Avoid,-0.542548226365501,0.07000000000000019,4.518649999999997,Not Recommended,Not Recommended
Virgin Plastic (PP),Biscuits,Box,500,1,en:france,0.05,75.5,4.9,4.22,12.0,10,0.0,100,8.877500000000001,Avoid,-0.4916103808890589,0.04715,4.370300000000011,Not Recommended,Not Recommended
Bioplastic (PLA),Soda Can,Can,1500,6,en:japan,0.33,74.4,85.4,2.1,45.0,8,40.66,100,2.13,Good Alternative,-0.06731294113656099,0.3324499999999992,2.101300000000002,Not Recommended,Not Recommended
Glass,Potato Chips,Bag,600,6,en:france,0.4,85.5,0.0,2.7,95.5,10,15.6,100,1.44,Avoid,-0.25959113423731844,0.3979500000000003,2.6960499999999974,Not Recommended,Not Recommended
Bamboo Fiber,Yogurt,Cup,600,6,en:usa,0.38,46.4,98.5,0.59,47.6,7,52.970000000000006,100,2.01,Good Alternative,0.019560711358119945,0.37605,0.6997000000000011,Recommended,Recommended
Aluminum Foil/Can,Sandwich,Wrapper,600,6,en:uk,0.25,35.2,0.0,8.8,93.3,10,0.0,100,2.0,Avoid,-0.23929775276580284,0.24904999999999997,8.800724999999979,Not Recommended,Not Recommended
Glass,Orange Juice,Bottle,7125,12,en:uk,0.24,81.0,0.0,1.59,90.6,10,20.17,100,2.5,Avoid,-0.2285439244639868,0.23865000000000006,1.8197499999999964,Not Recommended,Not Recommended
Bamboo Fiber,Soda Can,Can,1000,1,en:india,0.45,57.3,99.7,0.96,34.3,6,47.940000000000005,100,1.09,Good Alternative,-0.2148812274703637,0.4469500000000011,0.9354999999999997,Not Recommended,Not Recommended
Recycled Cardboard,Tomato Sauce,Jar,1200,12,en:india,0.08,34.9,97.8,1.19,95.9,3,55.35000000000001,100,5.33,Technical Failure (Not Suitable),0.5798860086967077,0.07965000000000007,1.1802999999999988,Highly Recommended,Recommended
Bioplastic (PLA),Yogurt,Cup,3000,6,en:france,0.37,67.7,94.2,1.66,42.8,9,46.940000000000005,100,1.99,Good Alternative,0.017307336046537662,0.3676499999999997,1.7950000000000035,Recommended,Recommended
Virgin Plastic (PP),Potato Chips,Bag,250,1,en:uk,0.04,76.3,2.2,5.82,27.5,10,0.0,100,8.877500000000001,Avoid,-0.35951100584400825,0.03800000000000002,5.526100000000009,Not Recommended,Not Recommended
Bamboo Fiber,Tomato Sauce,Jar,250,1,en:france,0.36,50.4,97.7,0.92,34.6,8,49.400000000000006,100,2.08,Good Alternative,-0.07010173666117567,0.3571999999999998,0.8495999999999999,Not Recommended,Not Recommended
Bioplastic (PLA),Sandwich,Wrapper,250,1,en:usa,0.46,62.1,91.3,2.16,48.0,9,44.32000000000001,100,1.57,Good Alternative,0.01284577949543566,0.460249999999999,2.091850000000004,Recommended,Recommended
Virgin Plastic (PP),Frozen Peas,Pouch,6000,12,en:france,0.05,64.1,0.8,3.9,15.3,10,0.0,100,8.877500000000001,Avoid,-0.49360874259835014,0.03919999999999998,4.704699999999996,Not Recommended,Not Recommended
Mushroom Mycelium,Frozen Peas,Pouch,6000,12,en:japan,0.75,13.0,100.0,0.21,100.0,6,64.95,100,0.83,Good Alternative,0.4257598815685917,0.7482499999999999,0.2146500000000004,Recommended,Recommended
Bamboo Fiber,Soda Can,Can,500,1,en:usa,0.4,57.2,96.8,0.95,48.1,8,51.59,100,1.89,Good Alternative,0.0429989116340466,0.38679999999999964,0.8808500000000002,Recommended,Recommended
Bioplastic (PLA),Frozen Peas,Pouch,250,1,en:uk,0.5,73.6,84.5,2.34,51.1,8,40.32000000000001,100,1.4,Good Alternative,-0.06910027615394498,0.5037000000000003,2.2164499999999934,Not Recommended,Not Recommended
Recycled Cardboard,Frozen Peas,Pouch,250,1,en:india,0.09,33.8,99.3,1.4,93.9,3,54.5,100,8.58,Good Alternative,0.8182751073103395,0.0885999999999999,1.2770000000000024,Highly Recommended,Recommended
Bioplastic (PLA),Soda Can,Can,500,1,en:france,0.4,51.8,93.7,1.64,49.4,8,47.16000000000001,100,1.84,Good Alternative,0.02574518359680928,0.39900000000000024,1.764399999999994,Recommended,Recommended
Virgin Plastic (PP),Sandwich,Wrapper,7125,12,en:usa,0.08,77.3,1.1,3.84,18.1,10,0.0,100,6.25,Avoid,-0.6615672747663852,0.08000000000000006,4.071200000000002,Not Recommended,Not Recommended
Mushroom Mycelium,Potato Chips,Bag,6000,6,en:uk,0.51,20.1,100.0,0.15,100.0,6,65.25,100,1.23,Good Alternative,0.45598678225703493,0.5117500000000014,0.1888499999999995,Recommended,Recommended
Bioplastic (PLA),Potato Chips,Bag,3000,12,en:india,0.3,57.5,86.4,1.96,57.7,8,44.3,100,2.41,Good Alternative,0.08953111675658773,0.30074999999999913,1.976249999999997,Recommended,Recommended
Glass,Soda Can,Can,1000,1,en:japan,0.28,99.8,0.0,2.95,88.3,10,12.91,100,2.02,Avoid,-0.28784158839571033,0.28385000000000027,2.6186499999999944,Not Recommended,Not Recommended
Aluminum Foil/Can,Sandwich,Wrapper,3000,12,en:japan,0.11,40.1,0.0,8.875,99.0,10,0.0,100,4.55,Avoid,0.010461645080358808,0.11049999999999968,8.738300000000002,Recommended,Recommended
Aluminum Foil/Can,Frozen Peas,Pouch,1000,1,en:france,0.19,29.9,0.0,8.875,95.4,10,0.0,100,2.63,Avoid,-0.17066720830248622,0.1900000000000001,8.85125,Not Recommended,Not Recommended
Aluminum Foil/Can,Soda Can,Can,6000,6,en:germany,0.22,25.3,0.0,8.875,90.7,10,0.0,100,1.36,Avoid,-0.31368948781276346,0.2199999999999994,8.847675000000002,Not Recommended,Not Recommended
Bamboo Fiber,Orange Juice,Bottle,100,1,en:france,0.28,51.9,98.6,0.97,30.1,7,47.61,100,1.74,Good Alternative,-0.17518107207934885,0.2963499999999998,0.8084999999999996,Not Recommended,Not Recommended
Recycled Cardboard,Biscuits,Box,3000,6,en:uk,0.09,23.6,94.5,1.0,92.7,5,56.34,100,6.46,Good Alternative,0.6890976992008265,0.09644999999999986,0.9814500000000004,Highly Recommended,Recommended
Bamboo Fiber,Frozen Peas,Pouch,250,1,en:germany,0.37,46.7,99.6,0.61,33.6,6,49.510000000000005,100,2.02,Good Alternative,-0.15246591551512328,0.36624999999999963,0.9062999999999998,Not Recommended,Not Recommended
Recycled Cardboard,Sandwich,Wrapper,1200,12,en:japan,0.12,24.0,97.7,1.19,88.4,4,54.81,100,6.45,Good Alternative,0.6306114216820272,0.11760000000000007,1.1813999999999987,Highly Recommended,Recommended
Bamboo Fiber,Potato Chips,Bag,1500,6,en:india,0.28,46.6,99.2,1.12,41.2,6,48.32000000000001,100,2.65,Good Alternative,-0.03219269973058052,0.2800500000000007,1.0457500000000026,Not Recommended,Not Recommended
Virgin Plastic (PP),Sandwich,Wrapper,250,1,en:france,0.07,62.6,3.6,4.6,20.6,10,0.0,100,7.14,Avoid,-0.5479221590928312,0.07000000000000019,4.707250000000009,Not Recommended,Not Recommended
Virgin Plastic (PP),Yogurt,Cup,1000,1,en:usa,0.06,76.7,1.4,3.57,22.3,10,0.0,100,8.33,Avoid,-0.45977751887129087,0.060000000000000046,4.005150000000008,Not Recommended,Not Recommended
Bamboo Fiber,Biscuits,Box,500,1,en:india,0.32,52.3,99.4,0.8,37.8,7,50.32000000000001,100,2.35,Good Alternative,-0.04516401548733219,0.3196500000000002,0.8087500000000002,Not Recommended,Not Recommended
Virgin Plastic (PP),Sandwich,Wrapper,6000,12,en:japan,0.07,81.8,4.6,3.51,16.9,10,0.0,100,7.14,Avoid,-0.576417924260594,0.07000000000000019,4.569599999999998,Not Recommended,Not Recommended
Virgin Plastic (PP),Tomato Sauce,Jar,600,6,en:japan,0.06,74.3,1.9,5.71,21.2,10,0.0,100,8.33,Avoid,-0.46651712435552256,0.060000000000000046,4.863699999999997,Not Recommended,Not Recommended
Mushroom Mycelium,Orange Juice,Bottle,1000,1,en:usa,0.55,22.8,100.0,0.38,100.0,5,63.1,100,1.03,Good Alternative,0.39884596300625663,0.551649999999999,0.32975000000000065,Recommended,Recommended
Bioplastic (PLA),Biscuits,Box,250,1,en:usa,0.36,66.8,88.8,2.3,48.6,8,41.74,100,1.97,Good Alternative,-0.01431073835256109,0.3612499999999995,2.203750000000005,Not Recommended,Not Recommended
Recycled Cardboard,Soda Can,Can,3000,12,en:france,0.07,20.0,97.6,0.88,94.5,4,57.54,100,4.11,Technical Failure (Not Suitable),0.5139968662127319,0.0765000000000001,1.0141499999999986,Highly Recommended,Recommended
Virgin Plastic (PP),Orange Juice,Bottle,3000,6,en:japan,0.08,68.6,2.5,3.81,10.9,10,0.0,100,6.25,Avoid,-0.7216836389896422,0.07995000000000006,4.62435,Not Recommended,Not Recommended
Bamboo Fiber,Frozen Peas,Pouch,500,1,en:france,0.41,59.8,96.6,0.65,43.0,6,49.99,100,1.83,Good Alternative,-0.09835515926471769,0.40844999999999837,0.7142000000000016,Not Recommended,Not Recommended
Virgin Plastic (PP),Sandwich,Wrapper,600,6,en:uk,0.05,74.9,3.1,4.49,26.3,10,0.0,100,8.877500000000001,Avoid,-0.36383368753199047,0.036249999999999935,5.098699999999997,Not Recommended,Not Recommended
Bamboo Fiber,Yogurt,Cup,250,1,en:uk,0.37,46.1,98.7,0.84,36.9,7,49.66,100,2.02,Good Alternative,-0.08509268904156615,0.36949999999999955,0.8319000000000015,Not Recommended,Not Recommended
Virgin Plastic (PP),Potato Chips,Bag,7125,12,en:india,0.03,87.3,4.8,4.54,18.0,10,0.0,100,8.877500000000001,Avoid,-0.4323986709442475,0.03115000000000001,4.593699999999992,Not Recommended,Not Recommended
Virgin Plastic (PP),Frozen Peas,Pouch,600,6,en:india,0.07,70.2,3.6,5.58,22.3,10,0.0,100,7.14,Avoid,-0.5309033976669592,0.07000000000000019,5.2555500000000075,Not Recommended,Not Recommended
Mushroom Mycelium,Biscuits,Box,3000,6,en:usa,0.6,13.1,100.0,0.25,100.0,5,63.75,100,1.03,Good Alternative,0.39884596300625663,0.5994499999999989,0.2589499999999999,Recommended,Recommended
Recycled Cardboard,Orange Juice,Bottle,250,1,en:india,0.05,34.4,98.3,1.04,97.8,4,57.68,100,8.77,Technical Failure (Not Suitable),0.9051582264382422,0.05865000000000009,1.0740999999999992,Highly Recommended,Recommended
Bioplastic (PLA),Biscuits,Box,500,1,en:usa,0.41,67.8,83.7,1.93,56.4,9,44.11000000000001,100,1.76,Good Alternative,0.04635374005732713,0.4083999999999984,1.9192000000000042,Recommended,Recommended
Aluminum Foil/Can,Sandwich,Wrapper,250,1,en:france,0.2,35.1,0.0,8.875,97.7,10,0.0,100,2.5,Avoid,-0.15746556792063865,0.20000000000000018,8.853774999999999,Not Recommended,Not Recommended
Virgin Plastic (PP),Potato Chips,Bag,6000,12,en:germany,0.07,72.9,3.7,4.83,13.3,10,0.0,100,7.14,Avoid,-0.6201482160103683,0.07000000000000019,4.706199999999995,Not Recommended,Not Recommended
Virgin Plastic (PP),Sandwich,Wrapper,3000,6,en:uk,0.04,72.6,4.8,5.27,25.3,10,0.0,100,8.877500000000001,Avoid,-0.3593181071743264,0.03825000000000001,4.993799999999992,Not Recommended,Not Recommended
Mushroom Mycelium,Biscuits,Box,500,1,en:usa,0.52,21.2,100.0,0.31,100.0,4,62.45,100,1.56,Best Choice (Sustainable & Efficient),0.3968692375118873,0.5201999999999996,0.23740000000000022,Recommended,Recommended
Bamboo Fiber,Biscuits,Box,250,1,en:germany,0.39,46.0,99.5,1.09,45.6,8,51.47,100,1.94,Good Alternative,0.04482136890230833,0.3889500000000004,1.008950000000002,Recommended,Recommended
Recycled Cardboard,Soda Can,Can,500,1,en:uk,0.11,32.6,91.3,1.25,82.5,5,51.77,100,3.72,Technical Failure (Not Suitable),0.35258664165346587,0.1109999999999997,1.2275000000000003,Recommended,Recommended
Mushroom Mycelium,Frozen Peas,Pouch,3000,12,en:germany,0.79,22.9,100.0,0.37,100.0,6,64.15,100,0.79,Too Expensive / Inefficient,0.4227371914997473,0.7835000000000008,0.3266999999999994,Recommended,Recommended
Mushroom Mycelium,Tomato Sauce,Jar,1500,6,en:uk,0.69,20.9,100.0,0.22,100.0,6,64.9,100,0.83,Good Alternative,0.4257598815685917,0.6912999999999988,0.23744999999999966,Recommended,Recommended
Mushroom Mycelium,Biscuits,Box,500,1,en:france,0.79,23.7,100.0,0.32,100.0,5,63.4,100,1.03,Good Alternative,0.39884596300625663,0.7933500000000007,0.3000500000000002,Recommended,Recommended
Aluminum Foil/Can,Yogurt,Cup,100,1,en:japan,0.22,23.4,0.0,8.875,98.4,10,0.0,100,2.27,Avoid,-0.1678383105234874,0.2199999999999994,8.838375,Not Recommended,Not Recommended
Recycled Cardboard,Yogurt,Cup,100,1,en:france,0.14,20.6,96.1,1.47,94.4,5,54.97,100,4.46,Good Alternative,0.5686540668226281,0.13980000000000037,1.34335,Highly Recommended,Recommended
Bamboo Fiber,Biscuits,Box,6000,12,en:japan,0.31,45.3,98.8,0.6,42.9,7,52.1,100,2.45,Good Alternative,0.008321952848090008,0.3099000000000008,0.6911999999999984,Recommended,Recommended
Glass,Orange Juice,Bottle,500,1,en:usa,0.21,96.4,0.0,1.87,88.2,10,18.29,100,2.82,Avoid,-0.22838889063211038,0.20975000000000066,1.9561500000000023,Not Recommended,Not Recommended
Mushroom Mycelium,Frozen Peas,Pouch,7125,12,en:uk,0.76,14.8,100.0,0.17,100.0,6,65.15,100,0.82,Good Alternative,0.4250042090513806,0.7508000000000002,0.2007500000000006,Recommended,Recommended
Mushroom Mycelium,Potato Chips,Bag,250,1,en:japan,0.64,14.6,100.0,0.1,100.0,4,63.5,100,1.28,Good Alternative,0.37571040702997704,0.6383500000000003,0.1600000000000005,Recommended,Recommended
Bamboo Fiber,Potato Chips,Bag,1500,6,en:germany,0.42,44.7,96.2,0.68,37.0,6,48.48,100,1.77,Good Alternative,-0.1663734385747161,0.41995000000000116,0.7889499999999992,Not Recommended,Not Recommended
Glass,Biscuits,Box,100,1,en:japan,0.25,97.4,0.0,2.9,82.5,10,12.0,100,2.24,Avoid,-0.3292808025876888,0.2528500000000001,2.696599999999993,Not Recommended,Not Recommended
Recycled Cardboard,Biscuits,Box,3000,12,en:uk,0.07,17.3,93.9,1.09,89.1,4,53.93,100,8.14,Good Alternative,0.7328565419931098,0.07065000000000017,1.0763500000000021,Highly Recommended,Recommended
Aluminum Foil/Can,Tomato Sauce,Jar,1500,6,en:france,0.21,42.0,0.0,8.875,91.3,10,0.0,100,2.38,Avoid,-0.2306042693775136,0.21000000000000069,8.867474999999999,Not Recommended,Not Recommended
Virgin Plastic (PP),Sandwich,Wrapper,6000,6,en:japan,0.05,68.9,0.4,5.1,22.4,10,0.0,100,8.877500000000001,Avoid,-0.42594841346453854,0.04729999999999997,4.979550000000006,Not Recommended,Not Recommended
Glass,Yogurt,Cup,1000,1,en:india,0.29,89.0,0.0,1.68,86.1,10,18.82,100,2.05,Avoid,-0.3075988503363821,0.28889999999999944,1.9226500000000044,Not Recommended,Not Recommended
Virgin Plastic (PP),Biscuits,Box,1000,1,en:japan,0.07,80.3,3.9,5.16,27.0,10,0.0,100,7.14,Avoid,-0.4812880072853369,0.07000000000000019,4.804149999999993,Not Recommended,Not Recommended
Bioplastic (PLA),Orange Juice,Bottle,6000,6,en:japan,0.31,58.9,88.8,2.36,53.1,9,43.34,100,2.31,Good Alternative,0.09845915873706904,0.31350000000000056,2.202200000000006,Recommended,Recommended
Glass,Tomato Sauce,Jar,3000,6,en:usa,0.35,82.8,0.0,2.21,97.3,10,18.41,100,1.69,Avoid,-0.2226794562678827,0.35020000000000046,2.2088499999999978,Not Recommended,Not Recommended
Bamboo Fiber,Frozen Peas,Pouch,600,6,en:india,0.25,53.9,97.9,1.0,38.9,6,47.940000000000005,100,2.96,Good Alternative,-0.04290082388362212,0.2503,0.9628499999999999,Not Recommended,Not Recommended
Mushroom Mycelium,Soda Can,Can,6000,6,en:usa,0.65,18.8,100.0,0.17,100.0,4,63.15,100,0.56,Technical Failure (Not Suitable),0.32130198579077907,0.6542000000000021,0.2104500000000006,Recommended,Recommended
Aluminum Foil/Can,Orange Juice,Bottle,250,1,en:uk,0.17,34.8,0.0,8.62,94.6,10,0.0,100,2.94,Avoid,-0.15525018917523553,0.17000000000000084,8.644624999999971,Not Recommended,Not Recommended
Bamboo Fiber,Biscuits,Box,7125,12,en:germany,0.45,59.7,99.9,0.57,46.2,8,54.35000000000001,100,1.72,Good Alternative,0.03762122261292059,0.44275000000000053,0.652549999999998,Recommended,Recommended
Recycled Cardboard,Sandwich,Wrapper,100,1,en:uk,0.15,22.0,92.7,0.85,97.9,5,57.41000000000001,100,5.25,Good Alternative,0.6343375891662745,0.14474999999999963,1.0960000000000005,Highly Recommended,Recommended
Mushroom Mycelium,Tomato Sauce,Jar,500,1,en:japan,0.58,14.7,100.0,0.14,100.0,4,63.3,100,0.98,Good Alternative,0.3530402315136445,0.579849999999999,0.17290000000000036,Recommended,Recommended
Mushroom Mycelium,Soda Can,Can,7125,12,en:germany,0.69,19.4,100.0,0.22,100.0,6,64.9,100,0.54,Technical Failure (Not Suitable),0.4038453785694702,0.6860000000000005,0.26124999999999987,Recommended,Recommended
Aluminum Foil/Can,Orange Juice,Bottle,1000,1,en:india,0.13,22.1,0.0,8.875,99.5,10,0.0,100,3.85,Avoid,-0.037429913057983946,0.13009999999999985,8.757450000000002,Not Recommended,Not Recommended
Bamboo Fiber,Tomato Sauce,Jar,6000,6,en:france,0.31,45.9,96.1,0.93,48.7,7,50.53,100,1.62,Good Alternative,-0.019406541524178603,0.3071500000000002,0.9136000000000025,Not Recommended,Not Recommended
Virgin Plastic (PP),Soda Can,Can,1200,12,en:germany,0.06,77.1,4.3,4.65,26.3,10,0.0,100,8.33,Avoid,-0.3949526756206878,0.060000000000000046,4.854399999999989,Not Recommended,Not Recommended
Mushroom Mycelium,Tomato Sauce,Jar,500,1,en:usa,0.64,15.8,100.0,0.18,100.0,6,65.1,100,0.9,Good Alternative,0.4310495891890692,0.6394000000000005,0.24684999999999982,Recommended,Recommended
Bioplastic (PLA),Tomato Sauce,Jar,600,6,en:japan,0.4,62.9,82.1,2.17,59.4,8,41.87,100,1.77,Good Alternative,0.02144304242843339,0.40040000000000014,2.061650000000002,Recommended,Recommended
Aluminum Foil/Can,Sandwich,Wrapper,6000,12,en:germany,0.17,44.8,0.0,8.875,96.7,10,0.0,100,2.94,Avoid,-0.134227013296217,0.1728500000000008,8.813975000000001,Not Recommended,Not Recommended
Bamboo Fiber,Frozen Peas,Pouch,250,1,en:usa,0.27,58.7,96.4,0.79,43.7,6,49.35,100,2.77,Good Alternative,-0.022023231058637953,0.2701500000000011,0.8312000000000006,Not Recommended,Not Recommended
Bamboo Fiber,Tomato Sauce,Jar,6000,6,en:japan,0.3,47.7,95.5,1.2,44.9,6,47.18000000000001,100,1.62,Good Alternative,-0.10460288884993041,0.30299999999999955,1.0690999999999982,Not Recommended,Not Recommended
Aluminum Foil/Can,Tomato Sauce,Jar,250,1,en:france,0.11,39.4,0.0,8.03,98.6,10,0.0,100,4.55,Avoid,0.0064572306272123875,0.10979999999999973,8.240374999999984,Recommended,Recommended
Aluminum Foil/Can,Yogurt,Cup,1000,1,en:india,0.22,40.1,0.0,8.86,91.3,10,0.0,100,2.27,Avoid,-0.2389166670668355,0.2199999999999994,8.84682499999998,Not Recommended,Not Recommended
Recycled Cardboard,Yogurt,Cup,1000,1,en:usa,0.11,25.6,93.2,1.14,98.3,5,56.24,100,5.74,Good Alternative,0.6796424912246842,0.11479999999999975,1.0704500000000001,Highly Recommended,Recommended
Glass,Biscuits,Box,1000,1,en:usa,0.26,85.9,0.0,1.53,99.9,10,22.330000000000005,100,2.35,Avoid,-0.1467763761864999,0.25614999999999977,1.8480499999999944,Not Recommended,Not Recommended
Aluminum Foil/Can,Sandwich,Wrapper,1500,6,en:germany,0.23,38.6,0.0,8.63,93.2,10,0.0,100,2.17,Avoid,-0.22745242358650103,0.22999999999999932,8.78454999999999,Not Recommended,Not Recommended
Virgin Plastic (PP),Frozen Peas,Pouch,500,1,en:france,0.08,68.7,1.6,3.71,21.9,10,0.0,100,6.25,Avoid,-0.6192528031995741,0.08025000000000006,4.74955,Not Recommended,Not Recommended
Glass,Potato Chips,Bag,250,1,en:usa,0.36,96.9,0.0,2.03,81.1,10,16.07,100,1.61,Avoid,-0.39090362175799936,0.3606499999999995,2.087199999999994,Not Recommended,Not Recommended
Aluminum Foil/Can,Sandwich,Wrapper,500,1,en:france,0.14,26.3,0.0,8.875,96.6,10,0.0,100,3.57,Avoid,-0.08762074832520549,0.13990000000000039,8.866725,Not Recommended,Not Recommended
Bioplastic (PLA),Potato Chips,Bag,600,6,en:uk,0.5,50.5,80.2,1.59,52.1,8,42.55,100,1.43,Good Alternative,-0.09356601712196277,0.50055,1.7790499999999971,Not Recommended,Not Recommended
Bamboo Fiber,Frozen Peas,Pouch,3000,12,en:japan,0.43,48.2,96.6,0.78,30.5,6,46.84,100,1.71,Good Alternative,-0.23256118113207472,0.4346000000000009,0.7985500000000004,Not Recommended,Not Recommended
Aluminum Foil/Can,Biscuits,Box,6000,6,en:uk,0.17,35.8,0.0,8.875,98.9,10,0.0,100,2.94,Avoid,-0.11220273380391192,0.17000000000000084,8.823474999999998,Not Recommended,Not Recommended
