Material_Type,Strength_MPa,Weight_Capacity_kg,Biodegradability_pct,CO2_Emission_g,Recyclability_pct,Cost_per_kg_INR,Typical_Product_Category,extreme_outlier,CO2_Impact_Index,Biodeg_Index,Recycl_Index,Cost_per_Strength,Cost_Strength_Norm,Cost_Efficiency_Index,Material_Suitability_Score
Cotton Padding,40.04,12.49,100,98,95,137.49,Food,FALSE,0.3875,1,0.95,3.433816098,0.219158687,0.780841313,0.838335328
Jute Fiber,36.36,14.18,83,148,66,94.22,Food,FALSE,0.595833333,0.77027027,0.66,2.59130906,0.218273664,0.781726336,0.659554332
HDPE (Recycled),61.72,7.04,99,121,61,80.88,Food,FALSE,0.483333333,0.986486486,0.61,1.310434198,0.21692815,0.78307185,0.742880575
Corrugated Cardboard,49.98,10.64,81,59,56,85.44,Food,FALSE,0.225,0.743243243,0.56,1.709483759,0.217347338,0.782652662,0.724386139
Starch Foam,33.9,17.58,76,128,84,116.45,Food,FALSE,0.5125,0.675675676,0.84,3.435103144,0.219160039,0.780839961,0.687787693
HDPE (Recycled),57.88,13.57,100,141,62,3.98,Food,FALSE,0.566666667,1,0.62,0.068762957,0.215623819,0.784376181,0.728427379
Glassine Paper,43.21,8.14,96,91,76,89.76,Food,FALSE,0.358333333,0.945945946,0.76,2.077296874,0.217733712,0.782266288,0.791767022
Seaweed-based,25.15,9.82,88,190,40,100.51,Food,FALSE,0.770833333,0.837837838,0.4,3.996421312,0.219749684,0.780250316,0.583705597
Corrugated Cardboard,33.08,9.82,62,102,68,89.35,Food,FALSE,0.404166667,0.486486486,0.68,2.70102773,0.218388919,0.781611081,0.626307049
Bagasse (Sugarcane),7.75,1.19,50,69,74,73.28,Food,FALSE,0.266666667,0.324324324,0.74,9.455482651,0.225484233,0.774515767,0.622259572
Glassine Paper,35.89,9.82,76,150,67,90.61,Food,FALSE,0.604166667,0.675675676,0.67,2.524658609,0.21820365,0.78179635,0.631110124
Mushroom Packaging,53.52,8.55,80,118,44,105.06,Food,FALSE,0.470833333,0.72972973,0.44,1.963004448,0.217613652,0.782386348,0.634807173
Starch Foam,32.56,14.07,62,146,92,115.97,Food,FALSE,0.5875,0.486486486,0.92,3.561732077,0.219293059,0.780706941,0.628247681
Bagasse (Sugarcane),34.3,8.94,81,99,47,46.27,Food,FALSE,0.391666667,0.743243243,0.47,1.348979553,0.216968641,0.783031359,0.664814146
Mushroom Packaging,19.01,2.3,80,127,62,39.51,Food,FALSE,0.508333333,0.72972973,0.62,2.078379691,0.21773485,0.78226515,0.661401873
Cellulose Film,28.56,14.9,87,162,100,102.81,Food,FALSE,0.654166667,0.824324324,1,3.59978979,0.219333037,0.780666963,0.728922371
Cellulose Film,34.21,7.02,58,75,54,83.71,Food,FALSE,0.291666667,0.432432432,0.54,2.446945266,0.218122015,0.781877985,0.610282559
Palm Leaf,19.81,11.66,80,117,72,50.09,Food,FALSE,0.466666667,0.72972973,0.72,2.528520821,0.218207707,0.781792293,0.691700326
Hemp Fiber,74.38,6.43,88,130,53,65.07,Food,FALSE,0.520833333,0.837837838,0.53,0.874831932,0.216470566,0.783529434,0.673025377
Starch Foam,18.27,10.85,44,106,100,64.06,Food,FALSE,0.420833333,0.243243243,1,3.50629428,0.219234823,0.780765177,0.612955934
Hemp Fiber,34.3,5.02,78,68,92,86.79,Food,FALSE,0.2625,0.702702703,0.92,2.530320626,0.218209598,0.781790402,0.774633411
Paperboard,34.3,8.69,52,137,53,97.68,Food,FALSE,0.55,0.351351351,0.53,2.847813328,0.218543112,0.781456888,0.519269627
Wheat Straw,20.56,3.86,86,148,38,53.67,Food,FALSE,0.595833333,0.810810811,0.38,2.610408433,0.218293727,0.781706273,0.615711478
Mushroom Packaging,34.3,7.95,90,177,74,95.26,Food,FALSE,0.716666667,0.864864865,0.74,2.777259394,0.218468998,0.781531002,0.673675543
Cornstarch Polymer,7.18,5.95,96,84,72,136.33,Food,FALSE,0.329166667,0.945945946,0.72,18.98746254,0.235497238,0.764502762,0.786617808
Corrugated Cardboard,34.3,0.23,79,36,85,46.71,Food,FALSE,0.129166667,0.716216216,0.85,1.36180754,0.216982116,0.783017884,0.798327669
Cornstarch Polymer,24.67,13.94,100,186,46,79.97,Food,FALSE,0.754166667,1,0.46,3.241588843,0.21895676,0.78104324,0.648719143
PLA-coated Paper,47.44,11.21,91,35,56,64.34,Food,FALSE,0.125,0.878378378,0.56,1.356239432,0.216976267,0.783023733,0.790019447
Cellulose Film,22.59,7.51,86,80,79,72.51,Food,FALSE,0.3125,0.810810811,0.79,3.209827215,0.218923395,0.781076605,0.768387394
Kraft Paper,31.09,12.98,74,40,100,77.62,Food,FALSE,0.145833333,0.648648649,1,2.496622628,0.218174199,0.781825801,0.803592711
Recycled Paper,52.47,12.46,76,132,92,90.49,Food,FALSE,0.529166667,0.675675676,0.92,1.724604503,0.217363222,0.782636778,0.700070231
Seaweed-based,3.19,16.18,67,113,70,64.73,Food,FALSE,0.45,0.554054054,0.7,20.29152969,0.236867114,0.763132886,0.634499438
Recycled Paper,46.28,9.42,96,90,69,58.06,Food,FALSE,0.354166667,0.945945946,0.69,1.25453757,0.216869433,0.783130567,0.779024759
Cellulose Film,40.49,8.72,81,156,79,60.44,Food,FALSE,0.629166667,0.743243243,0.79,1.492714214,0.217119629,0.782880371,0.669401399
Palm Leaf,18.27,2.84,93,178,76,49.94,Food,FALSE,0.720833333,0.905405405,0.76,2.733442653,0.21842297,0.78157703,0.688807546
Paperboard,21.29,10.7,97,85,69,77.76,Food,FALSE,0.333333333,0.959459459,0.69,3.652418804,0.219388322,0.780611678,0.787657424
Corrugated Cardboard,26.67,10.36,67,43,95,28.61,Food,FALSE,0.158333333,0.554054054,0.95,1.072740867,0.216678462,0.783321538,0.762463267
Jute Fiber,75.19,8.04,95,5,64,71.41,Food,FALSE,0,0.932432432,0.64,0.949727345,0.216549241,0.783450759,0.85359242
Corrugated Cardboard,34.3,9.69,86,72,48,71.88,Food,FALSE,0.279166667,0.810810811,0.48,2.095626761,0.217752967,0.782247033,0.715013335
Cellulose Film,15.82,17.37,100,114,73,90.23,Food,FALSE,0.454166667,1,0.73,5.703539462,0.221542951,0.778457049,0.777072596
Jute Fiber,51.01,9.58,84,130,46,63.13,Food,FALSE,0.520833333,0.783783784,0.46,1.237600446,0.216851641,0.783148359,0.642713892
Hemp Fiber,57.48,9.82,57,127,69,55.54,Food,FALSE,0.508333333,0.418918919,0.69,0.966249113,0.216566596,0.783433404,0.582450693
HDPE (Recycled),44.33,5.47,75,175,78,72.67,Food,FALSE,0.708333333,0.662162162,0.78,1.639296151,0.217273608,0.782726392,0.623246913
Cornstarch Polymer,26.14,12.62,89,46,87,82.26,Food,FALSE,0.170833333,0.851351351,0.87,3.14690118,0.218857294,0.781142706,0.831982749
PLA Bioplastic,28.56,7.38,94,156,68,86.6,Food,FALSE,0.629166667,0.918918919,0.68,3.032212779,0.218736817,0.781263183,0.699699805
Starch Foam,19.26,15.9,74,107,64,29.67,Food,FALSE,0.425,0.648648649,0.64,1.540498362,0.217169825,0.782830175,0.662052138
Bagasse (Sugarcane),33.14,9.08,89,75,74,100.97,Food,FALSE,0.291666667,0.851351351,0.74,3.046771181,0.218752111,0.781247889,0.775800711
Palm Leaf,24.61,9.57,78,114,76,31.36,Food,FALSE,0.454166667,0.702702703,0.76,1.274278697,0.21689017,0.78310983,0.695046602
PLA-coated Paper,38.16,18.65,87,72,70,86.54,Food,FALSE,0.279166667,0.824324324,0.7,2.267819647,0.21793385,0.78206615,0.763022168
Jute Fiber,58.93,15.67,79,76,60,128.27,Food,FALSE,0.295833333,0.716216216,0.6,2.176650226,0.217838079,0.782161921,0.706447012
Seaweed-based,40.19,13.81,92,87,41,33.17,Food,FALSE,0.341666667,0.891891892,0.41,0.825329663,0.216418565,0.783581435,0.71004626
Mushroom Packaging,25.56,14.13,75,79,56,80.18,Food,FALSE,0.308333333,0.662162162,0.56,3.136932585,0.218846822,0.781153178,0.67885361
Wheat Straw,48.36,3.65,92,115,72,19.31,Food,FALSE,0.458333333,0.891891892,0.72,0.399296931,0.215971033,0.784028967,0.742991476
Mushroom Packaging,17.4,4.56,100,229,82,55.84,Food,FALSE,0.933333333,1,0.82,3.209195218,0.218922731,0.781077269,0.675935984
Bamboo Fiber,55.29,10.98,93,78,94,97.3,Food,FALSE,0.304166667,0.905405405,0.94,1.759811869,0.217400206,0.782599794,0.829229904
Cotton Padding,17.8,11,80,82,82,46.21,Food,FALSE,0.320833333,0.72972973,0.82,2.59606727,0.218278662,0.781721338,0.74814092
Hemp Fiber,48.58,6.47,78,171,59,104.66,Food,FALSE,0.691666667,0.702702703,0.59,2.154384476,0.21781469,0.78218531,0.601440472
Bagasse (Sugarcane),27.33,11.66,35,45,63,51.35,Food,FALSE,0.166666667,0.121621622,0.63,1.8788876,0.21752529,0.78247471,0.566438497
Kraft Paper,49.58,11.71,62,79,12,114.93,Food,FALSE,0.308333333,0.486486486,0.12,2.318071756,0.217986638,0.782013362,0.538365953
Seaweed-based,27.25,8.33,100,30,52,65.11,Food,FALSE,0.104166667,1,0.52,2.38935771,0.218061521,0.781938479,0.823442953
Recycled Paper,42.26,11.1,89,54,37,39.78,Food,FALSE,0.204166667,0.851351351,0.37,0.941315643,0.216540405,0.783459595,0.724228638
Hemp Fiber,46.19,12.16,75,85,63,77.79,Food,FALSE,0.333333333,0.662162162,0.63,1.684130728,0.217320705,0.782679295,0.686985139
Bagasse (Sugarcane),37.04,9.82,76,101,93,32.34,Food,FALSE,0.4,0.675675676,0.93,0.873110128,0.216468757,0.783531243,0.734585513
Hemp Fiber,71.38,10.6,70,53,61,79.39,Food,FALSE,0.2,0.594594595,0.61,1.112216292,0.21671993,0.78328007,0.696198396
Recycled Paper,40.29,6.8,53,101,88,26.37,Food,FALSE,0.4,0.364864865,0.88,0.654504824,0.21623912,0.78376088,0.631399679
Corrugated Cardboard,52.86,10.69,98,54,92,86.8,Food,FALSE,0.204166667,0.972972973,0.92,1.64207337,0.217276526,0.782723474,0.870531094
Bagasse (Sugarcane),30.65,11.39,71,111,91,51.5,Food,FALSE,0.441666667,0.608108108,0.91,1.680260957,0.21731664,0.78268336,0.699686606
Kraft Paper,16.6,15.94,73,76,99,77.28,Food,FALSE,0.295833333,0.635135135,0.99,4.655421406,0.22044194,0.77955806,0.759471722
PLA-coated Paper,37.54,1.19,62,110,78,80.56,Food,FALSE,0.4375,0.486486486,0.78,2.145977567,0.217805859,0.782194141,0.638119481
HDPE (Recycled),79.69,5.3,95,60,61,64.23,Food,FALSE,0.229166667,0.932432432,0.61,0.805998233,0.216398258,0.783601742,0.790338498
Bagasse (Sugarcane),25,5.37,90,61,100,96.95,Food,FALSE,0.233333333,0.864864865,1,3.877999845,0.219625287,0.780374713,0.846219804
Bagasse (Sugarcane),27.46,2.85,100,112,69,82.75,Food,FALSE,0.445833333,1,0.69,3.013474034,0.218717133,0.781282867,0.771862383
Jute Fiber,56.75,9.63,82,129,100,55.65,Food,FALSE,0.516666667,0.756756757,1,0.980616723,0.216581689,0.783418311,0.743714938
Palm Leaf,31.15,7.24,73,97,51,55.83,Food,FALSE,0.383333333,0.635135135,0.51,1.792295288,0.217434328,0.782565672,0.642348625
Cellulose Film,26.4,4.69,87,105,86,24.4,Food,FALSE,0.416666667,0.824324324,0.86,0.924242389,0.21652247,0.78347753,0.761000013
Hemp Fiber,70.46,8.44,93,40,41,86.64,Food,FALSE,0.145833333,0.905405405,0.41,1.229633817,0.216843273,0.783156727,0.76295247
Wheat Straw,25.17,4.78,93,102,94,78.22,Food,FALSE,0.404166667,0.905405405,0.94,3.107667735,0.21881608,0.78118392,0.803875935
HDPE (Recycled),63.92,5.59,94,100,75,94.64,Food,FALSE,0.395833333,0.918918919,0.75,1.480600728,0.217106904,0.782893096,0.772440616
Kraft Paper,34.5,14.19,100,71,100,29.63,Food,FALSE,0.275,1,1,0.858840555,0.216453767,0.783546233,0.877136558
Bagasse (Sugarcane),27.55,1.97,93,53,76,64.28,Food,FALSE,0.2,0.905405405,0.76,2.333212257,0.218002542,0.781997458,0.819120986
Starch Foam,15.43,6.83,85,23,72,87.95,Food,FALSE,0.075,0.797297297,0.72,5.699934822,0.221539164,0.778460836,0.809054398
PLA-coated Paper,37.48,12.43,93,193,33,121.3,Food,FALSE,0.783333333,0.905405405,0.33,3.236392656,0.218951301,0.781048699,0.587050463
Wheat Straw,21.05,0.81,86,158,64,21.26,Food,FALSE,0.6375,0.810810811,0.64,1.009976199,0.21661253,0.78338747,0.657715111
Paperboard,31.65,15.14,78,95,74,38.83,Food,FALSE,0.375,0.702702703,0.74,1.226856201,0.216840355,0.783159645,0.710850722
Starch Foam,27.4,14.41,68,135,51,78.24,Food,FALSE,0.541666667,0.567567568,0.51,2.855474348,0.21855116,0.78144884,0.582215814
Kraft Paper,19.08,21.43,73,100,67,70.05,Food,FALSE,0.395833333,0.635135135,0.67,3.671383455,0.219408243,0.780591757,0.670730146
Wheat Straw,17.03,5.76,88,136,59,113.84,Food,FALSE,0.545833333,0.837837838,0.59,6.684673712,0.222573597,0.777426403,0.677249619
HDPE (Recycled),66.96,13.87,70,181,64,41.19,Food,FALSE,0.733333333,0.594594595,0.64,0.61514336,0.216197772,0.783802228,0.568995602
Corrugated Cardboard,45.28,7.44,91,176,64,99.33,Food,FALSE,0.7125,0.878378378,0.64,2.193683697,0.217855973,0.782144027,0.65892452
Starch Foam,30.58,14.79,92,60,86,35.55,Food,FALSE,0.229166667,0.891891892,0.86,1.162524488,0.216772777,0.783227223,0.828082707
PLA-coated Paper,42.03,13.37,72,67,84,78.29,Food,FALSE,0.258333333,0.621621622,0.84,1.862717063,0.217508304,0.782491696,0.735526077
Cotton Padding,16.38,9.82,77,29,56,29.27,Food,FALSE,0.1,0.689189189,0.56,1.786935178,0.217428698,0.782571302,0.739399582
Kraft Paper,42.07,3.47,79,79,65,110.15,Food,FALSE,0.308333333,0.716216216,0.65,2.618255227,0.21830197,0.78169803,0.713206039
HDPE (Recycled),56.65,10.29,50,11,37,64.84,Food,FALSE,0.025,0.324324324,0.37,1.144571913,0.216753918,0.783246082,0.610858818
Hemp Fiber,68.49,3.47,100,144,65,69.11,Food,FALSE,0.579166667,1,0.65,1.009052402,0.21661156,0.78338844,0.731055443
Jute Fiber,69.97,16.52,90,168,97,58.6,Food,FALSE,0.679166667,0.864864865,0.97,0.837501775,0.216431352,0.783568648,0.729559955
Cotton Padding,6.57,10.13,66,81,70,44.95,Food,FALSE,0.316666667,0.540540541,0.7,6.841703677,0.222738552,0.777261448,0.667310858
Bagasse (Sugarcane),21.64,4.81,85,101,88,5.95,Food,FALSE,0.4,0.797297297,0.88,0.274953777,0.215840415,0.784159585,0.761229085
Paperboard,26.72,20.2,78,127,78,86.27,Food,FALSE,0.508333333,0.702702703,0.78,3.228667544,0.218943186,0.781056814,0.684991681
Mushroom Packaging,25.87,9.4,100,77,58,97.73,Food,FALSE,0.3,1,0.58,3.777734682,0.219519962,0.780480038,0.78612001
Jute Fiber,54.37,8.42,69,170,59,48.8,Food,FALSE,0.6875,0.581081081,0.59,0.897553782,0.216494434,0.783505566,0.566325716
PLA Bioplastic,31.68,10.02,77,15,66,105.01,Food,FALSE,0.041666667,0.689189189,0.66,3.314709491,0.21903357,0.78096643,0.773581698
Kraft Paper,18.63,0.92,82,95,39,54.67,Food,FALSE,0.375,0.756756757,0.39,2.934514067,0.218634188,0.781365812,0.65661848
Wheat Straw,31.81,14.17,87,118,84,92.74,Food,FALSE,0.470833333,0.824324324,0.84,2.915435306,0.218614147,0.781385853,0.742935427
Glassine Paper,47.42,13.16,55,42,68,44.09,Food,FALSE,0.154166667,0.391891892,0.68,0.929776446,0.216528283,0.783471717,0.66089383
Bamboo Fiber,47.73,8.25,62,119,66,105.75,Food,FALSE,0.475,0.486486486,0.66,2.215587634,0.217878982,0.782121018,0.6047262
Paperboard,32.08,8.66,100,88,65,93.12,Food,FALSE,0.345833333,1,0.65,2.902743052,0.218600814,0.781399186,0.788891463
Glassine Paper,37.88,12.87,72,54,81,29.62,Food,FALSE,0.204166667,0.621621622,0.81,0.781942957,0.216372989,0.783627011,0.743351573
Cellulose Film,29.68,10.13,49,96,78,110.96,Food,FALSE,0.379166667,0.310810811,0.78,3.738544348,0.219478794,0.780521206,0.599581878
Wheat Straw,28.78,9.1,87,67,55,56.29,Food,FALSE,0.258333333,0.824324324,0.55,1.955872065,0.21760616,0.78239384,0.738312424
Seaweed-based,32.61,1.91,100,123,60,85.22,Food,FALSE,0.491666667,1,0.6,2.613308721,0.218296774,0.781703226,0.74250914
Cornstarch Polymer,33.15,5.75,89,153,55,77.37,Food,FALSE,0.616666667,0.851351351,0.55,2.333936581,0.218003303,0.781996697,0.656737913
PLA-coated Paper,40.31,9.35,61,83,41,86.27,Food,FALSE,0.325,0.472972973,0.41,2.140163678,0.217799752,0.782200248,0.588191954
Seaweed-based,23.05,3.36,96,97,72,71.84,Food,FALSE,0.383333333,0.945945946,0.72,3.116702685,0.218825571,0.781174429,0.777244058
Cellulose Film,34.3,14,83,116,76,9.39,Food,FALSE,0.4625,0.77027027,0.76,0.273760925,0.215839162,0.784160838,0.713496291
Recycled Paper,35.01,11.78,80,44,96,65.42,Food,FALSE,0.1625,0.72972973,0.96,1.868608915,0.217514493,0.782485507,0.815915296
Kraft Paper,43.97,7.06,61,75,79,102.91,Food,FALSE,0.291666667,0.472972973,0.79,2.340459351,0.218010155,0.781989845,0.672472686
Hemp Fiber,60.91,8.41,100,73,32,59.65,Food,FALSE,0.283333333,1,0.32,0.979313726,0.21658032,0.78341968,0.739021587
Starch Foam,14.77,5.87,79,87,75,49.84,Food,FALSE,0.341666667,0.716216216,0.75,3.374407354,0.219096281,0.780903719,0.724674128
Starch Foam,47.01,15.73,76,98,90,34.15,Food,FALSE,0.3875,0.675675676,0.9,0.726441167,0.216314687,0.783685313,0.731749031
Corrugated Cardboard,51,9.05,74,126,84,82.96,Food,FALSE,0.504166667,0.648648649,0.84,1.626666635,0.217260341,0.782739659,0.682237843
Glassine Paper,54.17,13.84,79,62,83,94.01,Food,FALSE,0.2375,0.716216216,0.83,1.735462401,0.217374627,0.782625373,0.767146208
Starch Foam,17.19,7.2,79,55,37,71.65,Food,FALSE,0.208333333,0.716216216,0.37,4.168120758,0.219930048,0.780069952,0.681799019
Cellulose Film,4.74,18.32,86,85,76,87.77,Food,FALSE,0.333333333,0.810810811,0.76,18.51687373,0.235002902,0.764997098,0.753159185
Cornstarch Polymer,25.09,11.17,72,172,83,87.21,Food,FALSE,0.695833333,0.621621622,0.83,3.475886669,0.219202881,0.780797119,0.623727433
Paperboard,51.06,6.46,87,62,81,87.78,Food,FALSE,0.2375,0.824324324,0.81,1.719153903,0.217357496,0.782642504,0.795582923
Mushroom Packaging,21.93,14.81,71,131,59,81.32,Food,FALSE,0.525,0.608108108,0.59,3.708162166,0.219446878,0.780553122,0.614320713
Bamboo Fiber,34.3,12.55,86,66,65,70.72,Food,FALSE,0.254166667,0.810810811,0.65,2.06180752,0.217717441,0.782282559,0.755272216
Kraft Paper,62.17,3.54,67,34,63,41.67,Food,FALSE,0.120833333,0.554054054,0.63,0.670258957,0.216255669,0.783744331,0.707943966
Hemp Fiber,72.95,14.5,100,60,88,101.79,Food,FALSE,0.229166667,1,0.88,1.395339254,0.21701734,0.78298266,0.864453998
Cellulose Film,8.17,3.7,77,107,85,62.76,Food,FALSE,0.425,0.689189189,0.85,7.681761606,0.223621003,0.776378997,0.714601506
Starch Foam,23.58,5.66,83,199,50,117.73,Food,FALSE,0.808333333,0.77027027,0.5,4.992790289,0.220796334,0.779203666,0.573798664
Glassine Paper,66.68,13.2,66,17,86,92.39,Food,FALSE,0.05,0.540540541,0.86,1.385572865,0.217007081,0.782992919,0.767410392
Wheat Straw,26.25,8.49,84,113,65,79.06,Food,FALSE,0.45,0.783783784,0.65,3.011809409,0.218715384,0.781284616,0.697956289
Hemp Fiber,56.12,14.04,91,58,83,63.29,Food,FALSE,0.220833333,0.878378378,0.83,1.127761919,0.21673626,0.78326374,0.820121115
Bamboo Fiber,73.5,11.91,94,57,75,133.79,Food,FALSE,0.216666667,0.918918919,0.75,1.820272084,0.217463717,0.782536283,0.81714308
HDPE (Recycled),59.41,9.75,82,207,69,5.27,Food,FALSE,0.841666667,0.756756757,0.69,0.088705604,0.215644768,0.784355232,0.600699168
Wheat Straw,18.65,9.7,80,113,53,50.72,Food,FALSE,0.45,0.72972973,0.53,2.7195709,0.218408398,0.781591602,0.657816819
Starch Foam,5.02,13.5,91,111,79,38.65,Food,FALSE,0.441666667,0.878378378,0.79,7.699201654,0.223639323,0.776360677,0.755187016
Bamboo Fiber,59.85,6.89,89,102,48,74.19,Food,FALSE,0.404166667,0.851351351,0.48,1.239598977,0.216853741,0.783146259,0.696150304
PLA-coated Paper,38.7,12.75,100,116,0,84.7,Food,FALSE,0.4625,1,0,2.188630434,0.217850664,0.782149336,0.629912334
Seaweed-based,34.3,15.72,79,133,39,60.81,Food,FALSE,0.533333333,0.716216216,0.39,1.772886246,0.21741394,0.78258606,0.605178047
Cellulose Film,18.41,14.72,59,77,71,87.58,Food,FALSE,0.3,0.445945946,0.71,4.757196917,0.220548852,0.779451148,0.645646571
Glassine Paper,41.31,7.54,76,142,100,81.89,Food,FALSE,0.570833333,0.675675676,1,1.982328686,0.217633952,0.782366048,0.705585881
Bagasse (Sugarcane),12.49,12.11,72,100,79,89.61,Food,FALSE,0.395833333,0.621621622,0.79,7.174539057,0.223088183,0.776911817,0.689756107
Kraft Paper,24.93,8.37,71,39,65,66.12,Food,FALSE,0.141666667,0.608108108,0.65,2.652226127,0.218337655,0.781662345,0.722431352
Wheat Straw,34.21,9.36,73,104,54,47.49,Food,FALSE,0.4125,0.635135135,0.54,1.388190547,0.217009831,0.782990169,0.641163083
Paperboard,53.72,3.03,54,156,100,89.81,Food,FALSE,0.629166667,0.378378378,1,1.671816797,0.21730777,0.78269223,0.601894904
Jute Fiber,59.09,13.5,66,75,82,56.47,Food,FALSE,0.291666667,0.540540541,0.82,0.95566084,0.216555474,0.783444526,0.699106627
Bamboo Fiber,68.94,3.2,96,119,56,100.83,Food,FALSE,0.475,0.945945946,0.56,1.462576132,0.21708797,0.78291203,0.722761791
Glassine Paper,41.98,10.03,72,8,50,55.18,Food,FALSE,0.0125,0.621621622,0.5,1.314435414,0.216932354,0.783067646,0.729128398
Jute Fiber,56.88,10.18,67,88,82,95.42,Food,FALSE,0.345833333,0.554054054,0.82,1.677566778,0.21731381,0.78268619,0.68942943
Hemp Fiber,57.32,9.21,83,103,52,52.21,Food,FALSE,0.408333333,0.77027027,0.52,0.910851345,0.216508403,0.783491597,0.678870647
Palm Leaf,15.28,7.08,93,124,97,75.59,Food,FALSE,0.495833333,0.905405405,0.97,4.946989205,0.220748222,0.779251778,0.786476233
Jute Fiber,74.97,16.23,79,124,63,29.25,Food,FALSE,0.495833333,0.716216216,0.63,0.390156057,0.215961431,0.784038569,0.662916174
PLA Bioplastic,28.83,6.03,73,94,62,98.27,Food,FALSE,0.370833333,0.635135135,0.62,3.408602032,0.219132201,0.780867799,0.667049157
Paperboard,54.56,16.39,64,99,70,56.05,Food,FALSE,0.391666667,0.513513514,0.7,1.027309365,0.216630738,0.783369262,0.641979703
Palm Leaf,25.47,5.19,60,58,49,64.73,Food,FALSE,0.220833333,0.459459459,0.49,2.54142118,0.218221258,0.781778742,0.62607419
Kraft Paper,34.3,9.78,80,104,79,75.72,Food,FALSE,0.4125,0.72972973,0.79,2.207580111,0.21787057,0.78212943,0.719326276
PLA Bioplastic,6.87,9.54,77,75,95,84.02,Food,FALSE,0.291666667,0.689189189,0.95,12.22998366,0.228398748,0.771601252,0.766740403
Bagasse (Sugarcane),29.06,6.98,94,126,98,67.84,Food,FALSE,0.504166667,0.918918919,0.98,2.334480305,0.218003874,0.781996126,0.79113304
Kraft Paper,22.46,13.4,46,85,70,72.74,Food,FALSE,0.333333333,0.27027027,0.7,3.238646338,0.218953669,0.781046331,0.583009331
Hemp Fiber,67.88,5.56,81,88,50,87.07,Food,FALSE,0.345833333,0.743243243,0.5,1.282704754,0.216899022,0.783100978,0.682289884
Recycled Paper,58.9,8.09,90,135,54,89.28,Food,FALSE,0.541666667,0.864864865,0.54,1.515789448,0.217143869,0.782856131,0.677756826
Kraft Paper,34.3,8.85,85,125,66,138.98,Food,FALSE,0.5,0.797297297,0.66,4.051894926,0.219807957,0.780192043,0.6912372
Recycled Paper,33.13,13.48,81,127,40,85.69,Food,FALSE,0.508333333,0.743243243,0.4,2.586477435,0.218268588,0.781731412,0.621322493
Cornstarch Polymer,28.63,13.66,91,154,39,85.91,Food,FALSE,0.620833333,0.878378378,0.39,3.000698463,0.218703713,0.781296287,0.631629252
Kraft Paper,40.83,6.06,65,105,66,43.88,Food,FALSE,0.416666667,0.527027027,0.66,1.074699949,0.21668052,0.78331948,0.631771311
HDPE (Recycled),79.87,2.77,74,122,69,55.91,Food,FALSE,0.4875,0.648648649,0.69,0.700012512,0.216286924,0.783713076,0.656647864
PLA-coated Paper,46.25,18.45,78,126,68,36.07,Food,FALSE,0.504166667,0.702702703,0.68,0.779891875,0.216370835,0.783629165,0.666676435
Mushroom Packaging,27.42,11.32,77,63,95,68.29,Food,FALSE,0.241666667,0.689189189,0.95,2.490517779,0.218167786,0.781832214,0.781798144
Mushroom Packaging,22.53,9.82,81,51,80,141.76,Food,FALSE,0.191666667,0.743243243,0.8,6.292054758,0.222161165,0.777838835,0.779516015
Recycled Paper,36.73,6.68,79,121,68,129.64,Food,FALSE,0.483333333,0.716216216,0.68,3.52953979,0.219259242,0.780740758,0.675216721
Paperboard,35.81,13.65,79,5,87,46.7,Food,FALSE,0,0.716216216,0.87,1.304104962,0.216921502,0.783078498,0.834634489
Starch Foam,26.28,8.81,73,78,98,83.48,Food,FALSE,0.304166667,0.635135135,0.98,3.176560001,0.218888449,0.781111551,0.755776762
Cotton Padding,22.97,10.15,93,140,72,85.28,Food,FALSE,0.5625,0.905405405,0.72,3.712668537,0.219451612,0.780548388,0.720133719
Paperboard,33.16,9.02,83,212,56,87.16,Food,FALSE,0.8625,0.77027027,0.56,2.628467955,0.218312698,0.781687302,0.572877907
Cellulose Film,40.63,8.11,70,111,100,28.18,Food,FALSE,0.441666667,0.594594595,1,0.693576158,0.216280163,0.783719837,0.713891671
Bagasse (Sugarcane),29.63,13.8,88,95,26,48.95,Food,FALSE,0.375,0.837837838,0.26,1.652041794,0.217286997,0.782713003,0.655279602
Cotton Padding,25.33,12.8,66,70,71,62.22,Food,FALSE,0.270833333,0.540540541,0.71,2.456375742,0.218131921,0.781868079,0.681920849
PLA Bioplastic,34.11,8.79,73,74,40,46.95,Food,FALSE,0.2875,0.635135135,0.4,1.376429159,0.216997476,0.783002524,0.644416172
PLA-coated Paper,37.97,9.6,93,52,83,69.66,Food,FALSE,0.195833333,0.905405405,0.83,1.83460622,0.217478774,0.782521226,0.834293595
Corrugated Cardboard,51.25,9.13,100,122,85,100.41,Food,FALSE,0.4875,1,0.85,1.959219474,0.217609676,0.782390324,0.793722581
Mushroom Packaging,28.17,16.18,93,89,59,3.72,Food,FALSE,0.35,0.905405405,0.59,0.132055373,0.215690305,0.784309695,0.748199045
Starch Foam,25.12,12.64,86,150,74,48.87,Food,FALSE,0.604166667,0.810810811,0.74,1.945461706,0.217595224,0.782404776,0.685802771
Mushroom Packaging,29.98,8.76,66,164,72,61.52,Food,FALSE,0.6625,0.540540541,0.72,2.052034621,0.217707175,0.782292825,0.586110368
Cotton Padding,25.57,2.06,71,152,60,90.67,Food,FALSE,0.6125,0.608108108,0.6,3.545952149,0.219276482,0.780723518,0.594488312
