Material_Type,Tensile_Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,Moisture_Barrier_Grade,AI_Recommendation,Cost_Per_Package
Recycled Cardboard,16.6,3.9,96.9,0.89,89.3,3,Highly Recommended,87.2
Bioplastic (PLA),50.0,6.6,88.6,2.43,45.9,9,Highly Recommended,211.0
Edible Seaweed Film,5.7,2.3,100.0,0.47,9.2,3,Consider as Option,49.4
Bioplastic (PLA),74.4,3.2,80.1,1.59,48.4,8,Consider as Option,220.8
Recycled Cardboard,27.2,5.0,93.2,1.39,98.8,4,Highly Recommended,124.4
Edible Seaweed Film,5.2,3.6,100.0,0.23,2.4,4,Consider as Option,66.4
Edible Seaweed Film,13.2,7.9,100.0,0.29,0.2,4,Consider as Option,125.4
Virgin Plastic (PP),79.6,3.6,2.5,3.53,25.3,10,Avoid,245.2
Mushroom Mycelium,20.3,6.6,100.0,0.35,100.0,4,Highly Recommended,126.6
Mushroom Mycelium,15.1,3.1,100.0,0.38,100.0,6,Highly Recommended,91.2
Aluminum Foil,32.4,7.1,0.0,10.04,90.4,10,Avoid,185.8
Mushroom Mycelium,15.7,0.5,100.0,0.13,100.0,6,Highly Recommended,66.4
Recycled Cardboard,28.0,5.7,95.7,1.25,94.1,4,Highly Recommended,133.0
Virgin Plastic (PP),80.1,6.3,1.9,3.88,11.6,10,Avoid,273.2
Edible Seaweed Film,11.3,4.7,100.0,0.37,3.2,4,Consider as Option,89.6
Bioplastic (PLA),65.9,4.8,87.9,1.76,59.9,9,Highly Recommended,224.8
Bioplastic (PLA),71.0,5.2,88.0,1.87,40.3,8,Consider as Option,234.0
Mushroom Mycelium,24.0,10.0,100.0,0.19,100.0,6,Highly Recommended,178.0
Recycled Cardboard,28.6,0.9,98.7,1.11,86.6,4,Highly Recommended,86.2
Bioplastic (PLA),61.2,3.5,94.2,1.66,52.1,8,Highly Recommended,197.4
Recycled Cardboard,20.1,1.7,95.8,1.05,82.1,3,Highly Recommended,72.2
Recycled Cardboard,25.1,8.0,92.0,1.38,97.5,5,Highly Recommended,155.2
Edible Seaweed Film,5.0,5.1,100.0,0.41,5.7,3,Consider as Option,76.0
Edible Seaweed Film,10.9,4.8,100.0,0.45,0.1,2,Consider as Option,79.8
Bagasse (Sugarcane),24.6,6.2,99.0,1.28,51.4,5,Highly Recommended,136.2
Bagasse (Sugarcane),26.7,6.9,97.0,1.13,50.2,5,Highly Recommended,147.4
Bamboo Fiber,40.8,2.4,99.8,1.0,49.4,8,Highly Recommended,145.6
Virgin Plastic (PP),63.0,3.6,1.0,3.8,23.3,10,Avoid,212.0
Recycled Cardboard,22.8,3.7,91.9,0.83,92.6,5,Highly Recommended,107.6
Bagasse (Sugarcane),25.6,8.0,97.3,0.91,63.2,7,Highly Recommended,166.2
Mushroom Mycelium,22.1,3.8,100.0,0.29,100.0,6,Highly Recommended,112.2
Edible Seaweed Film,12.2,3.2,100.0,0.31,8.0,3,Consider as Option,71.4
Bagasse (Sugarcane),36.9,2.6,99.4,1.39,62.5,6,Highly Recommended,129.8
Recycled Cardboard,23.8,9.8,98.9,1.04,95.7,5,Highly Recommended,170.6
Bioplastic (PLA),72.2,1.7,86.6,1.87,45.1,8,Highly Recommended,201.4
Bioplastic (PLA),69.5,5.1,92.3,1.57,41.9,8,Highly Recommended,230.0
Recycled Cardboard,31.0,9.7,90.6,1.01,83.3,4,Highly Recommended,179.0
Virgin Plastic (PP),73.5,5.5,1.3,4.29,16.5,10,Avoid,252.0
Aluminum Foil,26.5,4.8,0.0,11.48,97.5,10,Avoid,151.0
Edible Seaweed Film,7.3,2.0,100.0,0.38,5.0,3,Consider as Option,49.6
Virgin Plastic (PP),74.6,5.5,1.8,5.44,15.5,10,Avoid,254.2
Mushroom Mycelium,12.9,4.8,100.0,0.32,100.0,5,Highly Recommended,98.8
Bagasse (Sugarcane),30.8,2.6,98.8,0.99,66.9,5,Highly Recommended,112.6
Virgin Plastic (PP),65.4,5.9,4.3,5.97,27.6,10,Avoid,239.8
Recycled Cardboard,20.1,7.9,99.7,1.05,93.3,3,Highly Recommended,134.2
Recycled Cardboard,26.7,5.9,96.3,0.84,90.5,3,Highly Recommended,127.4
Bioplastic (PLA),51.7,1.9,90.5,2.13,50.6,8,Highly Recommended,162.4
Recycled Cardboard,32.1,3.3,95.2,0.97,89.2,5,Highly Recommended,122.2
Virgin Plastic (PP),70.3,5.3,0.3,4.53,17.0,10,Avoid,243.6
Virgin Plastic (PP),69.4,6.0,2.3,4.37,21.5,10,Avoid,248.8
Edible Seaweed Film,9.7,4.2,100.0,0.6,2.1,4,Consider as Option,81.4
Mushroom Mycelium,10.6,3.1,100.0,0.22,100.0,6,Highly Recommended,82.2
Bioplastic (PLA),68.7,6.0,82.2,1.95,57.3,9,Highly Recommended,242.4
Bioplastic (PLA),54.6,8.8,83.6,1.72,43.9,9,Highly Recommended,242.2
Recycled Cardboard,30.3,1.8,99.6,0.86,81.3,4,Highly Recommended,98.6
Mushroom Mycelium,21.0,8.6,100.0,0.14,100.0,4,Highly Recommended,148.0
Edible Seaweed Film,7.7,4.9,100.0,0.32,10.0,2,Consider as Option,74.4
Bamboo Fiber,46.6,6.7,96.4,0.86,33.5,6,Highly Recommended,190.2
Virgin Plastic (PP),78.6,6.1,4.6,3.52,28.0,10,Avoid,268.2
Virgin Plastic (PP),72.7,5.7,0.6,5.27,24.5,10,Avoid,252.4
Edible Seaweed Film,13.2,5.2,100.0,0.31,4.7,2,Consider as Option,88.4
Mushroom Mycelium,22.1,2.7,100.0,0.28,100.0,5,Highly Recommended,96.2
Bagasse (Sugarcane),33.8,5.7,98.5,1.39,61.4,6,Highly Recommended,154.6
Mushroom Mycelium,14.9,4.4,100.0,0.2,100.0,5,Highly Recommended,98.8
Mushroom Mycelium,20.8,5.1,100.0,0.15,100.0,5,Highly Recommended,117.6
Bagasse (Sugarcane),29.6,8.2,98.4,1.18,63.0,5,Highly Recommended,166.2
Virgin Plastic (PP),70.8,8.1,4.7,5.62,11.7,10,Avoid,272.6
Bagasse (Sugarcane),29.1,6.7,95.8,0.92,61.5,5,Highly Recommended,150.2
Bioplastic (PLA),61.8,8.3,85.9,2.49,43.7,8,Consider as Option,246.6
Edible Seaweed Film,12.0,6.2,100.0,0.23,2.7,2,Consider as Option,96.0
Bagasse (Sugarcane),33.3,8.2,98.2,1.27,58.0,6,Highly Recommended,178.6
Bioplastic (PLA),53.1,0.6,88.5,2.35,41.3,9,Consider as Option,157.2
Mushroom Mycelium,23.6,1.5,100.0,0.22,100.0,6,Highly Recommended,92.2
Mushroom Mycelium,15.4,6.0,100.0,0.12,100.0,4,Highly Recommended,110.8
Edible Seaweed Film,7.1,1.9,100.0,0.33,3.4,3,Consider as Option,48.2
Recycled Cardboard,20.4,2.0,93.7,1.5,87.2,4,Highly Recommended,80.8
Bamboo Fiber,55.1,0.5,95.9,1.08,40.3,6,Highly Recommended,145.2
Mushroom Mycelium,18.1,9.2,100.0,0.38,100.0,4,Highly Recommended,148.2
Bagasse (Sugarcane),27.0,5.1,99.5,1.07,54.1,6,Highly Recommended,135.0
Edible Seaweed Film,7.3,3.0,100.0,0.52,3.1,4,Consider as Option,64.6
Edible Seaweed Film,11.6,9.7,100.0,0.57,3.8,4,Consider as Option,140.2
Bamboo Fiber,46.0,5.0,99.2,0.61,43.2,7,Highly Recommended,177.0
Edible Seaweed Film,13.2,6.5,100.0,0.57,5.5,2,Consider as Option,101.4
Bamboo Fiber,45.9,1.0,97.5,0.74,38.0,8,Highly Recommended,141.8
Edible Seaweed Film,10.2,7.8,100.0,0.3,7.8,3,Consider as Option,113.4
Bagasse (Sugarcane),33.2,6.8,95.2,1.0,56.1,5,Highly Recommended,159.4
Recycled Cardboard,19.0,1.0,96.7,1.03,84.1,3,Highly Recommended,63.0
Bagasse (Sugarcane),28.8,8.8,99.4,1.12,60.1,7,Highly Recommended,180.6
Mushroom Mycelium,20.7,1.2,100.0,0.16,100.0,4,Highly Recommended,73.4
Bioplastic (PLA),69.5,6.1,94.1,1.59,54.3,9,Highly Recommended,245.0
Aluminum Foil,41.6,2.9,0.0,11.92,94.8,10,Avoid,162.2
Bioplastic (PLA),61.9,4.3,87.1,1.58,51.9,9,Highly Recommended,211.8
Bagasse (Sugarcane),37.6,8.7,96.9,1.13,55.9,5,Highly Recommended,187.2
Bamboo Fiber,53.4,0.6,99.3,0.78,41.1,7,Highly Recommended,147.8
Mushroom Mycelium,23.7,6.5,100.0,0.17,100.0,6,Highly Recommended,142.4
Edible Seaweed Film,5.2,1.2,100.0,0.41,8.2,2,Consider as Option,32.4
Bamboo Fiber,43.3,4.1,97.1,0.55,34.1,8,Highly Recommended,167.6
Mushroom Mycelium,18.8,5.8,100.0,0.14,100.0,4,Highly Recommended,115.6
Aluminum Foil,44.6,8.6,0.0,11.68,95.2,10,Avoid,225.2
Bamboo Fiber,50.8,6.8,96.6,0.8,45.4,7,Highly Recommended,204.6
Aluminum Foil,25.9,0.6,0.0,9.2,99.1,10,Avoid,107.8
Aluminum Foil,21.7,4.2,0.0,10.31,93.0,10,Avoid,135.4
Mushroom Mycelium,16.7,3.9,100.0,0.19,100.0,6,Highly Recommended,102.4
Bamboo Fiber,52.6,1.7,98.1,0.66,39.0,7,Highly Recommended,157.2
Recycled Cardboard,23.4,6.7,98.2,1.47,91.3,3,Highly Recommended,128.8
Mushroom Mycelium,13.0,9.1,100.0,0.33,100.0,5,Highly Recommended,142.0
Bioplastic (PLA),63.7,6.7,82.6,1.62,56.8,8,Highly Recommended,234.4
Aluminum Foil,36.3,3.1,0.0,11.71,94.7,10,Avoid,153.6
Bamboo Fiber,55.4,10.0,98.6,0.5,42.1,7,Highly Recommended,245.8
Aluminum Foil,42.2,6.4,0.0,9.54,97.1,10,Avoid,198.4
Virgin Plastic (PP),75.8,1.7,4.2,4.48,20.5,10,Avoid,218.6
Virgin Plastic (PP),73.8,1.5,0.5,4.41,10.8,10,Avoid,212.6
Recycled Cardboard,32.5,3.0,98.3,1.43,85.0,3,Highly Recommended,110.0
Recycled Cardboard,28.4,5.1,93.6,1.24,84.3,3,Highly Recommended,122.8
Virgin Plastic (PP),78.8,3.8,4.4,5.36,24.1,10,Avoid,245.6
Bagasse (Sugarcane),28.9,1.7,97.5,1.19,53.5,6,Highly Recommended,104.8
Virgin Plastic (PP),88.1,3.5,0.6,5.67,13.5,10,Avoid,261.2
Bioplastic (PLA),63.1,4.1,88.8,1.8,55.8,8,Highly Recommended,207.2
Bamboo Fiber,55.7,6.7,98.6,0.98,47.6,8,Highly Recommended,218.4
Bioplastic (PLA),52.5,9.5,88.6,1.9,59.6,9,Highly Recommended,245.0
Virgin Plastic (PP),88.5,4.1,3.0,4.53,23.1,10,Avoid,268.0
Aluminum Foil,44.0,8.3,0.0,9.41,91.0,10,Avoid,221.0
Mushroom Mycelium,14.1,9.2,100.0,0.38,100.0,4,Highly Recommended,140.2
Edible Seaweed Film,7.4,2.9,100.0,0.55,0.4,3,Consider as Option,58.8
Aluminum Foil,41.2,2.2,0.0,8.41,93.0,10,Avoid,154.4
Virgin Plastic (PP),76.5,1.9,3.8,5.25,21.7,10,Avoid,222.0
Bioplastic (PLA),61.4,1.7,88.4,1.71,49.9,9,Highly Recommended,184.8
Bagasse (Sugarcane),34.4,4.3,96.9,1.07,50.4,7,Highly Recommended,146.8
Edible Seaweed Film,7.8,2.8,100.0,0.44,7.4,4,Consider as Option,63.6
Bioplastic (PLA),52.3,2.7,92.1,1.66,56.8,9,Highly Recommended,176.6
Virgin Plastic (PP),74.8,9.7,0.9,5.22,18.2,10,Avoid,296.6
Recycled Cardboard,18.7,9.5,94.4,0.92,96.3,4,Highly Recommended,152.4
Bioplastic (PLA),64.0,4.3,81.8,2.08,48.4,8,Consider as Option,211.0
Edible Seaweed Film,10.3,7.3,100.0,0.56,9.6,2,Consider as Option,103.6
Virgin Plastic (PP),67.3,8.1,4.9,4.8,29.4,10,Avoid,265.6
Edible Seaweed Film,13.7,6.1,100.0,0.23,0.4,4,Consider as Option,108.4
Bagasse (Sugarcane),29.4,3.9,95.2,1.01,63.4,6,Highly Recommended,127.8
Virgin Plastic (PP),71.3,6.2,3.8,4.19,16.7,10,Avoid,254.6
Recycled Cardboard,27.6,9.0,97.5,1.25,85.7,3,Highly Recommended,160.2
Bioplastic (PLA),69.4,4.5,90.4,2.32,58.2,9,Highly Recommended,228.8
Recycled Cardboard,29.6,2.0,93.3,1.45,82.9,3,Highly Recommended,94.2
Recycled Cardboard,33.0,8.7,91.0,0.84,85.7,3,Highly Recommended,168.0
Virgin Plastic (PP),88.1,4.0,0.8,5.56,20.5,10,Avoid,266.2
Mushroom Mycelium,16.9,0.9,100.0,0.39,100.0,4,Highly Recommended,62.8
Virgin Plastic (PP),75.6,4.3,4.5,4.87,16.9,10,Avoid,244.2
Bagasse (Sugarcane),39.4,6.5,95.2,1.17,69.9,7,Highly Recommended,178.8
Mushroom Mycelium,11.1,5.2,100.0,0.23,100.0,6,Highly Recommended,104.2
Bamboo Fiber,47.2,2.6,99.4,0.6,47.6,6,Highly Recommended,150.4
Virgin Plastic (PP),82.5,3.7,1.8,4.35,24.9,10,Avoid,252.0
Aluminum Foil,44.2,4.4,0.0,9.09,98.1,10,Avoid,182.4
Bioplastic (PLA),57.3,1.6,87.2,2.4,43.4,8,Consider as Option,170.6
Mushroom Mycelium,12.9,8.8,100.0,0.29,100.0,6,Highly Recommended,143.8
Bagasse (Sugarcane),25.4,0.8,95.1,0.93,66.7,5,Highly Recommended,83.8
Bagasse (Sugarcane),28.0,5.1,96.4,1.32,58.8,6,Highly Recommended,137.0
Recycled Cardboard,35.0,3.3,97.6,1.0,97.2,3,Highly Recommended,118.0
Recycled Cardboard,15.9,1.3,93.2,1.44,99.0,4,Highly Recommended,64.8
Mushroom Mycelium,15.2,6.6,100.0,0.23,100.0,5,Highly Recommended,121.4
Bamboo Fiber,56.7,5.8,95.8,0.62,37.2,7,Highly Recommended,206.4
Edible Seaweed Film,8.3,7.5,100.0,0.3,6.2,3,Consider as Option,106.6
Virgin Plastic (PP),84.1,6.8,3.8,3.9,27.1,10,Avoid,286.2
Mushroom Mycelium,17.7,2.8,100.0,0.2,100.0,6,Highly Recommended,93.4
Bioplastic (PLA),64.7,8.1,88.4,2.35,40.3,9,Consider as Option,255.4
Bamboo Fiber,43.9,1.7,98.8,0.93,46.0,7,Highly Recommended,139.8
Mushroom Mycelium,13.0,3.3,100.0,0.12,100.0,5,Highly Recommended,84.0
Bioplastic (PLA),54.5,3.1,93.8,1.82,54.1,8,Highly Recommended,180.0
Virgin Plastic (PP),82.4,3.4,4.2,4.22,29.1,10,Avoid,248.8
Bamboo Fiber,43.0,4.3,95.9,1.18,42.8,8,Highly Recommended,169.0
Virgin Plastic (PP),76.7,8.9,0.5,4.61,19.9,10,Avoid,292.4
Virgin Plastic (PP),88.2,4.0,1.0,5.48,21.2,10,Avoid,266.4
Bagasse (Sugarcane),20.5,2.8,97.9,1.05,54.4,6,Highly Recommended,99.0
Edible Seaweed Film,13.2,1.8,100.0,0.45,6.5,2,Consider as Option,54.4
Bamboo Fiber,59.9,6.8,96.0,0.98,43.5,6,Highly Recommended,217.8
Bioplastic (PLA),53.7,0.6,90.3,1.59,50.1,8,Highly Recommended,153.4
Bagasse (Sugarcane),23.0,5.4,98.4,1.31,66.7,6,Highly Recommended,130.0
Virgin Plastic (PP),86.3,3.4,0.8,5.5,13.6,10,Avoid,256.6
Bioplastic (PLA),72.8,3.3,91.3,2.31,56.9,9,Highly Recommended,223.6
Virgin Plastic (PP),87.1,5.4,3.0,3.86,10.8,10,Avoid,278.2
Bagasse (Sugarcane),24.2,3.6,99.8,1.38,69.0,6,Highly Recommended,114.4
Edible Seaweed Film,10.4,8.5,100.0,0.6,7.6,2,Consider as Option,115.8
Bagasse (Sugarcane),30.9,1.3,96.6,1.15,65.5,7,Highly Recommended,109.8
Recycled Cardboard,28.4,1.3,90.6,0.97,85.4,5,Highly Recommended,94.8
Virgin Plastic (PP),80.8,8.3,1.4,5.6,21.0,10,Avoid,294.6
Virgin Plastic (PP),64.3,7.4,5.0,4.42,26.7,10,Avoid,252.6
Bamboo Fiber,57.5,4.8,99.4,0.8,31.7,8,Highly Recommended,203.0
Mushroom Mycelium,11.5,4.0,100.0,0.1,100.0,5,Highly Recommended,88.0
Recycled Cardboard,22.5,4.6,93.9,1.08,94.1,4,Highly Recommended,111.0
Bioplastic (PLA),69.0,6.1,92.3,1.97,60.0,9,Highly Recommended,244.0
Virgin Plastic (PP),62.1,1.8,0.8,4.55,12.3,10,Avoid,192.2
Virgin Plastic (PP),88.5,4.0,2.4,5.79,26.5,10,Avoid,267.0
Aluminum Foil,43.5,6.4,0.0,9.73,95.2,10,Avoid,201.0
Bagasse (Sugarcane),31.2,7.8,98.3,1.04,61.0,5,Highly Recommended,165.4
Mushroom Mycelium,20.4,2.9,100.0,0.32,100.0,4,Highly Recommended,89.8
Bioplastic (PLA),58.2,8.7,92.4,1.8,42.8,9,Highly Recommended,248.4
Edible Seaweed Film,14.5,6.7,100.0,0.32,2.2,2,Consider as Option,106.0
Mushroom Mycelium,17.1,3.2,100.0,0.12,100.0,5,Highly Recommended,91.2
Bagasse (Sugarcane),32.0,6.3,99.6,1.18,55.5,6,Highly Recommended,157.0
Mushroom Mycelium,12.3,1.7,100.0,0.21,100.0,4,Highly Recommended,61.6
Bamboo Fiber,51.2,3.9,97.8,0.71,35.3,8,Highly Recommended,181.4
Bagasse (Sugarcane),21.8,8.9,98.9,0.99,68.4,6,Highly Recommended,162.6
Mushroom Mycelium,17.9,1.0,100.0,0.33,100.0,5,Highly Recommended,70.8
Bioplastic (PLA),70.5,2.9,88.8,1.67,54.6,8,Highly Recommended,210.0
Recycled Cardboard,17.5,2.6,94.0,1.0,98.0,5,Highly Recommended,86.0
Bioplastic (PLA),68.6,4.9,87.8,2.19,49.2,8,Highly Recommended,226.2
Bamboo Fiber,50.7,7.1,98.8,0.65,31.4,6,Highly Recommended,202.4
Mushroom Mycelium,20.5,1.6,100.0,0.19,100.0,6,Highly Recommended,87.0
Recycled Cardboard,34.5,2.5,93.9,1.49,90.5,3,Highly Recommended,109.0
Bagasse (Sugarcane),20.9,5.1,97.3,1.31,63.7,5,Highly Recommended,117.8
Virgin Plastic (PP),82.6,6.4,1.8,3.81,14.7,10,Avoid,279.2
Bamboo Fiber,44.1,2.9,98.3,0.86,44.0,8,Highly Recommended,157.2
Bagasse (Sugarcane),28.6,9.3,98.5,1.26,63.4,7,Highly Recommended,185.2
Aluminum Foil,36.3,1.0,0.0,9.51,92.7,10,Avoid,132.6
Edible Seaweed Film,7.2,5.1,100.0,0.46,4.7,4,Consider as Option,85.4
Virgin Plastic (PP),64.0,6.0,1.4,5.17,11.8,10,Avoid,238.0
Virgin Plastic (PP),87.5,6.0,2.9,4.5,21.3,10,Avoid,285.0
Bioplastic (PLA),70.8,3.0,92.4,2.14,42.4,8,Highly Recommended,211.6
Virgin Plastic (PP),60.4,4.9,1.4,3.57,20.4,10,Avoid,219.8
Recycled Cardboard,31.7,9.7,91.9,1.18,95.1,3,Highly Recommended,175.4
Virgin Plastic (PP),70.4,5.4,0.8,5.15,21.1,10,Avoid,244.8
Bamboo Fiber,46.6,1.2,99.6,0.98,30.2,6,Highly Recommended,135.2
Mushroom Mycelium,24.1,2.2,100.0,0.36,100.0,6,Highly Recommended,100.2
Bagasse (Sugarcane),37.9,8.5,98.9,1.11,64.1,7,Highly Recommended,195.8
Edible Seaweed Film,9.6,4.8,100.0,0.48,4.1,2,Consider as Option,77.2
Edible Seaweed Film,6.7,5.8,100.0,0.27,7.3,2,Consider as Option,81.4
Bioplastic (PLA),57.7,3.1,86.3,1.86,42.5,9,Highly Recommended,191.4
Bagasse (Sugarcane),28.9,9.6,96.2,0.98,57.0,5,Highly Recommended,178.8
Recycled Cardboard,22.0,2.4,98.7,1.24,85.4,3,Highly Recommended,83.0
Edible Seaweed Film,10.0,6.6,100.0,0.25,1.8,2,Consider as Option,96.0
Mushroom Mycelium,16.2,3.3,100.0,0.11,100.0,5,Highly Recommended,90.4
Mushroom Mycelium,23.2,1.7,100.0,0.33,100.0,4,Highly Recommended,83.4
Edible Seaweed Film,13.0,3.8,100.0,0.47,3.3,4,Consider as Option,84.0
Edible Seaweed Film,12.9,1.2,100.0,0.41,2.6,4,Consider as Option,57.8
Mushroom Mycelium,21.2,1.1,100.0,0.3,100.0,5,Highly Recommended,78.4
Bagasse (Sugarcane),28.9,2.4,98.7,1.12,60.1,7,Highly Recommended,116.8
Bioplastic (PLA),66.8,9.9,90.2,2.43,48.0,8,Consider as Option,272.6
Virgin Plastic (PP),89.1,2.3,1.6,4.34,22.4,10,Avoid,251.2
Bioplastic (PLA),66.1,4.6,80.9,2.08,45.6,9,Consider as Option,223.2
Recycled Cardboard,34.7,4.1,99.6,1.12,87.1,5,Highly Recommended,135.4
Edible Seaweed Film,14.3,2.9,100.0,0.34,9.9,4,Consider as Option,77.6
Bamboo Fiber,56.9,5.9,99.6,0.55,34.8,6,Highly Recommended,202.8
Edible Seaweed Film,6.1,9.1,100.0,0.4,5.0,3,Consider as Option,118.2
Bioplastic (PLA),66.2,8.8,92.7,2.41,51.5,9,Highly Recommended,265.4
Mushroom Mycelium,24.9,6.2,100.0,0.14,100.0,6,Highly Recommended,141.8
Mushroom Mycelium,23.7,3.2,100.0,0.3,100.0,6,Highly Recommended,109.4
Edible Seaweed Film,9.3,2.1,100.0,0.5,5.4,4,Consider as Option,59.6
Mushroom Mycelium,18.6,3.8,100.0,0.3,100.0,4,Highly Recommended,95.2
Bamboo Fiber,42.9,9.4,95.2,0.98,45.4,8,Highly Recommended,219.8
Mushroom Mycelium,14.9,4.8,100.0,0.18,100.0,5,Highly Recommended,102.8
Bagasse (Sugarcane),37.2,3.6,96.9,1.28,51.0,5,Highly Recommended,135.4
Virgin Plastic (PP),79.1,9.5,3.2,4.3,19.6,10,Avoid,303.2
Mushroom Mycelium,17.0,3.5,100.0,0.18,100.0,4,Highly Recommended,89.0
Bioplastic (PLA),54.9,3.8,82.2,2.2,45.9,9,Consider as Option,192.8
Recycled Cardboard,29.6,4.9,98.7,1.41,80.4,3,Highly Recommended,123.2
Mushroom Mycelium,24.0,5.3,100.0,0.26,100.0,5,Highly Recommended,126.0
Bamboo Fiber,41.1,9.9,95.1,0.55,39.7,6,Highly Recommended,211.2
Bamboo Fiber,43.1,8.4,96.0,1.03,37.4,6,Highly Recommended,200.2
Recycled Cardboard,27.8,9.6,96.2,0.96,97.5,4,Highly Recommended,171.6
Bamboo Fiber,45.3,5.8,97.0,1.11,46.2,8,Highly Recommended,188.6
Bagasse (Sugarcane),24.3,6.2,99.4,1.36,57.4,5,Highly Recommended,135.6
Bamboo Fiber,58.4,6.8,95.1,0.81,38.0,6,Highly Recommended,214.8
Bamboo Fiber,54.7,4.7,99.2,0.93,46.9,6,Highly Recommended,186.4
Bamboo Fiber,57.2,9.6,96.6,1.2,32.4,6,Highly Recommended,240.4
Mushroom Mycelium,12.5,8.7,100.0,0.36,100.0,5,Highly Recommended,137.0
Bamboo Fiber,42.0,2.1,96.5,0.77,42.9,6,Highly Recommended,135.0
Bamboo Fiber,47.5,3.3,98.5,0.57,43.1,6,Highly Recommended,158.0
Bagasse (Sugarcane),40.0,7.6,95.6,0.91,66.1,5,Highly Recommended,181.0
Bamboo Fiber,56.1,6.8,96.4,0.62,35.4,6,Highly Recommended,210.2
Virgin Plastic (PP),74.0,5.5,1.7,5.86,22.7,10,Avoid,253.0
Edible Seaweed Film,12.9,6.6,100.0,0.33,3.3,2,Consider as Option,101.8
Mushroom Mycelium,18.3,1.1,100.0,0.22,100.0,5,Highly Recommended,72.6
Mushroom Mycelium,16.3,5.5,100.0,0.2,100.0,4,Highly Recommended,107.6
Aluminum Foil,43.7,7.4,0.0,8.04,93.8,10,Avoid,211.4
Edible Seaweed Film,11.2,3.6,100.0,0.38,3.8,2,Consider as Option,68.4
Bamboo Fiber,45.5,8.6,98.5,0.6,39.7,6,Highly Recommended,207.0
Edible Seaweed Film,8.9,8.0,100.0,0.55,1.1,4,Consider as Option,117.8
Virgin Plastic (PP),73.3,8.5,3.8,3.86,19.1,10,Avoid,281.6
Aluminum Foil,43.6,9.8,0.0,9.95,99.2,10,Avoid,235.2
Recycled Cardboard,26.3,3.2,99.4,1.14,91.6,5,Highly Recommended,109.6
Mushroom Mycelium,13.4,3.2,100.0,0.37,100.0,5,Highly Recommended,83.8
Bioplastic (PLA),59.6,8.8,92.9,2.36,50.7,8,Highly Recommended,247.2
Bioplastic (PLA),54.8,3.1,94.8,2.37,58.6,8,Highly Recommended,180.6
Aluminum Foil,22.9,1.9,0.0,8.14,92.3,10,Avoid,114.8
Aluminum Foil,39.4,1.6,0.0,11.69,90.3,10,Avoid,144.8
Recycled Cardboard,25.2,1.3,93.2,1.42,88.1,5,Highly Recommended,88.4
Bagasse (Sugarcane),35.0,9.1,96.2,1.35,51.7,7,Highly Recommended,196.0
Aluminum Foil,27.0,5.4,0.0,9.94,90.1,10,Avoid,158.0
Aluminum Foil,22.4,9.1,0.0,11.09,99.6,10,Avoid,185.8
Edible Seaweed Film,10.1,1.6,100.0,0.48,3.1,3,Consider as Option,51.2
Bioplastic (PLA),51.3,9.7,81.0,2.03,45.8,9,Consider as Option,244.6
Virgin Plastic (PP),66.4,4.9,1.7,5.09,23.6,10,Avoid,231.8
Bagasse (Sugarcane),37.9,9.1,98.2,0.92,65.4,5,Highly Recommended,191.8
Bamboo Fiber,57.3,7.4,96.8,1.08,33.4,7,Highly Recommended,223.6
Mushroom Mycelium,22.9,4.9,100.0,0.14,100.0,4,Highly Recommended,114.8
Virgin Plastic (PP),72.7,7.1,1.5,4.57,18.2,10,Avoid,266.4
Edible Seaweed Film,8.9,4.0,100.0,0.23,2.0,2,Consider as Option,67.8
Recycled Cardboard,32.5,1.8,90.1,0.97,85.3,5,Highly Recommended,108.0
Bioplastic (PLA),64.3,8.3,88.0,1.9,54.0,8,Highly Recommended,251.6
Virgin Plastic (PP),60.4,9.5,3.1,4.95,20.3,10,Avoid,265.8
Virgin Plastic (PP),72.6,1.3,1.3,5.14,18.6,10,Avoid,208.2
Bagasse (Sugarcane),34.4,4.4,98.6,0.97,60.0,6,Highly Recommended,142.8
Bamboo Fiber,44.8,9.5,95.3,0.82,40.7,8,Highly Recommended,224.6
Bioplastic (PLA),51.5,2.0,92.3,1.9,51.1,9,Highly Recommended,168.0
Aluminum Foil,43.3,2.2,0.0,10.88,96.3,10,Avoid,158.6
Bagasse (Sugarcane),21.2,7.7,98.2,1.14,55.8,6,Highly Recommended,149.4
Bioplastic (PLA),65.7,6.6,86.9,2.36,58.7,8,Highly Recommended,237.4
Virgin Plastic (PP),70.0,9.9,4.4,4.05,12.2,10,Avoid,289.0
Mushroom Mycelium,11.7,1.9,100.0,0.19,100.0,5,Highly Recommended,67.4
Bamboo Fiber,44.2,9.6,99.2,0.57,38.4,6,Highly Recommended,214.4
Bamboo Fiber,49.9,5.7,99.4,1.14,49.5,7,Highly Recommended,191.8
Recycled Cardboard,31.0,7.1,99.7,1.23,97.2,5,Highly Recommended,158.0
Edible Seaweed Film,11.6,6.4,100.0,0.34,7.9,4,Consider as Option,107.2
Bioplastic (PLA),64.0,8.7,87.2,1.84,54.6,9,Highly Recommended,260.0
Virgin Plastic (PP),80.8,9.1,2.9,5.43,17.3,10,Avoid,302.6
Aluminum Foil,28.4,1.9,0.0,8.6,92.0,10,Avoid,125.8
Bamboo Fiber,53.4,0.7,96.2,1.01,35.4,6,Highly Recommended,143.8
