Material Type,Strength_Mpa,Weight_Capacity_Kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_percent,Cost_per_kg,Moisture_Resistance_percent,Temperature Tolerance (°C),Compostable (Yes/No),Shelf Life Impact Score (1-10),Typical Food Use Case
Natural Fiber,48.26,4.26,34.2,4.379,46.0,5.2,61.0,61.0,No,5,Bowls
Plant-based Polymer,70.87,10.56,65.6,3.935,66.3,5.97,41.0,34.8,Yes,10,Dissolvable Pouches
Natural Polymer,61.55,5.2,33.6,4.173,79.4,2.5,72.8,58.0,No,5,Dissolvable Pouches
Natural Fiber,82.7,8.09,22.4,6.365,60.8,2.23,52.8,64.6,No,10,Bakery Packaging
Natural Fiber,53.73,5.5,73.2,1.776,44.5,1.21,71.2,18.6,Yes,7,Plates
Inorganic,138.92,3.31,75.4,1.856,97.0,3.14,58.4,93.8,Yes,9,Cushion Packaging
Natural Fiber,105.29,9.31,29.9,2.024,61.2,3.19,86.3,78.3,No,4,Wraps
Paper-based,1.0,3.45,51.4,1.821,30.1,3.44,76.1,66.9,Yes,8,Bakery Packaging
Metal,165.53,2.07,95.8,7.945,20.7,2.43,65.2,33.7,Yes,10,Crates
Paper-based,56.92,10.46,79.5,8.991,88.6,5.52,78.9,91.0,Yes,4,Cushion Packaging
Natural Polymer,85.67,7.18,73.5,5.923,39.4,5.12,36.5,69.9,Yes,5,Dissolvable Pouches
Natural Fiber,96.92,8.26,63.2,5.012,39.8,2.86,51.8,14.3,Yes,7,Containers
Metal,75.86,9.69,84.3,8.417,37.8,3.55,57.9,-9.0,Yes,2,Takeaway Boxes
Inorganic,85.42,1.01,24.1,9.16,43.6,4.06,27.1,15.7,No,5,Crates
Metal,78.23,3.51,100.0,6.279,18.3,0.84,13.0,67.7,Yes,7,Containers
Metal,117.04,6.34,97.3,6.852,30.0,2.19,35.0,106.7,Yes,4,Cereal Boxes
Metal,91.64,7.25,10.2,8.491,82.9,1.44,53.1,141.5,No,7,Plates
Biodegradable Polymer,150.22,3.66,62.0,4.886,37.8,3.55,75.2,-2.1,Yes,1,Cushion Packaging
Metal,52.51,2.62,100.0,8.966,91.2,6.47,29.5,24.8,Yes,5,Dissolvable Pouches
Natural Polymer,38.64,4.26,75.2,7.761,37.8,2.49,100.0,47.6,Yes,4,Containers
Biopolymer,51.34,10.08,52.3,6.81,71.1,4.39,47.5,61.5,Yes,10,Dissolvable Pouches
Natural Fiber,161.32,9.42,18.4,4.571,82.4,4.24,72.8,84.7,No,7,Beverage Bottles
Bio-Composite,154.92,1.18,4.9,2.514,61.1,1.37,61.3,61.2,No,10,Plates
Natural Polymer,49.53,5.6,4.6,5.326,73.3,2.85,49.1,73.1,No,10,Takeaway Boxes
Metal,178.65,6.09,28.9,5.721,54.9,2.49,58.2,47.1,No,3,Cushion Packaging
Biodegradable Polymer,75.23,4.39,100.0,5.951,60.0,2.3,48.6,-20.0,Yes,4,Food Trays
Natural Fiber,107.89,1.5,34.1,0.0,43.0,2.15,46.5,109.2,No,10,Bowls
Natural Fiber,148.53,10.23,100.0,9.125,29.5,2.83,36.0,11.1,Yes,5,Produce Wraps
Natural Fiber,97.93,0.1,9.3,1.599,90.3,0.87,39.9,7.8,No,5,Cushion Packaging
Inorganic,132.7,7.99,95.3,4.666,53.5,4.39,28.5,108.7,Yes,3,Cereal Boxes
Biodegradable Polymer,17.91,5.91,46.7,8.635,55.9,2.13,69.7,24.2,No,10,Dissolvable Pouches
Paper-based,114.39,9.78,100.0,8.764,61.9,1.97,89.2,64.4,Yes,4,Edible Wraps
Biopolymer,73.77,2.75,31.8,8.308,100.0,0.52,31.4,111.3,No,8,Cutlery
Metal,45.87,3.43,30.0,4.911,67.1,5.22,70.0,0.2,No,8,Produce Wraps
Synthetic Polymer,19.54,10.04,5.3,5.858,67.9,3.07,66.5,29.9,No,6,Bowls
Biopolymer,59.12,8.18,23.2,5.324,38.2,3.1,82.9,77.2,No,4,Bowls
Natural Fiber,64.2,4.19,71.3,5.182,45.4,1.36,68.8,83.3,Yes,6,Bakery Packaging
Paper-based,54.69,6.97,62.7,5.836,58.3,2.84,59.3,26.6,Yes,7,Containers
Natural Polymer,37.11,0.1,94.9,5.998,27.6,3.7,75.9,30.0,Yes,3,Food Trays
Biodegradable Polymer,69.79,6.25,60.9,11.181,55.2,3.79,68.8,81.2,Yes,9,Crates
Biodegradable Polymer,49.27,7.89,22.3,7.877,53.4,3.2,67.1,88.1,No,2,Beverage Bottles
Metal,145.14,1.98,100.0,7.367,21.6,1.37,74.3,116.3,Yes,5,Takeaway Boxes
Plant-based Polymer,89.29,6.96,62.0,2.766,59.9,3.67,100.0,26.5,Yes,7,Cereal Boxes
Metal,97.77,8.16,47.8,7.142,73.4,2.04,48.9,70.8,No,6,Produce Wraps
Paper-based,35.69,5.83,13.8,0.0,50.3,2.24,63.6,22.6,No,5,Cereal Boxes
Biodegradable Polymer,127.57,6.06,73.6,5.376,76.0,3.35,52.4,121.7,Yes,6,Food Trays
Biopolymer,127.65,1.65,100.0,1.711,55.6,2.02,22.0,27.6,Yes,6,Plates
Bio-Composite,58.32,7.2,69.6,0.0,52.4,0.01,68.3,11.0,Yes,6,Cutlery
Natural Polymer,92.13,3.8,54.7,3.82,38.7,3.3,62.8,28.1,Yes,6,Bakery Packaging
Plant-based Polymer,126.56,1.04,92.7,4.789,85.1,2.37,42.8,32.8,Yes,3,Cutlery
Inorganic,142.96,0.93,36.4,4.531,7.0,1.31,46.9,55.0,No,4,Containers
Metal,18.63,10.11,8.2,0.0,78.8,1.92,78.1,100.9,No,3,Crates
Inorganic,94.18,7.74,19.1,9.579,28.2,2.65,61.4,97.5,No,9,Cushion Packaging
Biodegradable Polymer,84.37,10.79,46.1,0.0,99.0,2.72,68.0,95.7,No,5,Wraps
Biopolymer,48.48,5.61,55.8,6.492,54.4,2.84,78.9,44.6,Yes,7,Bakery Packaging
Natural Fiber,73.07,7.32,82.7,7.931,2.3,3.49,76.5,32.6,Yes,2,Bakery Packaging
Natural Fiber,79.04,5.08,66.3,4.055,56.4,3.27,80.6,20.4,Yes,7,Food Trays
Plant-based Polymer,147.85,11.49,63.7,4.817,67.1,2.44,74.1,6.8,Yes,1,Plates
Synthetic Polymer,92.31,9.18,38.9,0.304,29.8,2.01,9.5,59.5,No,7,Cutlery
Natural Polymer,90.72,6.86,79.6,2.956,40.8,1.5,97.2,75.2,Yes,1,Wraps
Paper-based,47.8,11.01,100.0,6.164,51.7,2.09,46.7,81.2,Yes,9,Wraps
Synthetic Polymer,107.06,3.75,31.6,6.059,57.3,3.24,14.1,66.3,No,1,Bowls
Biodegradable Polymer,64.83,5.89,63.9,5.404,100.0,4.95,58.5,23.3,Yes,9,Containers
Bio-Composite,41.23,4.34,66.3,9.977,82.2,3.31,23.5,41.1,Yes,7,Edible Wraps
Paper-based,120.63,4.05,84.3,5.051,26.7,0.49,49.4,50.5,Yes,5,Plates
Plant-based Polymer,109.94,4.21,90.4,0.63,61.7,2.06,69.9,108.5,Yes,1,Takeaway Boxes
Plant-based Polymer,167.16,4.28,59.7,4.51,52.0,1.19,47.9,35.4,Yes,7,Cereal Boxes
Metal,96.73,2.72,43.2,6.674,40.0,3.13,59.1,60.1,No,8,Bakery Packaging
Metal,10.23,5.74,45.6,6.195,45.1,1.59,23.3,-18.1,No,10,Cereal Boxes
Plant-based Polymer,38.55,9.2,69.4,5.472,83.4,1.67,39.9,54.0,Yes,4,Cereal Boxes
Bio-Composite,79.67,11.41,20.9,6.123,33.3,0.75,14.1,85.0,No,10,Bowls
Paper-based,22.17,3.43,56.8,5.49,75.5,2.94,90.3,160.9,Yes,4,Wraps
Bio-Composite,88.22,5.52,49.3,7.011,49.6,2.33,90.4,60.0,No,9,Bowls
Biopolymer,59.62,3.97,46.8,9.229,22.4,1.42,63.3,-20.0,No,7,Crates
Metal,123.77,7.77,11.4,10.521,52.0,3.82,77.6,110.2,No,6,Cutlery
Inorganic,11.88,5.62,26.8,8.154,84.3,1.68,51.8,34.3,No,3,Cereal Boxes
Metal,91.34,1.88,46.5,5.926,42.7,4.82,18.1,41.2,No,8,Food Trays
Biopolymer,58.94,5.8,62.5,8.98,51.7,4.17,76.6,30.8,Yes,5,Plates
Paper-based,140.58,4.6,69.5,0.767,59.5,0.54,88.5,33.4,Yes,1,Cutlery
Inorganic,145.27,7.47,0.0,5.325,58.7,1.4,40.4,48.5,No,10,Edible Wraps
Bio-Composite,97.36,5.12,15.9,4.229,54.2,2.29,49.8,82.5,No,6,Food Trays
Natural Polymer,167.19,10.92,59.6,6.936,53.7,1.89,55.2,107.3,Yes,8,Wraps
Wood-based,110.74,9.23,55.6,2.971,47.2,1.13,43.5,37.6,Yes,1,Wraps
Synthetic Polymer,104.3,7.05,48.6,7.813,80.7,4.34,22.2,17.9,No,5,Containers
Metal,142.56,3.02,31.0,4.121,56.8,3.38,64.3,50.3,No,5,Dissolvable Pouches
Bio-Composite,72.37,6.09,55.1,0.0,38.6,3.17,38.9,-20.0,Yes,1,Cutlery
Natural Polymer,136.6,4.9,82.1,0.0,12.9,2.43,71.3,47.0,Yes,5,Wraps
Synthetic Polymer,110.84,4.55,41.2,7.263,62.0,2.38,85.5,2.3,No,9,Beverage Bottles
Biodegradable Polymer,86.35,11.06,13.7,0.599,66.1,1.02,10.0,75.6,No,10,Bakery Packaging
Paper-based,50.63,9.14,78.7,5.115,65.6,2.99,61.4,57.4,Yes,6,Takeaway Boxes
Natural Polymer,1.0,8.7,51.6,7.947,5.2,1.49,63.9,20.0,Yes,4,Beverage Bottles
Synthetic Polymer,75.28,5.36,73.0,6.737,47.2,0.01,66.5,66.9,Yes,1,Bakery Packaging
Bio-Composite,158.51,4.62,24.6,7.094,78.8,3.26,43.1,49.2,No,10,Takeaway Boxes
Natural Polymer,63.28,10.58,16.4,8.189,56.7,3.96,57.1,23.7,No,10,Produce Wraps
Natural Fiber,152.79,11.31,47.7,6.455,99.5,3.16,62.2,11.7,No,6,Food Trays
Metal,98.16,5.35,20.2,1.772,2.5,2.86,32.9,61.6,No,6,Food Trays
Metal,124.68,0.73,0.0,4.409,78.1,2.37,89.4,49.5,No,4,Cereal Boxes
Synthetic Polymer,115.03,8.2,66.7,11.24,41.6,3.06,8.4,79.6,Yes,4,Dissolvable Pouches
Wood-based,40.05,5.21,39.6,3.241,51.1,4.47,32.0,67.7,No,1,Containers
Metal,100.08,6.77,54.8,2.492,45.9,5.33,86.8,114.6,Yes,5,Dissolvable Pouches
Plant-based Polymer,122.62,5.07,43.4,4.296,32.7,0.56,50.8,95.4,No,1,Cushion Packaging
Natural Polymer,90.41,4.6,62.7,6.983,50.4,2.33,77.8,74.5,Yes,6,Cereal Boxes
Natural Polymer,116.42,2.47,18.1,7.318,68.2,2.26,31.3,45.4,No,9,Crates
Inorganic,120.22,1.88,100.0,3.641,70.1,1.0,43.4,-9.2,Yes,9,Edible Wraps
Plant-based Polymer,188.84,7.08,58.0,0.0,75.2,2.56,42.8,-20.0,Yes,9,Dissolvable Pouches
Natural Fiber,121.69,6.32,4.6,7.414,23.8,3.05,50.9,3.5,No,6,Bowls
Plant-based Polymer,18.48,6.71,93.0,5.743,65.2,1.3,45.7,-20.0,Yes,9,Bowls
Paper-based,65.94,11.52,100.0,6.199,12.5,1.74,66.3,18.0,Yes,6,Wraps
Wood-based,157.01,10.72,0.0,2.548,65.8,1.5,49.5,24.3,No,3,Edible Wraps
Wood-based,57.89,9.1,88.6,0.352,54.6,0.01,28.9,-14.4,Yes,9,Plates
Synthetic Polymer,48.59,6.01,63.7,0.0,68.4,1.37,84.8,47.3,Yes,10,Cushion Packaging
Paper-based,33.9,7.53,27.6,12.866,92.9,3.33,0.0,166.8,No,6,Bakery Packaging
Metal,84.75,8.32,64.5,6.403,43.5,0.89,77.9,95.1,Yes,10,Takeaway Boxes
Inorganic,77.91,0.3,72.3,5.149,64.8,3.78,61.9,93.3,Yes,3,Bowls
Paper-based,77.36,8.78,39.4,1.017,65.8,1.96,40.3,117.9,No,6,Cutlery
Inorganic,63.75,13.16,43.5,1.567,40.2,2.36,76.6,44.2,No,1,Cereal Boxes
Wood-based,15.06,3.02,83.0,16.523,55.6,3.57,78.6,43.3,Yes,8,Produce Wraps
Plant-based Polymer,116.53,3.27,40.2,4.306,46.9,2.57,54.3,54.6,No,4,Dissolvable Pouches
Synthetic Polymer,3.5,0.1,54.6,2.158,1.2,1.78,65.1,61.8,Yes,6,Wraps
Natural Polymer,55.29,10.04,24.2,5.747,54.1,0.01,61.0,43.4,No,4,Bowls
Natural Polymer,93.2,1.94,36.7,6.427,76.5,0.67,72.7,-20.0,No,1,Food Trays
Biopolymer,131.05,2.44,55.0,4.181,54.0,4.77,30.6,-20.0,Yes,3,Produce Wraps
Natural Fiber,149.27,6.35,74.3,3.793,80.6,1.29,44.3,145.9,Yes,7,Wraps
Synthetic Polymer,30.0,7.79,48.8,2.619,73.4,0.42,30.5,19.8,No,5,Takeaway Boxes
Synthetic Polymer,87.4,2.62,41.3,9.066,54.8,3.02,62.8,39.4,No,5,Edible Wraps
Natural Polymer,106.23,2.45,65.7,6.999,12.2,3.85,27.8,54.7,Yes,7,Produce Wraps
Plant-based Polymer,106.65,0.1,96.8,4.156,41.7,1.46,59.9,-20.0,Yes,8,Edible Wraps
Synthetic Polymer,52.22,7.41,47.7,5.604,68.2,1.0,45.0,92.5,No,8,Cereal Boxes
Inorganic,23.81,4.87,73.5,4.247,58.3,2.26,44.2,80.1,Yes,7,Plates
Bio-Composite,116.17,4.44,17.6,6.09,84.9,2.53,62.0,-0.9,No,7,Cereal Boxes
Natural Polymer,135.14,4.93,71.6,8.09,100.0,4.57,94.1,58.2,Yes,4,Cereal Boxes
Plant-based Polymer,65.09,7.27,11.4,11.773,79.4,1.95,47.6,123.2,No,7,Takeaway Boxes
Bio-Composite,42.66,5.07,48.1,8.072,55.4,4.79,62.8,46.6,No,6,Wraps
Biopolymer,66.81,4.51,45.8,5.319,94.2,2.39,38.9,8.9,No,4,Bakery Packaging
Bio-Composite,113.5,4.06,41.6,5.54,89.2,1.73,63.8,101.1,No,3,Bowls
Wood-based,66.7,2.62,92.2,7.674,41.6,5.22,55.9,104.3,Yes,5,Food Trays
Biodegradable Polymer,28.74,5.78,54.0,6.071,100.0,1.43,42.0,-20.0,Yes,1,Crates
Metal,119.19,2.81,56.7,3.491,29.1,2.14,57.3,68.3,Yes,7,Cutlery
Biodegradable Polymer,124.97,8.55,43.9,6.724,31.1,3.77,54.3,-20.0,No,7,Crates
Plant-based Polymer,5.29,8.33,0.0,5.249,73.4,2.15,87.0,84.7,No,9,Beverage Bottles
Natural Polymer,75.79,3.62,57.1,5.646,71.5,5.19,59.2,14.0,Yes,1,Produce Wraps
Natural Fiber,109.92,12.21,92.7,3.956,71.8,3.55,17.6,21.2,Yes,8,Takeaway Boxes
Biopolymer,47.91,3.85,84.4,7.507,25.4,1.5,99.4,19.8,Yes,5,Food Trays
Bio-Composite,149.62,3.42,56.8,11.245,86.2,2.22,59.0,77.2,Yes,6,Bakery Packaging
Synthetic Polymer,83.24,6.67,26.4,5.469,63.1,1.82,45.2,71.4,No,6,Wraps
Biodegradable Polymer,20.24,10.74,30.1,3.207,51.7,1.47,85.9,106.7,No,8,Bowls
Paper-based,69.26,7.55,0.0,5.319,49.4,2.99,41.9,30.9,No,4,Wraps
Paper-based,70.7,4.92,77.8,5.963,54.0,2.6,31.1,62.9,Yes,9,Takeaway Boxes
Synthetic Polymer,89.92,0.7,32.6,5.68,67.6,2.71,100.0,76.0,No,7,Edible Wraps
Paper-based,93.26,6.73,47.8,6.575,47.6,2.97,44.3,34.0,No,7,Wraps
Biodegradable Polymer,142.33,7.82,28.7,1.086,84.1,2.29,91.0,109.4,No,9,Containers
Natural Polymer,118.07,5.51,53.0,2.68,93.2,0.61,55.2,98.8,Yes,6,Cutlery
Plant-based Polymer,45.29,2.53,40.6,6.379,70.7,2.05,88.9,21.5,No,3,Takeaway Boxes
Metal,97.79,3.53,67.1,6.726,54.1,0.81,100.0,52.4,Yes,4,Edible Wraps
Biodegradable Polymer,49.2,7.49,72.7,0.194,51.1,5.14,41.4,74.3,Yes,6,Plates
Natural Fiber,143.79,6.92,14.5,2.251,30.7,6.52,66.8,69.1,No,10,Cereal Boxes
Paper-based,78.5,12.72,70.6,5.183,21.8,3.17,79.2,73.0,Yes,5,Produce Wraps
Metal,102.12,9.99,81.0,4.63,61.5,3.61,59.3,92.3,Yes,4,Produce Wraps
Synthetic Polymer,82.03,5.57,100.0,8.958,84.4,1.85,46.0,15.2,Yes,4,Edible Wraps
Biodegradable Polymer,40.14,3.23,27.3,5.949,14.2,2.95,49.4,54.6,No,10,Wraps
Paper-based,122.04,12.67,46.1,3.501,63.4,2.99,57.4,1.5,No,4,Edible Wraps
Inorganic,115.29,4.78,17.2,2.568,62.9,1.91,93.2,3.9,No,1,Crates
Biodegradable Polymer,64.86,0.57,70.1,7.971,8.8,3.94,56.8,81.7,Yes,8,Edible Wraps
Inorganic,143.93,8.17,34.6,4.043,45.2,2.34,24.6,36.3,No,9,Cushion Packaging
Metal,136.63,12.67,36.0,7.681,28.0,1.62,62.8,54.2,No,6,Food Trays
Biodegradable Polymer,78.87,8.63,45.7,0.0,62.2,3.52,62.6,152.1,No,3,Beverage Bottles
Plant-based Polymer,65.16,11.2,45.7,3.808,85.5,1.43,43.8,96.7,No,4,Containers
Natural Polymer,48.45,0.1,76.3,4.351,31.6,0.93,81.7,17.6,Yes,10,Food Trays
Metal,166.33,5.52,82.1,3.544,73.7,3.52,100.0,41.5,Yes,9,Wraps
Natural Polymer,71.41,6.42,89.7,3.88,89.5,0.2,70.7,51.6,Yes,6,Edible Wraps
Paper-based,174.27,5.98,70.2,8.665,38.8,2.72,71.1,35.9,Yes,4,Food Trays
Natural Fiber,14.33,4.49,10.4,6.207,54.4,2.95,72.1,32.3,No,8,Plates
Plant-based Polymer,45.54,7.37,40.5,2.983,74.4,1.19,71.1,20.1,No,3,Containers
Natural Polymer,67.18,8.88,23.7,4.968,77.9,3.06,58.9,26.5,No,4,Cereal Boxes
Synthetic Polymer,42.41,6.03,9.2,4.937,41.3,2.9,61.9,77.2,No,8,Cushion Packaging
Inorganic,30.65,9.14,61.7,8.433,38.6,1.63,85.3,44.7,Yes,2,Beverage Bottles
Natural Fiber,69.54,3.64,20.0,1.984,65.5,3.84,56.3,9.2,No,8,Takeaway Boxes
Natural Fiber,125.59,7.36,0.0,5.204,74.3,2.29,41.0,-0.6,No,10,Bowls
Natural Fiber,115.37,7.13,47.7,10.314,73.3,3.63,26.3,3.7,No,8,Wraps
Metal,82.34,0.42,21.3,3.364,78.6,4.06,66.8,51.7,No,6,Bakery Packaging
Wood-based,53.25,8.02,81.9,5.015,60.5,3.5,39.3,80.0,Yes,5,Dissolvable Pouches
Plant-based Polymer,54.77,8.11,85.6,4.741,95.7,1.32,46.1,78.3,Yes,6,Bakery Packaging
Metal,54.3,7.03,9.9,2.542,57.5,3.68,40.7,82.7,No,1,Plates
Natural Fiber,91.05,6.69,33.1,8.975,38.2,1.41,79.1,114.1,No,1,Cereal Boxes
Synthetic Polymer,29.39,6.38,34.7,5.146,85.2,4.81,90.1,71.0,No,8,Plates
Natural Polymer,42.06,9.25,77.2,10.02,61.2,2.54,83.1,37.1,Yes,6,Food Trays
Wood-based,107.75,8.73,0.0,0.84,72.0,1.93,65.6,68.5,No,7,Produce Wraps
Plant-based Polymer,106.91,3.56,80.1,0.0,42.2,2.77,77.0,33.1,Yes,6,Edible Wraps
Inorganic,96.27,3.77,48.6,8.153,71.9,2.34,45.6,63.0,No,7,Wraps
Wood-based,1.0,5.73,0.0,5.039,87.3,4.94,68.3,102.9,No,4,Bakery Packaging
Natural Fiber,71.21,7.73,35.3,5.414,45.1,4.08,54.1,66.6,No,5,Cushion Packaging
Biopolymer,70.42,6.58,51.3,8.211,44.6,1.82,39.8,66.5,Yes,1,Edible Wraps
Paper-based,50.83,11.54,29.0,1.884,64.6,5.8,49.6,37.5,No,6,Beverage Bottles
Natural Polymer,72.41,3.4,86.9,4.454,78.4,2.96,30.9,41.3,Yes,2,Cutlery
Metal,83.17,2.17,71.5,4.894,40.4,4.38,71.0,38.9,Yes,10,Takeaway Boxes
Paper-based,78.57,3.84,6.2,3.72,57.4,0.01,55.7,34.6,No,5,Bowls
Biopolymer,105.31,9.13,0.0,5.521,37.5,2.7,91.7,25.0,No,6,Cereal Boxes
Biodegradable Polymer,87.58,9.99,37.7,2.235,47.3,0.99,57.9,62.2,No,8,Beverage Bottles
Natural Fiber,91.85,3.49,60.6,5.537,23.9,4.18,44.1,12.8,Yes,3,Dissolvable Pouches
Natural Polymer,140.67,4.13,88.8,0.968,27.7,2.83,74.8,31.6,Yes,10,Crates
Natural Fiber,136.01,6.75,35.8,2.103,51.5,3.48,40.2,78.3,No,3,Cereal Boxes
Inorganic,129.17,10.75,75.4,4.94,50.5,2.4,52.6,46.5,Yes,4,Bakery Packaging
Biodegradable Polymer,17.99,7.33,29.0,3.443,24.6,2.21,61.5,44.4,No,3,Beverage Bottles
Biodegradable Polymer,52.79,6.77,9.6,2.405,79.8,2.33,61.0,47.7,No,4,Cutlery
Biopolymer,117.22,1.04,20.9,1.172,91.9,1.41,41.2,62.6,No,1,Plates
Wood-based,34.21,6.31,40.6,5.249,59.2,1.42,65.0,-20.0,No,8,Food Trays
Biopolymer,138.34,4.43,25.6,3.697,63.4,1.99,53.9,63.9,No,9,Cushion Packaging
Natural Fiber,94.83,8.43,9.1,8.116,62.2,0.42,60.5,19.0,No,4,Produce Wraps
Bio-Composite,102.72,7.24,95.2,8.287,78.3,2.19,54.9,71.0,Yes,5,Cushion Packaging
Synthetic Polymer,141.65,10.27,20.4,7.456,79.7,2.24,44.1,56.2,No,1,Beverage Bottles
Inorganic,41.59,5.87,39.4,11.369,42.8,1.4,31.7,50.0,No,9,Cutlery
Biopolymer,27.58,5.74,27.7,2.235,53.6,3.14,80.6,84.4,No,10,Produce Wraps
Natural Fiber,60.55,0.79,43.3,0.0,45.4,2.12,72.8,65.9,No,6,Produce Wraps
Natural Polymer,112.27,5.64,89.3,4.326,70.8,2.58,26.0,-13.1,Yes,3,Cutlery
Natural Fiber,7.14,12.12,60.8,8.808,57.0,0.73,92.2,102.0,Yes,1,Dissolvable Pouches
Paper-based,94.57,9.28,35.9,1.863,32.4,0.92,57.9,108.8,No,6,Bakery Packaging
Natural Polymer,135.3,8.08,10.5,0.0,80.7,0.84,46.2,117.9,No,9,Cereal Boxes
Natural Polymer,60.34,7.33,82.1,9.694,48.2,3.87,76.6,74.4,Yes,5,Produce Wraps
Biopolymer,121.0,0.6,20.5,5.97,19.1,2.13,60.2,6.5,No,4,Wraps
Plant-based Polymer,45.2,3.99,46.1,0.989,45.6,5.8,62.2,115.6,No,4,Food Trays
Synthetic Polymer,78.93,12.53,76.2,4.996,86.4,2.22,23.4,52.3,Yes,1,Bowls
Biodegradable Polymer,44.04,8.33,52.1,6.772,39.2,2.94,92.6,38.0,Yes,4,Cushion Packaging
Inorganic,65.26,8.58,36.0,2.524,34.1,1.7,50.5,-16.3,No,3,Bowls
Paper-based,42.14,5.21,7.0,3.598,21.4,3.0,31.1,48.9,No,5,Crates
Metal,106.99,3.39,82.5,5.479,57.1,5.91,55.1,64.2,Yes,9,Dissolvable Pouches
Bio-Composite,81.22,9.31,19.0,9.256,36.4,2.7,86.9,33.0,No,3,Food Trays
Biodegradable Polymer,73.9,2.44,63.9,4.962,61.2,1.74,55.1,8.9,Yes,7,Produce Wraps
Inorganic,112.23,8.18,34.2,0.585,36.4,5.92,25.2,31.7,No,10,Beverage Bottles
Metal,39.17,8.09,53.6,4.343,36.8,2.47,43.3,1.6,Yes,7,Bakery Packaging
Natural Polymer,65.17,10.71,57.3,9.722,36.9,3.96,70.0,23.6,Yes,7,Cereal Boxes
Synthetic Polymer,1.0,6.46,1.9,5.78,83.2,4.58,56.8,61.3,No,8,Crates
Inorganic,119.47,6.6,39.2,0.0,47.7,3.55,72.1,23.5,No,4,Wraps
Natural Polymer,84.73,6.29,70.4,0.789,37.8,3.06,0.2,59.0,Yes,1,Food Trays
Inorganic,124.73,7.1,26.4,0.833,0.0,0.61,94.5,81.3,No,4,Cereal Boxes
Biopolymer,50.49,5.46,56.3,4.343,60.3,1.92,75.3,6.2,Yes,6,Beverage Bottles
Paper-based,61.55,7.2,9.0,1.916,32.2,4.48,63.6,15.8,No,6,Beverage Bottles
Paper-based,91.43,0.88,63.1,7.343,64.2,1.79,7.7,40.8,Yes,5,Bowls
Paper-based,101.98,8.21,20.1,3.566,92.2,3.96,85.6,36.2,No,8,Beverage Bottles
Biodegradable Polymer,61.2,4.44,37.8,3.826,36.1,3.37,75.6,88.8,No,7,Takeaway Boxes
Bio-Composite,119.14,6.3,52.6,2.888,95.8,2.0,71.1,34.7,Yes,4,Food Trays
Metal,112.61,8.79,20.8,6.182,91.0,3.65,82.1,20.4,No,9,Takeaway Boxes
Bio-Composite,69.21,0.1,69.9,1.004,48.6,1.49,62.8,19.9,Yes,4,Cutlery
Biopolymer,57.25,9.84,38.1,1.99,35.3,0.89,66.6,21.9,No,10,Beverage Bottles
Synthetic Polymer,14.2,4.69,0.0,1.467,100.0,5.57,100.0,86.3,No,1,Edible Wraps
Plant-based Polymer,61.13,8.75,57.5,7.653,61.8,0.66,23.5,9.6,Yes,5,Bowls
Biodegradable Polymer,79.96,6.14,21.0,3.073,71.3,2.16,89.9,66.0,No,6,Cereal Boxes
Synthetic Polymer,62.35,5.18,27.0,2.619,85.5,2.98,77.1,-18.1,No,3,Food Trays
Metal,46.17,11.57,40.0,4.029,34.1,4.55,24.3,52.7,No,5,Bowls
Metal,157.1,8.05,76.6,5.836,40.3,1.13,61.0,59.6,Yes,7,Food Trays
Paper-based,163.33,4.85,24.4,3.68,83.1,1.33,36.7,17.8,No,4,Produce Wraps
Biodegradable Polymer,91.13,6.85,65.0,6.883,47.3,2.16,0.0,9.6,Yes,9,Plates
Wood-based,95.76,3.98,43.1,4.027,70.8,1.95,62.4,35.5,No,8,Crates
Natural Polymer,153.78,3.41,42.3,6.548,74.0,2.91,31.6,30.3,No,5,Food Trays
Biodegradable Polymer,62.73,0.1,51.5,7.118,84.8,3.78,56.8,48.9,Yes,3,Wraps
Biodegradable Polymer,82.75,6.49,45.8,3.255,74.7,3.11,12.3,66.9,No,4,Dissolvable Pouches
Paper-based,127.92,5.43,45.4,3.915,62.7,1.27,83.6,29.6,No,1,Crates
Biodegradable Polymer,50.46,8.48,64.9,3.03,0.0,0.01,92.9,-16.4,Yes,7,Bowls
Natural Fiber,124.99,1.61,45.1,3.263,36.6,2.37,52.0,42.5,No,6,Edible Wraps
Natural Fiber,141.04,8.74,61.2,4.341,63.5,2.21,54.1,114.7,Yes,2,Cushion Packaging
Natural Fiber,105.95,1.32,61.9,7.355,57.2,5.57,100.0,44.5,Yes,2,Cushion Packaging
Biopolymer,77.55,6.03,58.9,2.537,63.0,1.05,54.3,10.1,Yes,5,Bakery Packaging
Plant-based Polymer,97.31,7.79,50.9,7.734,19.3,1.29,64.1,38.0,Yes,7,Bakery Packaging
Natural Fiber,63.0,11.98,100.0,6.243,72.3,4.18,74.4,80.9,Yes,5,Dissolvable Pouches
Synthetic Polymer,82.95,2.8,0.0,1.601,81.5,4.36,22.5,68.9,No,10,Produce Wraps
Plant-based Polymer,125.47,5.93,0.0,4.84,66.2,3.97,100.0,-6.2,No,7,Dissolvable Pouches
Synthetic Polymer,106.39,7.49,26.4,4.93,69.5,2.87,90.3,52.8,No,4,Containers
Paper-based,45.14,6.2,55.7,5.487,92.9,2.13,97.0,35.0,Yes,5,Food Trays
