Material_Type,Tensile_Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,Moisture_Barrier_Grade,AI_Recommendation
Bagasse (Sugarcane),22.4,0.7,96.5,1.2,63.2,5,Highly Recommended
Mushroom Mycelium,17.6,1.3,100.0,0.37,100.0,5,Highly Recommended
Bamboo Fiber,41.3,9.2,99.8,1.2,44.3,7,Highly Recommended
Bagasse (Sugarcane),33.6,5.3,97.4,1.31,50.8,7,Highly Recommended
Bagasse (Sugarcane),39.4,6.5,95.2,1.17,69.9,7,Highly Recommended
Aluminum Foil,29.6,7.4,0.0,8.72,93.0,10,Avoid
Recycled Cardboard,30.3,4.2,99.8,1.44,84.2,5,Highly Recommended
Bamboo Fiber,40.2,7.2,99.2,0.63,38.7,6,Highly Recommended
Bioplastic (PLA),51.3,7.8,85.2,1.93,47.7,9,Highly Recommended
Aluminum Foil,42.9,6.7,0.0,10.15,90.1,10,Avoid
Bioplastic (PLA),69.1,8.5,83.4,1.85,51.6,8,Highly Recommended
Bagasse (Sugarcane),28.0,2.5,98.8,1.02,51.3,5,Highly Recommended
Bioplastic (PLA),59.6,4.8,94.0,1.6,40.2,8,Highly Recommended
Recycled Cardboard,18.2,4.4,98.3,1.48,92.3,3,Highly Recommended
Bamboo Fiber,40.1,6.3,96.2,0.51,42.0,6,Highly Recommended
Bioplastic (PLA),66.2,8.8,92.7,2.41,51.5,9,Highly Recommended
Virgin Plastic (PP),71.7,6.6,1.2,5.16,26.5,10,Avoid
Bioplastic (PLA),50.6,4.9,84.8,1.93,46.6,8,Consider as Option
Bioplastic (PLA),70.6,4.5,85.9,1.93,52.1,8,Highly Recommended
Aluminum Foil,29.7,9.6,0.0,9.43,95.5,10,Avoid
Bioplastic (PLA),53.6,6.1,82.4,2.48,55.9,8,Consider as Option
Recycled Cardboard,15.1,2.5,92.3,1.42,84.4,5,Highly Recommended
Mushroom Mycelium,10.6,9.1,100.0,0.35,100.0,4,Highly Recommended
Virgin Plastic (PP),82.6,6.4,1.8,3.81,14.7,10,Avoid
Recycled Cardboard,34.7,4.1,99.6,1.12,87.1,5,Highly Recommended
Mushroom Mycelium,16.2,3.3,100.0,0.11,100.0,5,Highly Recommended
Bamboo Fiber,41.8,8.7,96.2,0.91,45.2,8,Highly Recommended
Virgin Plastic (PP),81.3,9.6,0.8,3.67,24.0,10,Avoid
Bamboo Fiber,43.0,4.3,95.9,1.18,42.8,8,Highly Recommended
Mushroom Mycelium,15.7,0.9,100.0,0.13,100.0,4,Highly Recommended
Mushroom Mycelium,21.1,6.9,100.0,0.25,100.0,5,Highly Recommended
Virgin Plastic (PP),88.9,8.0,1.8,5.99,18.3,10,Avoid
Mushroom Mycelium,10.8,4.0,100.0,0.3,100.0,5,Highly Recommended
Mushroom Mycelium,19.1,7.1,100.0,0.39,100.0,6,Highly Recommended
Virgin Plastic (PP),70.3,5.3,0.3,4.53,17.0,10,Avoid
Aluminum Foil,26.3,8.4,0.0,10.03,91.6,10,Avoid
Bioplastic (PLA),67.0,1.6,82.3,2.33,51.0,8,Consider as Option
Recycled Cardboard,15.8,7.1,97.8,1.14,88.1,4,Highly Recommended
Bioplastic (PLA),57.1,8.0,83.8,1.58,45.9,8,Highly Recommended
Virgin Plastic (PP),78.4,1.1,1.6,3.94,19.2,10,Avoid
Bioplastic (PLA),57.4,3.3,92.5,1.94,44.7,9,Highly Recommended
Bamboo Fiber,57.0,0.8,96.3,1.18,31.7,7,Highly Recommended
Virgin Plastic (PP),65.1,7.2,4.6,4.58,14.5,10,Avoid
Virgin Plastic (PP),77.5,0.9,4.8,5.36,28.1,10,Avoid
Recycled Cardboard,15.8,7.1,97.8,1.14,88.1,4,Highly Recommended
Bamboo Fiber,58.8,4.5,98.6,0.52,30.8,8,Highly Recommended
Virgin Plastic (PP),64.0,6.3,0.6,4.49,18.6,10,Avoid
Bioplastic (PLA),63.1,9.7,89.5,1.73,52.4,8,Highly Recommended
Aluminum Foil,26.8,8.7,0.0,9.48,97.8,10,Avoid
Virgin Plastic (PP),72.2,5.4,1.9,3.82,20.6,10,Avoid
Bamboo Fiber,42.7,4.0,99.1,0.54,33.8,8,Highly Recommended
Recycled Cardboard,26.9,1.5,90.2,1.05,83.7,4,Highly Recommended
Mushroom Mycelium,21.4,0.9,100.0,0.23,100.0,4,Highly Recommended
Bagasse (Sugarcane),28.5,0.6,97.9,1.09,59.6,5,Highly Recommended
Bagasse (Sugarcane),38.1,1.8,96.4,1.35,55.7,5,Highly Recommended
Mushroom Mycelium,12.1,4.6,100.0,0.33,100.0,6,Highly Recommended
Bioplastic (PLA),54.7,9.8,81.8,2.33,50.4,9,Consider as Option
Bioplastic (PLA),53.0,0.7,92.1,2.13,51.6,9,Highly Recommended
Bamboo Fiber,57.4,1.9,99.4,1.03,38.3,6,Highly Recommended
Recycled Cardboard,17.9,3.3,94.6,1.47,81.9,4,Highly Recommended
Edible Seaweed Film,10.2,5.1,100.0,0.4,9.6,2,Consider as Option
Aluminum Foil,43.8,9.4,0.0,8.26,95.4,10,Avoid
Bioplastic (PLA),51.5,6.0,89.2,2.47,55.1,8,Highly Recommended
Bagasse (Sugarcane),27.0,5.1,99.5,1.07,54.1,6,Highly Recommended
Bagasse (Sugarcane),31.2,2.5,99.2,1.07,64.2,6,Highly Recommended
Aluminum Foil,20.3,9.1,0.0,11.9,96.4,10,Avoid
Edible Seaweed Film,7.3,8.2,100.0,0.4,1.5,4,Consider as Option
Virgin Plastic (PP),73.8,3.7,0.9,5.79,27.6,10,Avoid
Virgin Plastic (PP),78.8,1.4,0.2,5.28,11.7,10,Avoid
Mushroom Mycelium,22.6,9.3,100.0,0.27,100.0,4,Highly Recommended
Edible Seaweed Film,14.4,0.5,100.0,0.22,8.0,3,Consider as Option
Edible Seaweed Film,8.9,6.9,100.0,0.25,4.7,4,Consider as Option
Bagasse (Sugarcane),25.4,1.7,96.2,1.0,60.0,7,Highly Recommended
Mushroom Mycelium,11.0,4.3,100.0,0.38,100.0,5,Highly Recommended
Bamboo Fiber,48.3,0.6,95.3,1.08,48.0,7,Highly Recommended
Mushroom Mycelium,15.3,7.2,100.0,0.27,100.0,5,Highly Recommended
Aluminum Foil,23.0,7.8,0.0,11.02,92.9,10,Avoid
Bioplastic (PLA),63.2,4.3,91.6,1.56,52.4,8,Highly Recommended
Bagasse (Sugarcane),39.0,2.6,96.0,0.92,58.6,7,Highly Recommended
Aluminum Foil,29.4,2.6,0.0,10.35,99.7,10,Avoid
Bioplastic (PLA),62.8,3.6,93.5,2.23,43.3,8,Highly Recommended
Edible Seaweed Film,13.2,6.6,100.0,0.41,0.3,4,Consider as Option
Virgin Plastic (PP),76.9,4.4,0.8,3.65,26.1,10,Avoid
Bioplastic (PLA),74.3,5.4,89.7,1.96,58.7,8,Highly Recommended
Aluminum Foil,43.8,9.4,0.0,8.26,95.4,10,Avoid
Bagasse (Sugarcane),27.7,8.8,96.0,1.12,54.8,6,Highly Recommended
Virgin Plastic (PP),76.2,4.1,4.4,5.99,29.3,10,Avoid
Bamboo Fiber,57.2,9.6,96.6,1.2,32.4,6,Highly Recommended
Mushroom Mycelium,12.2,4.3,100.0,0.35,100.0,4,Highly Recommended
Aluminum Foil,41.7,3.2,0.0,10.98,92.0,10,Avoid
Bamboo Fiber,42.2,4.5,99.0,0.55,42.0,6,Highly Recommended
Aluminum Foil,21.7,4.6,0.0,11.62,94.2,10,Avoid
Bamboo Fiber,53.5,8.5,98.7,0.91,40.1,7,Highly Recommended
Edible Seaweed Film,6.0,5.0,100.0,0.36,3.0,2,Consider as Option
Bagasse (Sugarcane),24.5,2.9,96.6,1.12,62.6,6,Highly Recommended
Recycled Cardboard,29.0,9.5,93.2,1.02,95.7,4,Highly Recommended
Bioplastic (PLA),61.5,2.3,87.4,2.3,43.9,8,Consider as Option
Bagasse (Sugarcane),29.5,2.3,95.3,1.12,61.0,5,Highly Recommended
Virgin Plastic (PP),65.2,1.1,4.3,4.71,22.2,10,Avoid
Virgin Plastic (PP),85.0,4.2,4.2,4.53,21.1,10,Avoid
Aluminum Foil,26.9,2.1,0.0,10.73,93.5,10,Avoid
Virgin Plastic (PP),81.5,4.9,4.7,4.91,12.1,10,Avoid
Recycled Cardboard,15.8,3.8,90.4,1.0,90.2,3,Highly Recommended
Edible Seaweed Film,8.9,4.0,100.0,0.23,2.0,2,Consider as Option
Edible Seaweed Film,13.2,1.8,100.0,0.45,6.5,2,Consider as Option
Recycled Cardboard,27.6,9.0,97.5,1.25,85.7,3,Highly Recommended
Edible Seaweed Film,8.7,4.0,100.0,0.29,3.1,4,Consider as Option
Virgin Plastic (PP),60.0,8.7,1.0,5.16,17.9,10,Avoid
Bioplastic (PLA),55.6,4.1,90.2,1.61,55.7,9,Highly Recommended
Mushroom Mycelium,11.4,7.9,100.0,0.39,100.0,5,Highly Recommended
Recycled Cardboard,27.0,5.1,94.2,1.1,95.2,5,Highly Recommended
Edible Seaweed Film,8.3,6.0,100.0,0.56,1.6,3,Consider as Option
Recycled Cardboard,24.6,3.1,97.3,0.83,87.2,5,Highly Recommended
Mushroom Mycelium,16.0,5.5,100.0,0.15,100.0,6,Highly Recommended
Bamboo Fiber,44.9,10.0,97.5,0.6,48.7,7,Highly Recommended
Aluminum Foil,32.3,5.7,0.0,10.24,99.1,10,Avoid
Bioplastic (PLA),65.9,4.8,87.9,1.76,59.9,9,Highly Recommended
Bagasse (Sugarcane),33.1,6.5,95.2,1.4,51.5,7,Highly Recommended
Aluminum Foil,36.9,6.1,0.0,10.25,93.5,10,Avoid
Edible Seaweed Film,12.8,9.4,100.0,0.22,1.2,3,Consider as Option
Virgin Plastic (PP),84.1,6.8,3.8,3.9,27.1,10,Avoid
Virgin Plastic (PP),62.5,1.0,0.7,5.73,18.5,10,Avoid
Aluminum Foil,35.2,8.0,0.0,8.58,91.9,10,Avoid
Mushroom Mycelium,16.2,4.0,100.0,0.18,100.0,6,Highly Recommended
Virgin Plastic (PP),87.8,5.4,5.0,4.71,25.4,10,Avoid
Bamboo Fiber,51.6,2.9,97.4,0.76,40.6,8,Highly Recommended
Bagasse (Sugarcane),21.9,5.5,95.7,1.34,52.6,6,Highly Recommended
Virgin Plastic (PP),86.1,7.0,4.9,4.26,12.8,10,Avoid
Virgin Plastic (PP),81.2,8.6,2.3,4.5,11.4,10,Avoid
Edible Seaweed Film,10.8,6.9,100.0,0.44,3.6,3,Consider as Option
Aluminum Foil,32.0,7.7,0.0,8.34,91.7,10,Avoid
Recycled Cardboard,20.3,4.1,91.6,0.99,97.1,3,Highly Recommended
Mushroom Mycelium,22.0,7.7,100.0,0.28,100.0,5,Highly Recommended
Aluminum Foil,27.4,3.0,0.0,10.84,96.5,10,Avoid
Bioplastic (PLA),69.4,4.5,90.4,2.32,58.2,9,Highly Recommended
Bamboo Fiber,52.2,2.1,98.0,0.96,39.9,8,Highly Recommended
Virgin Plastic (PP),62.4,5.2,2.2,3.69,20.5,10,Avoid
Mushroom Mycelium,18.1,9.9,100.0,0.35,100.0,4,Highly Recommended
Bamboo Fiber,56.6,8.2,97.1,0.51,32.3,7,Highly Recommended
Virgin Plastic (PP),61.2,6.3,3.8,5.57,11.9,10,Avoid
Edible Seaweed Film,12.2,7.2,100.0,0.41,1.7,3,Consider as Option
Mushroom Mycelium,17.4,8.1,100.0,0.3,100.0,5,Highly Recommended
Mushroom Mycelium,17.7,6.6,100.0,0.28,100.0,5,Highly Recommended
Bagasse (Sugarcane),33.2,2.2,98.6,1.26,62.8,6,Highly Recommended
Recycled Cardboard,28.3,1.9,93.5,1.27,85.7,3,Highly Recommended
Recycled Cardboard,19.2,9.7,96.5,1.29,91.3,5,Highly Recommended
Bamboo Fiber,56.8,7.0,96.5,1.14,47.4,8,Highly Recommended
Mushroom Mycelium,24.9,6.2,100.0,0.14,100.0,6,Highly Recommended
Virgin Plastic (PP),60.4,5.0,1.6,4.12,23.0,10,Avoid
Bioplastic (PLA),58.6,2.7,81.4,1.63,43.8,8,Consider as Option
Bamboo Fiber,48.5,8.6,96.2,0.63,32.8,7,Highly Recommended
Aluminum Foil,24.3,9.5,0.0,8.93,92.7,10,Avoid
Edible Seaweed Film,7.9,7.3,100.0,0.35,2.6,4,Consider as Option
Bamboo Fiber,51.6,2.9,97.4,0.76,40.6,8,Highly Recommended
Recycled Cardboard,22.1,4.0,96.0,1.17,97.0,5,Highly Recommended
Bioplastic (PLA),69.0,6.1,92.3,1.97,60.0,9,Highly Recommended
Virgin Plastic (PP),74.1,5.3,4.2,5.61,29.8,10,Avoid
Bamboo Fiber,56.8,6.3,96.5,1.0,39.4,8,Highly Recommended
Aluminum Foil,42.6,4.5,0.0,8.66,99.6,10,Avoid
Virgin Plastic (PP),66.4,8.5,2.8,3.89,28.6,10,Avoid
Edible Seaweed Film,11.1,6.8,100.0,0.6,7.4,4,Consider as Option
Recycled Cardboard,26.7,5.9,96.3,0.84,90.5,3,Highly Recommended
Recycled Cardboard,20.1,7.9,99.7,1.05,93.3,3,Highly Recommended
Aluminum Foil,29.5,3.1,0.0,11.09,93.9,10,Avoid
Bamboo Fiber,46.1,8.7,96.5,1.12,36.6,6,Highly Recommended
Bioplastic (PLA),74.9,7.9,89.0,1.76,57.0,8,Highly Recommended
Mushroom Mycelium,17.8,8.8,100.0,0.4,100.0,5,Highly Recommended
Edible Seaweed Film,14.3,2.9,100.0,0.34,9.9,4,Consider as Option
Recycled Cardboard,33.5,9.9,93.9,1.27,96.1,5,Highly Recommended
Bioplastic (PLA),53.0,7.8,94.0,2.1,51.3,8,Highly Recommended
Recycled Cardboard,32.9,9.5,92.1,1.38,98.3,3,Highly Recommended
Mushroom Mycelium,18.5,2.9,100.0,0.18,100.0,4,Highly Recommended
Bioplastic (PLA),65.7,6.6,86.9,2.36,58.7,8,Highly Recommended
Recycled Cardboard,15.4,1.5,90.0,0.88,92.5,4,Highly Recommended
Aluminum Foil,25.3,7.2,0.0,9.43,97.4,10,Avoid
Virgin Plastic (PP),64.0,6.0,1.4,5.17,11.8,10,Avoid
Bagasse (Sugarcane),30.3,5.9,99.6,1.14,65.4,5,Highly Recommended
Bamboo Fiber,58.6,3.8,95.2,0.68,43.7,7,Highly Recommended
Virgin Plastic (PP),81.0,0.7,2.2,5.1,19.6,10,Avoid
Recycled Cardboard,24.2,3.7,91.7,1.08,89.5,5,Highly Recommended
Bagasse (Sugarcane),21.7,2.9,98.9,1.01,58.5,7,Highly Recommended
Edible Seaweed Film,10.1,9.8,100.0,0.46,6.6,4,Consider as Option
Aluminum Foil,26.8,9.5,0.0,9.14,93.8,10,Avoid
Bioplastic (PLA),50.1,6.7,81.9,2.48,52.3,9,Consider as Option
Bagasse (Sugarcane),32.5,2.2,96.3,1.19,59.5,7,Highly Recommended
Aluminum Foil,42.0,4.3,0.0,8.89,97.5,10,Avoid
Bagasse (Sugarcane),29.3,0.6,98.8,0.97,68.0,6,Highly Recommended
Recycled Cardboard,19.9,1.9,92.8,0.9,81.6,5,Highly Recommended
Mushroom Mycelium,16.3,5.5,100.0,0.2,100.0,4,Highly Recommended
Aluminum Foil,34.0,5.0,0.0,9.17,98.1,10,Avoid
Mushroom Mycelium,20.6,0.7,100.0,0.13,100.0,6,Highly Recommended
Virgin Plastic (PP),86.6,4.7,0.0,4.44,26.4,10,Avoid
Bagasse (Sugarcane),25.0,2.1,98.4,1.33,61.7,5,Highly Recommended
Virgin Plastic (PP),76.2,9.3,0.8,4.72,22.8,10,Avoid
Mushroom Mycelium,15.9,9.4,100.0,0.39,100.0,6,Highly Recommended
Mushroom Mycelium,21.2,2.1,100.0,0.19,100.0,4,Highly Recommended
Recycled Cardboard,17.6,6.6,90.1,1.45,84.0,5,Highly Recommended
Bamboo Fiber,41.2,1.2,96.8,0.56,37.3,8,Highly Recommended
Virgin Plastic (PP),70.5,5.3,1.1,5.82,16.3,10,Avoid
Virgin Plastic (PP),85.2,8.8,2.7,5.9,18.4,10,Avoid
Recycled Cardboard,23.8,2.1,90.0,1.07,88.4,5,Highly Recommended
Edible Seaweed Film,7.8,7.8,100.0,0.24,3.4,2,Consider as Option
Bioplastic (PLA),63.0,9.3,81.1,1.77,45.4,9,Highly Recommended
Edible Seaweed Film,14.9,6.2,100.0,0.31,9.2,4,Consider as Option
Mushroom Mycelium,14.3,2.2,100.0,0.14,100.0,4,Highly Recommended
Mushroom Mycelium,23.8,10.0,100.0,0.21,100.0,5,Highly Recommended
Bioplastic (PLA),74.2,7.4,95.0,2.25,46.2,9,Highly Recommended
Virgin Plastic (PP),65.8,4.1,2.8,4.42,23.9,10,Avoid
Virgin Plastic (PP),76.2,0.9,3.9,5.65,12.4,10,Avoid
Edible Seaweed Film,12.2,3.2,100.0,0.31,8.0,3,Consider as Option
Bagasse (Sugarcane),34.9,9.5,95.1,0.93,64.7,6,Highly Recommended
Bioplastic (PLA),56.7,6.4,88.1,1.81,45.4,9,Highly Recommended
Bagasse (Sugarcane),25.1,1.1,98.2,1.25,61.4,5,Highly Recommended
Mushroom Mycelium,11.7,5.2,100.0,0.28,100.0,4,Highly Recommended
Bamboo Fiber,50.7,8.6,95.2,1.08,38.8,8,Highly Recommended
Aluminum Foil,29.4,2.6,0.0,10.35,99.7,10,Avoid
Edible Seaweed Film,8.7,9.4,100.0,0.2,0.5,4,Consider as Option
Recycled Cardboard,26.2,4.4,97.7,0.87,85.9,3,Highly Recommended
Aluminum Foil,33.1,3.3,0.0,11.36,92.8,10,Avoid
Virgin Plastic (PP),88.5,4.0,2.4,5.79,26.5,10,Avoid
Mushroom Mycelium,14.5,2.9,100.0,0.31,100.0,6,Highly Recommended
Recycled Cardboard,16.5,7.7,94.8,0.88,95.4,4,Highly Recommended
Virgin Plastic (PP),79.6,6.4,1.3,3.84,28.8,10,Avoid
Aluminum Foil,25.1,3.0,0.0,8.05,96.8,10,Avoid
Aluminum Foil,37.6,0.7,0.0,10.53,91.9,10,Avoid
Edible Seaweed Film,13.2,1.8,100.0,0.45,6.5,2,Consider as Option
Bioplastic (PLA),67.2,8.8,86.7,1.98,47.2,9,Highly Recommended
Edible Seaweed Film,10.7,7.5,100.0,0.3,8.2,4,Consider as Option
Recycled Cardboard,22.3,0.7,92.9,1.05,91.9,4,Highly Recommended
Edible Seaweed Film,13.6,0.9,100.0,0.33,2.8,2,Consider as Option
Virgin Plastic (PP),61.3,9.1,3.8,5.6,25.9,10,Avoid
Virgin Plastic (PP),60.3,8.0,1.7,3.71,24.8,10,Avoid
Edible Seaweed Film,8.7,9.3,100.0,0.43,2.1,2,Consider as Option
Aluminum Foil,23.7,1.3,0.0,10.76,91.4,10,Avoid
Bioplastic (PLA),69.4,4.5,90.4,2.32,58.2,9,Highly Recommended
Edible Seaweed Film,14.3,1.7,100.0,0.48,4.3,2,Consider as Option
Bagasse (Sugarcane),36.5,5.9,95.1,0.98,50.6,5,Highly Recommended
Bagasse (Sugarcane),23.3,0.7,98.8,0.96,66.7,6,Highly Recommended
Mushroom Mycelium,17.0,4.4,100.0,0.2,100.0,5,Highly Recommended
Edible Seaweed Film,5.4,2.9,100.0,0.45,0.0,4,Consider as Option
Virgin Plastic (PP),71.1,5.0,1.5,5.4,15.3,10,Avoid
Edible Seaweed Film,9.9,1.1,100.0,0.48,8.5,4,Consider as Option
Virgin Plastic (PP),83.7,2.0,3.8,5.94,22.5,10,Avoid
Recycled Cardboard,15.9,6.6,98.2,0.83,94.9,3,Highly Recommended
Edible Seaweed Film,12.4,4.0,100.0,0.27,7.3,2,Consider as Option
Mushroom Mycelium,16.5,4.9,100.0,0.17,100.0,5,Highly Recommended
Aluminum Foil,39.9,7.6,0.0,8.49,94.9,10,Avoid
Bamboo Fiber,56.2,5.4,95.1,0.63,43.3,6,Highly Recommended
Aluminum Foil,21.6,6.4,0.0,10.09,99.2,10,Avoid
Aluminum Foil,37.3,3.6,0.0,9.08,93.2,10,Avoid
Edible Seaweed Film,5.1,4.9,100.0,0.24,7.3,2,Consider as Option
Mushroom Mycelium,24.0,7.0,100.0,0.24,100.0,4,Highly Recommended
Virgin Plastic (PP),72.4,9.0,1.2,4.2,10.2,10,Avoid
Aluminum Foil,27.9,2.6,0.0,10.62,96.3,10,Avoid
Mushroom Mycelium,21.2,4.2,100.0,0.16,100.0,4,Highly Recommended
Aluminum Foil,33.5,4.7,0.0,10.18,94.9,10,Avoid
Bagasse (Sugarcane),25.4,0.8,95.1,0.93,66.7,5,Highly Recommended
Aluminum Foil,20.5,6.2,0.0,10.61,96.7,10,Avoid
Aluminum Foil,39.0,5.1,0.0,9.77,96.0,10,Avoid
Virgin Plastic (PP),60.0,8.7,1.0,5.16,17.9,10,Avoid
Virgin Plastic (PP),87.3,1.7,0.9,5.31,25.0,10,Avoid
Bamboo Fiber,47.2,2.6,99.4,0.6,47.6,6,Highly Recommended
Bagasse (Sugarcane),26.3,6.3,99.0,0.92,51.7,5,Highly Recommended
Mushroom Mycelium,15.6,2.9,100.0,0.26,100.0,5,Highly Recommended
Mushroom Mycelium,24.9,9.3,100.0,0.11,100.0,4,Highly Recommended
Mushroom Mycelium,14.1,2.1,100.0,0.36,100.0,5,Highly Recommended
Mushroom Mycelium,21.8,9.7,100.0,0.2,100.0,5,Highly Recommended
Aluminum Foil,27.9,5.3,0.0,10.02,90.1,10,Avoid
Bamboo Fiber,50.7,9.3,95.3,1.18,30.2,8,Highly Recommended
Recycled Cardboard,15.1,2.5,92.3,1.42,84.4,5,Highly Recommended
Bamboo Fiber,41.5,8.1,97.8,1.07,44.6,8,Highly Recommended
Virgin Plastic (PP),61.3,9.1,3.8,5.6,25.9,10,Avoid
Bioplastic (PLA),66.1,5.3,89.6,2.09,41.1,8,Consider as Option
Edible Seaweed Film,5.7,2.3,100.0,0.47,9.2,3,Consider as Option
Bamboo Fiber,59.6,8.6,97.9,0.61,44.4,6,Highly Recommended
Bamboo Fiber,44.9,5.3,95.5,1.09,36.6,8,Highly Recommended
Recycled Cardboard,22.0,8.4,95.2,0.87,98.2,5,Highly Recommended
Bagasse (Sugarcane),32.7,9.3,98.9,1.34,69.0,6,Highly Recommended
Edible Seaweed Film,11.4,7.0,100.0,0.51,0.7,2,Consider as Option
Bagasse (Sugarcane),29.9,3.5,99.3,1.39,52.6,6,Highly Recommended
Bagasse (Sugarcane),35.0,3.5,97.5,1.04,66.1,7,Highly Recommended
Bagasse (Sugarcane),27.3,6.1,98.3,1.3,56.4,5,Highly Recommended
Bamboo Fiber,57.6,5.3,96.3,0.73,33.4,8,Highly Recommended
Bamboo Fiber,43.6,4.3,95.6,1.03,39.5,6,Highly Recommended
Aluminum Foil,43.5,1.4,0.0,11.95,96.5,10,Avoid
Aluminum Foil,20.4,4.5,0.0,10.36,95.6,10,Avoid
Bioplastic (PLA),57.0,3.2,85.5,1.61,40.3,9,Highly Recommended
Edible Seaweed Film,7.0,4.0,100.0,0.28,4.5,2,Consider as Option
Bagasse (Sugarcane),23.3,9.4,99.8,1.4,65.9,7,Highly Recommended
Recycled Cardboard,18.5,9.1,90.3,0.83,92.1,4,Highly Recommended
Recycled Cardboard,15.7,8.6,97.3,1.03,91.0,5,Highly Recommended
Virgin Plastic (PP),79.6,3.6,2.5,3.53,25.3,10,Avoid
Virgin Plastic (PP),81.6,7.0,1.1,5.06,15.2,10,Avoid
Mushroom Mycelium,18.7,5.1,100.0,0.24,100.0,5,Highly Recommended
Virgin Plastic (PP),86.9,4.7,0.9,4.81,16.4,10,Avoid
Recycled Cardboard,15.9,1.3,93.2,1.44,99.0,4,Highly Recommended
Virgin Plastic (PP),62.3,5.0,0.2,4.52,20.9,10,Avoid
Bioplastic (PLA),61.2,2.8,92.8,2.33,53.9,9,Highly Recommended
Recycled Cardboard,21.8,1.5,93.5,0.88,90.5,3,Highly Recommended
Bagasse (Sugarcane),28.6,9.3,98.5,1.26,63.4,7,Highly Recommended
Bamboo Fiber,59.6,8.4,95.9,0.69,43.5,6,Highly Recommended
Aluminum Foil,27.7,0.6,0.0,9.1,93.8,10,Avoid
Edible Seaweed Film,6.7,9.5,100.0,0.43,7.3,3,Consider as Option
Bagasse (Sugarcane),39.6,2.0,99.9,1.15,52.5,7,Highly Recommended
Bagasse (Sugarcane),28.4,2.9,98.7,1.24,67.6,5,Highly Recommended
Recycled Cardboard,19.2,9.7,96.5,1.29,91.3,5,Highly Recommended
Bamboo Fiber,44.1,2.9,98.3,0.86,44.0,8,Highly Recommended
Bioplastic (PLA),67.8,8.3,82.1,2.06,54.0,9,Highly Recommended
Aluminum Foil,24.0,2.1,0.0,8.23,92.1,10,Avoid
Bamboo Fiber,57.3,4.5,96.5,0.73,48.2,7,Highly Recommended
Bamboo Fiber,56.0,0.9,98.2,1.09,43.0,8,Highly Recommended
Bioplastic (PLA),69.7,1.9,83.1,2.13,47.1,9,Highly Recommended
Recycled Cardboard,29.0,9.5,93.2,1.02,95.7,4,Highly Recommended
Bagasse (Sugarcane),30.5,0.8,98.7,1.33,58.7,5,Highly Recommended
Bagasse (Sugarcane),36.6,3.4,98.6,1.06,56.5,6,Highly Recommended
Bamboo Fiber,42.0,1.3,95.1,0.6,48.7,6,Highly Recommended
Mushroom Mycelium,12.8,2.6,100.0,0.2,100.0,5,Highly Recommended
Bamboo Fiber,59.9,2.2,98.6,0.89,44.8,7,Highly Recommended
Edible Seaweed Film,9.4,6.7,100.0,0.32,6.8,3,Consider as Option
Bagasse (Sugarcane),35.9,5.0,97.2,1.29,52.5,5,Highly Recommended
Edible Seaweed Film,12.4,7.8,100.0,0.32,2.2,4,Consider as Option
Recycled Cardboard,24.2,5.3,95.3,1.09,82.9,5,Highly Recommended
Bagasse (Sugarcane),35.7,7.5,99.7,0.98,65.6,5,Highly Recommended
Bagasse (Sugarcane),24.3,4.2,96.5,1.3,60.0,5,Highly Recommended
Edible Seaweed Film,14.4,9.2,100.0,0.6,1.0,3,Consider as Option
Virgin Plastic (PP),70.6,6.8,1.8,5.99,25.6,10,Avoid
Bamboo Fiber,53.2,6.6,95.3,0.8,40.4,8,Highly Recommended
Bamboo Fiber,50.7,6.6,98.8,0.54,30.5,7,Highly Recommended
Bamboo Fiber,58.5,5.1,96.0,0.91,43.8,7,Highly Recommended
Bioplastic (PLA),57.2,9.4,90.4,1.65,50.3,9,Highly Recommended
Bamboo Fiber,49.0,7.5,95.1,0.52,40.4,8,Highly Recommended
Recycled Cardboard,19.2,8.6,94.1,1.38,85.4,5,Highly Recommended
Mushroom Mycelium,24.3,4.1,100.0,0.18,100.0,5,Highly Recommended
Bioplastic (PLA),58.2,8.7,92.4,1.8,42.8,9,Highly Recommended
Virgin Plastic (PP),80.9,5.0,0.4,5.57,12.4,10,Avoid
Recycled Cardboard,16.5,7.7,94.8,0.88,95.4,4,Highly Recommended
Bagasse (Sugarcane),32.9,7.9,97.8,0.98,52.5,7,Highly Recommended
Bagasse (Sugarcane),26.3,8.8,98.1,1.36,62.1,7,Highly Recommended
Virgin Plastic (PP),61.9,8.2,0.1,4.31,21.7,10,Avoid
Mushroom Mycelium,22.1,3.8,100.0,0.26,100.0,5,Highly Recommended
Recycled Cardboard,22.5,8.2,90.6,1.0,84.0,3,Highly Recommended
Virgin Plastic (PP),66.3,5.1,1.0,3.53,11.4,10,Avoid
Bioplastic (PLA),57.7,7.8,81.0,1.61,53.8,8,Highly Recommended
Virgin Plastic (PP),76.5,7.3,5.0,3.52,26.0,10,Avoid
Aluminum Foil,40.3,0.7,0.0,10.56,94.3,10,Avoid
Aluminum Foil,35.6,3.6,0.0,9.89,95.4,10,Avoid
Virgin Plastic (PP),75.3,0.5,4.0,3.84,27.8,10,Avoid
Virgin Plastic (PP),83.5,9.9,3.2,5.81,19.5,10,Avoid
