ProductID,ProductName,ProductCategory,Weight_g,FragilityLevel,Dimensions_cm,MaterialType,SustainabilityScore,Material_Type_ID,Strength_mpa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,SuggestedEcoMaterial,CostPerPackage
PROD-0658,Smartwatch Model 281,Smartwatch,1604.8,4,23x29x12,Plastic,38.08,1,367.66,36.77,6.83,87.52,17.9,Bio-Polymer,187.9
PROD-0659,Smartphone Model 100,Smartphone,1768.47,3,13x10x5,Cardboard,52.12,4,270.32,27.03,9.4,79.54,24.19,Recycled PET,170.15
PROD-0660,Camera Model 666,Camera,2067.18,5,41x33x10,Cardboard,59.63,3,416.02,41.6,6.63,56.64,55.18,Recycled PET,231.24
PROD-0661,Tablet Model 760,Tablet,2271.7,2,37x27x16,Plastic,80.74,4,218.5,21.85,6.23,27.49,93.03,Molded Pulp,177.75
PROD-0662,Smartphone Model 408,Smartphone,2195.98,1,15x27x2,Cardboard,61.94,4,40.28,4.03,6.88,54.4,57.39,Molded Pulp,139.04
PROD-0663,Smartphone Model 301,Smartphone,2615.37,1,34x21x16,Aluminum,46.92,4,282.84,28.28,8.08,79.74,24.35,Bio-Polymer,182.91
PROD-0664,Smartwatch Model 412,Smartwatch,608.86,5,45x27x5,Cardboard,62.79,3,93.93,9.39,9.09,64.57,44.05,Molded Pulp,126.25
PROD-0665,Headphones Model 765,Headphones,1233.39,3,45x9x4,Aluminum,37.03,3,483.1,48.31,3.4,68.99,39.04,Bio-Polymer,165.55
PROD-0666,Smartphone Model 902,Smartphone,2846.0,4,13x8x8,Composite,14.03,2,268.21,26.82,2.81,96.39,4.66,Bio-Polymer,239.5
PROD-0667,Smartwatch Model 636,Smartwatch,1219.94,2,5x20x7,Cardboard,35.88,2,281.24,28.12,1.31,60.02,51.06,Bio-Polymer,130.7
PROD-0668,Laptop Model 174,Laptop,418.37,5,42x18x6,Cardboard,24.88,3,454.56,45.46,4.33,87.88,12.6,Recycled PET,150.24
PROD-0669,Camera Model 485,Camera,1600.06,2,15x5x11,Aluminum,85.0,1,316.05,31.6,8.62,31.32,84.22,Molded Pulp,150.89
PROD-0670,Laptop Model 574,Laptop,373.0,1,5x12x2,Plastic,39.45,2,158.34,15.83,1.63,55.3,54.9,Recycled PET,60.08
PROD-0671,Laptop Model 446,Laptop,648.42,4,12x18x18,Composite,74.06,4,155.09,15.51,5.85,33.37,84.46,Bio-Polymer,117.19
PROD-0672,Smartphone Model 739,Smartphone,2995.04,2,45x33x7,Composite,86.38,4,255.77,25.58,7.25,20.46,95.6,Bio-Polymer,215.01
PROD-0673,Tablet Model 975,Tablet,1647.02,5,5x27x10,Aluminum,90.72,4,434.64,43.46,8.53,24.85,94.32,Recycled PET,212.09
PROD-0674,Tablet Model 278,Tablet,887.97,4,37x18x12,Plastic,31.03,1,399.42,39.94,6.25,93.53,10.04,Molded Pulp,154.77
PROD-0675,Camera Model 763,Camera,2984.59,3,44x27x13,Cardboard,67.4,2,481.74,48.17,2.68,24.51,94.48,Recycled PET,251.22
PROD-0676,Smartphone Model 279,Smartphone,2901.35,5,42x14x9,Plastic,86.47,3,45.22,4.52,9.68,36.49,79.57,Recycled PET,235.0
PROD-0677,Camera Model 600,Camera,1350.18,2,48x8x14,Plastic,54.07,3,141.48,14.15,1.85,37.18,77.77,Molded Pulp,122.9
PROD-0678,Smartphone Model 276,Smartphone,818.19,4,7x24x5,Aluminum,37.09,1,49.3,4.93,7.92,92.91,9.01,Bio-Polymer,116.01
PROD-0679,Headphones Model 162,Headphones,2523.28,5,44x9x3,Plastic,17.89,3,378.03,37.8,1.78,84.76,17.95,Molded Pulp,249.84
PROD-0680,Tablet Model 761,Tablet,2161.08,4,29x28x6,Plastic,67.67,1,79.01,7.9,2.29,21.65,97.52,Molded Pulp,185.44
PROD-0681,Laptop Model 255,Laptop,2076.48,4,20x19x14,Aluminum,49.14,3,58.94,5.89,9.08,82.05,21.34,Recycled PET,179.98
PROD-0682,Laptop Model 568,Laptop,2684.69,4,15x20x19,Plastic,41.25,3,285.22,28.52,7.78,86.12,16.91,Bio-Polymer,231.18
PROD-0683,Smartphone Model 948,Smartphone,2083.78,2,29x8x17,Plastic,38.9,1,211.63,21.16,4.29,70.38,36.24,Bio-Polymer,165.98
PROD-0684,Smartwatch Model 460,Smartwatch,887.2,5,25x15x3,Composite,81.8,3,360.4,36.04,6.75,24.57,91.34,Bio-Polymer,165.76
PROD-0685,Smartphone Model 247,Smartphone,2096.9,1,34x8x15,Aluminum,49.03,2,248.64,24.86,5.12,58.89,47.62,Recycled PET,153.42
PROD-0686,Camera Model 441,Camera,952.15,1,15x8x4,Aluminum,61.63,3,218.41,21.84,1.6,26.51,92.06,Recycled PET,95.97
PROD-0687,Smartwatch Model 162,Smartwatch,2289.75,2,41x8x8,Aluminum,50.02,4,218.5,21.85,7.49,74.46,33.43,Molded Pulp,176.91
PROD-0688,Headphones Model 459,Headphones,1878.26,2,49x15x12,Plastic,45.07,1,437.22,43.72,7.87,84.99,22.65,Molded Pulp,176.94
PROD-0689,Smartphone Model 426,Smartphone,278.36,4,42x24x7,Composite,65.48,3,203.66,20.37,8.94,62.58,49.52,Recycled PET,104.94
PROD-0690,Smartphone Model 835,Smartphone,1562.86,5,16x33x15,Composite,60.39,2,173.36,17.34,5.87,52.57,61.55,Molded Pulp,179.5
PROD-0691,Headphones Model 314,Headphones,1062.74,5,29x30x11,Cardboard,51.72,3,175.88,17.59,7.06,69.14,39.15,Recycled PET,154.88
PROD-0692,Tablet Model 990,Tablet,1019.28,3,18x9x12,Aluminum,40.53,3,106.33,10.63,4.94,72.56,34.6,Molded Pulp,115.62
PROD-0693,Tablet Model 417,Tablet,1826.66,3,33x11x19,Composite,28.56,4,431.74,43.17,3.87,80.98,21.81,Bio-Polymer,188.5
PROD-0694,Camera Model 384,Camera,1000.86,1,35x24x4,Composite,35.32,2,81.85,8.18,4.71,76.19,27.5,Recycled PET,83.67
PROD-0695,Smartphone Model 528,Smartphone,2341.84,3,11x34x5,Composite,77.21,3,455.22,45.52,9.21,46.53,67.31,Molded Pulp,217.71
PROD-0696,Headphones Model 385,Headphones,258.83,3,34x34x19,Aluminum,32.1,3,148.9,14.89,2.48,68.74,36.99,Recycled PET,83.58
PROD-0697,Tablet Model 117,Tablet,1998.15,1,47x14x15,Plastic,17.73,4,450.72,45.07,3.24,93.44,7.98,Recycled PET,167.16
PROD-0698,Smartphone Model 689,Smartphone,2437.12,1,40x27x13,Cardboard,34.11,1,397.5,39.75,6.46,83.95,13.82,Molded Pulp,186.21
PROD-0699,Tablet Model 274,Tablet,2034.85,3,16x38x7,Cardboard,30.53,1,295.17,29.52,2.05,71.14,37.24,Molded Pulp,185.88
PROD-0700,Laptop Model 293,Laptop,1516.83,5,41x19x11,Plastic,91.58,1,338.04,33.8,9.03,23.97,92.45,Recycled PET,194.7
PROD-0701,Camera Model 212,Camera,2853.41,3,43x23x9,Aluminum,28.44,4,169.66,16.97,1.43,66.82,37.9,Recycled PET,214.66
PROD-0702,Laptop Model 321,Laptop,934.82,4,27x17x6,Composite,34.83,1,291.37,29.14,7.8,96.59,6.06,Molded Pulp,146.11
PROD-0703,Camera Model 930,Camera,106.55,4,30x22x16,Plastic,42.53,2,153.28,15.33,4.36,68.49,41.8,Bio-Polymer,90.74
PROD-0704,Smartwatch Model 996,Smartwatch,1324.37,4,37x36x5,Cardboard,45.97,1,207.11,20.71,1.46,46.33,66.88,Bio-Polymer,156.47
PROD-0705,Headphones Model 154,Headphones,147.39,2,45x23x8,Aluminum,69.96,1,384.68,38.47,8.59,51.08,59.36,Bio-Polymer,85.44
PROD-0706,Tablet Model 899,Tablet,2864.11,4,39x30x13,Composite,43.78,3,129.53,12.95,6.76,79.13,27.88,Recycled PET,226.11
PROD-0707,Laptop Model 557,Laptop,669.26,5,27x38x8,Cardboard,45.6,2,421.03,42.1,1.08,43.41,68.81,Bio-Polymer,161.07
PROD-0708,Tablet Model 977,Tablet,2377.33,2,15x12x14,Cardboard,51.47,4,194.18,19.42,3.41,49.23,63.06,Recycled PET,178.37
PROD-0709,Laptop Model 479,Laptop,2334.99,2,36x38x19,Cardboard,27.0,2,270.76,27.08,4.17,88.92,17.22,Molded Pulp,183.04
PROD-0710,Smartphone Model 186,Smartphone,692.3,4,19x28x16,Composite,25.34,1,471.56,47.16,3.9,87.78,16.21,Bio-Polymer,150.93
PROD-0711,Smartwatch Model 899,Smartwatch,1882.62,3,25x22x15,Cardboard,54.77,3,343.82,34.38,5.49,56.13,54.72,Molded Pulp,184.02
PROD-0712,Laptop Model 490,Laptop,191.83,1,23x17x17,Aluminum,62.53,4,326.35,32.63,5.74,46.69,65.94,Bio-Polymer,67.98
PROD-0713,Headphones Model 107,Headphones,1476.55,3,6x38x18,Aluminum,76.0,2,358.69,35.87,4.57,23.13,96.19,Bio-Polymer,165.77
PROD-0714,Smartphone Model 412,Smartphone,93.21,3,30x26x19,Composite,41.26,2,459.87,45.99,3.99,66.78,42.19,Molded Pulp,105.16
PROD-0715,Tablet Model 542,Tablet,2767.37,2,33x31x4,Aluminum,68.06,1,131.77,13.18,5.54,36.55,76.49,Molded Pulp,189.67
PROD-0716,Headphones Model 427,Headphones,2929.45,2,33x10x6,Plastic,12.2,1,310.49,31.05,1.3,93.09,11.65,Recycled PET,217.9
PROD-0717,Camera Model 860,Camera,705.73,2,29x25x9,Aluminum,80.6,4,206.19,20.62,6.81,27.92,88.96,Molded Pulp,95.19
PROD-0718,Headphones Model 678,Headphones,663.91,5,20x18x7,Cardboard,63.8,1,15.81,1.58,6.45,48.94,63.31,Recycled PET,119.67
PROD-0719,Tablet Model 708,Tablet,2273.47,5,15x31x7,Cardboard,51.79,3,71.4,7.14,3.51,51.3,62.9,Recycled PET,205.96
PROD-0720,Smartwatch Model 363,Smartwatch,797.47,1,9x19x7,Aluminum,19.01,4,169.25,16.92,2.62,88.32,14.24,Molded Pulp,82.35
PROD-0721,Laptop Model 902,Laptop,2690.48,2,20x22x2,Aluminum,9.0,1,286.85,28.68,1.66,98.6,3.96,Bio-Polymer,204.1
PROD-0722,Camera Model 387,Camera,1743.09,4,39x28x4,Composite,67.23,4,441.92,44.19,6.29,43.79,70.14,Bio-Polymer,202.52
PROD-0723,Camera Model 590,Camera,1084.79,2,11x18x19,Composite,31.5,2,397.65,39.76,6.12,90.83,11.71,Bio-Polymer,135.32
PROD-0724,Smartwatch Model 599,Smartwatch,2506.45,5,34x28x16,Plastic,30.82,4,281.13,28.11,5.8,90.27,12.7,Molded Pulp,238.54
PROD-0725,Headphones Model 281,Headphones,1505.55,2,17x23x3,Aluminum,50.73,2,46.2,4.62,9.87,85.75,18.75,Bio-Polymer,118.21
PROD-0726,Headphones Model 834,Headphones,2739.32,5,43x17x5,Plastic,29.0,4,150.09,15.01,5.78,93.3,9.77,Recycled PET,236.37
PROD-0727,Laptop Model 106,Laptop,2787.64,2,42x22x16,Aluminum,67.51,1,189.69,18.97,7.5,52.07,62.54,Molded Pulp,199.76
PROD-0728,Laptop Model 874,Laptop,537.99,4,39x21x17,Plastic,33.39,2,314.64,31.46,2.02,68.22,42.2,Recycled PET,128.51
PROD-0729,Smartphone Model 250,Smartphone,56.85,1,17x26x9,Aluminum,30.73,4,41.81,4.18,3.69,77.13,26.61,Bio-Polymer,34.2
PROD-0730,Headphones Model 246,Headphones,2952.6,4,25x30x15,Aluminum,40.36,3,269.79,26.98,3.48,67.65,44.07,Bio-Polymer,244.23
PROD-0731,Headphones Model 647,Headphones,2723.11,5,8x11x11,Aluminum,75.38,1,451.72,45.17,6.18,29.07,84.41,Bio-Polymer,268.64
PROD-0732,Headphones Model 799,Headphones,213.56,3,19x30x17,Plastic,71.53,4,355.66,35.57,3.98,24.57,92.71,Recycled PET,101.24
PROD-0733,Laptop Model 613,Laptop,2507.45,4,44x38x18,Cardboard,56.33,4,400.57,40.06,6.77,60.73,48.75,Bio-Polymer,235.01
PROD-0734,Smartphone Model 914,Smartphone,1400.52,2,42x20x3,Composite,62.85,2,344.02,34.4,7.21,52.33,56.68,Recycled PET,143.72
PROD-0735,Headphones Model 622,Headphones,813.94,1,33x22x12,Composite,20.64,2,111.23,11.12,1.3,79.98,25.72,Molded Pulp,77.48
PROD-0736,Laptop Model 485,Laptop,2642.3,2,16x6x19,Plastic,57.85,1,64.14,6.41,6.76,60.39,51.36,Molded Pulp,177.12
PROD-0737,Tablet Model 570,Tablet,630.17,2,42x37x10,Aluminum,53.09,2,416.45,41.65,2.05,38.73,74.81,Molded Pulp,112.6
PROD-0738,Smartwatch Model 631,Smartwatch,2844.53,4,19x32x9,Cardboard,50.27,4,350.8,35.08,5.19,61.56,49.21,Bio-Polymer,247.25
PROD-0739,Headphones Model 904,Headphones,656.58,1,40x12x11,Plastic,48.28,4,291.78,29.18,7.54,77.51,30.21,Recycled PET,84.75
PROD-0740,Camera Model 355,Camera,1860.37,3,23x8x14,Plastic,64.24,2,102.75,10.27,7.33,49.57,58.2,Bio-Polymer,158.2
PROD-0741,Camera Model 325,Camera,708.1,2,42x25x14,Composite,71.59,1,305.64,30.56,3.7,24.62,94.67,Molded Pulp,107.69
PROD-0742,Headphones Model 966,Headphones,1659.72,1,27x34x17,Composite,67.08,3,25.35,2.53,3.45,29.71,88.8,Molded Pulp,110.95
PROD-0743,Smartwatch Model 605,Smartwatch,2067.73,3,46x11x18,Cardboard,66.0,4,68.23,6.82,4.96,36.63,76.92,Bio-Polymer,164.55
PROD-0744,Camera Model 463,Camera,611.17,2,28x24x8,Aluminum,27.36,4,162.83,16.28,2.7,75.51,27.62,Bio-Polymer,86.36
PROD-0745,Smartphone Model 813,Smartphone,1586.61,1,31x6x2,Cardboard,53.58,2,227.43,22.74,9.77,79.3,24.16,Bio-Polymer,127.41
PROD-0746,Camera Model 731,Camera,1433.73,4,38x31x6,Composite,66.73,3,69.08,6.91,4.1,32.54,83.85,Recycled PET,148.08
PROD-0747,Tablet Model 826,Tablet,259.56,2,10x31x17,Aluminum,48.11,4,68.77,6.88,9.31,83.99,18.13,Bio-Polymer,60.32
PROD-0748,Smartphone Model 981,Smartphone,2464.01,2,20x39x4,Cardboard,73.03,3,365.69,36.57,9.17,52.66,60.56,Molded Pulp,199.23
PROD-0749,Tablet Model 308,Tablet,1040.26,1,40x32x4,Plastic,43.47,3,289.16,28.92,4.28,65.74,43.89,Molded Pulp,104.91
PROD-0750,Camera Model 620,Camera,1745.02,2,45x35x4,Plastic,41.23,4,271.53,27.15,3.29,63.31,46.8,Recycled PET,155.59
PROD-0751,Laptop Model 336,Laptop,1568.61,3,42x28x10,Plastic,59.02,3,231.69,23.17,7.94,66.15,45.45,Bio-Polymer,157.31
PROD-0752,Smartphone Model 458,Smartphone,1564.12,2,32x13x6,Aluminum,66.25,3,488.51,48.85,3.06,29.29,90.0,Recycled PET,165.17
PROD-0753,Smartphone Model 857,Smartphone,366.31,5,31x7x10,Aluminum,27.99,2,34.4,3.44,5.69,93.6,8.71,Bio-Polymer,106.42
PROD-0754,Camera Model 334,Camera,1299.27,3,32x36x4,Composite,54.96,2,98.51,9.85,2.0,34.92,78.29,Molded Pulp,130.86
PROD-0755,Camera Model 103,Camera,1384.48,1,11x11x7,Cardboard,67.99,3,327.28,32.73,4.47,35.51,83.5,Bio-Polymer,126.79
PROD-0756,Laptop Model 541,Laptop,2214.25,3,24x12x5,Aluminum,63.39,1,76.82,7.68,1.7,27.1,94.29,Bio-Polymer,172.81
PROD-0757,Headphones Model 208,Headphones,2528.06,5,30x19x7,Aluminum,41.36,3,298.8,29.88,3.55,63.13,45.26,Molded Pulp,241.03
PROD-0758,Laptop Model 826,Laptop,1657.7,5,36x9x13,Cardboard,57.95,4,288.2,28.82,6.99,58.38,50.01,Molded Pulp,196.82
PROD-0759,Headphones Model 174,Headphones,306.01,2,10x7x11,Composite,97.36,1,485.79,48.58,9.92,24.61,96.13,Molded Pulp,103.7
PROD-0760,Camera Model 245,Camera,748.71,2,11x5x2,Aluminum,40.68,2,442.86,44.29,3.29,59.68,45.85,Bio-Polymer,121.64
PROD-0761,Headphones Model 141,Headphones,536.56,4,21x26x5,Cardboard,51.25,1,473.32,47.33,5.26,60.51,50.35,Recycled PET,144.01
PROD-0762,Smartwatch Model 140,Smartwatch,417.61,3,18x10x15,Aluminum,40.06,2,65.67,6.57,5.03,76.41,33.23,Bio-Polymer,81.47
PROD-0763,Camera Model 133,Camera,1129.4,4,37x24x17,Aluminum,12.53,1,435.39,43.54,2.66,96.71,3.16,Recycled PET,168.98
PROD-0764,Smartphone Model 776,Smartphone,726.71,5,8x38x2,Composite,51.95,3,73.25,7.33,6.49,65.84,43.31,Bio-Polymer,127.57
PROD-0765,Smartphone Model 477,Smartphone,693.99,2,17x12x5,Plastic,69.39,2,320.14,32.01,7.52,47.79,65.51,Bio-Polymer,106.8
PROD-0766,Smartwatch Model 698,Smartwatch,211.34,2,38x27x14,Aluminum,50.7,4,362.84,36.28,2.32,46.89,68.99,Bio-Polymer,87.43
PROD-0767,Headphones Model 973,Headphones,102.13,2,9x20x7,Composite,31.65,1,88.82,8.88,7.81,99.69,0.65,Bio-Polymer,53.05
PROD-0768,Camera Model 126,Camera,353.17,1,33x30x14,Cardboard,77.27,3,320.0,32.0,7.3,35.23,80.11,Recycled PET,73.16
PROD-0769,Smartphone Model 386,Smartphone,557.98,5,47x25x2,Cardboard,40.65,1,35.71,3.57,2.78,57.57,49.24,Bio-Polymer,115.6
PROD-0770,Camera Model 830,Camera,1321.4,2,8x7x19,Plastic,58.61,1,153.7,15.37,6.84,58.53,52.07,Molded Pulp,122.84
PROD-0771,Laptop Model 367,Laptop,1556.03,5,27x20x14,Cardboard,75.88,4,461.37,46.14,4.54,22.92,96.17,Molded Pulp,208.63
PROD-0772,Headphones Model 920,Headphones,464.75,2,17x35x16,Plastic,45.59,1,94.15,9.41,7.13,73.17,28.45,Bio-Polymer,72.44
PROD-0773,Laptop Model 784,Laptop,1303.11,3,19x9x18,Aluminum,67.56,4,41.98,4.2,5.46,37.05,76.17,Recycled PET,123.56
PROD-0774,Smartphone Model 575,Smartphone,1058.16,5,26x26x12,Plastic,40.22,2,227.4,22.74,1.43,52.82,57.48,Molded Pulp,161.22
PROD-0775,Camera Model 733,Camera,591.1,4,28x14x16,Aluminum,74.38,4,426.8,42.68,8.08,42.74,70.08,Molded Pulp,142.11
PROD-0776,Camera Model 675,Camera,70.18,1,38x15x12,Cardboard,49.07,4,47.57,4.76,6.0,66.52,41.78,Molded Pulp,32.54
PROD-0777,Laptop Model 921,Laptop,1427.7,4,33x26x2,Plastic,46.85,2,184.21,18.42,7.52,77.44,27.92,Bio-Polymer,158.78
PROD-0778,Tablet Model 804,Tablet,2072.67,5,12x36x9,Composite,41.31,4,450.89,45.09,2.13,56.18,54.61,Molded Pulp,234.1
PROD-0779,Tablet Model 792,Tablet,717.52,2,49x27x6,Cardboard,52.46,3,67.9,6.79,7.49,74.52,37.49,Recycled PET,82.93
PROD-0780,Smartwatch Model 470,Smartwatch,438.83,5,35x33x7,Cardboard,32.27,1,162.23,16.22,4.72,81.28,22.29,Recycled PET,121.93
PROD-0781,Laptop Model 128,Laptop,2666.78,1,29x29x15,Cardboard,83.13,4,391.43,39.14,8.19,31.12,83.92,Recycled PET,198.71
PROD-0782,Headphones Model 878,Headphones,861.32,5,21x20x10,Cardboard,54.12,1,276.17,27.62,6.39,65.07,47.58,Molded Pulp,155.04
PROD-0783,Tablet Model 611,Tablet,709.66,2,6x8x10,Cardboard,67.62,4,417.84,41.78,4.19,35.14,84.73,Molded Pulp,115.04
PROD-0784,Smartwatch Model 212,Smartwatch,2578.44,4,40x10x2,Composite,39.71,2,64.68,6.47,2.82,59.91,47.4,Recycled PET,206.92
PROD-0785,Tablet Model 906,Tablet,2460.47,3,49x7x6,Composite,66.78,2,461.07,46.11,8.34,57.88,55.68,Molded Pulp,224.03
PROD-0786,Tablet Model 409,Tablet,1372.62,4,49x7x12,Composite,83.88,1,468.11,46.81,6.04,16.68,99.53,Recycled PET,185.88
PROD-0787,Laptop Model 154,Laptop,1493.25,2,37x19x5,Plastic,96.64,1,86.1,8.61,9.89,29.62,95.15,Bio-Polymer,124.95
PROD-0788,Camera Model 505,Camera,692.36,2,19x11x16,Cardboard,33.75,1,26.6,2.66,4.36,81.83,27.17,Bio-Polymer,76.28
PROD-0789,Headphones Model 411,Headphones,280.99,1,8x7x15,Plastic,80.81,2,495.02,49.5,7.17,31.57,86.87,Bio-Polymer,89.03
PROD-0790,Smartphone Model 861,Smartphone,1741.62,5,10x37x10,Plastic,49.85,1,246.3,24.63,6.61,70.48,39.04,Molded Pulp,197.89
PROD-0791,Smartwatch Model 850,Smartwatch,340.12,5,16x39x4,Plastic,31.23,4,290.32,29.03,6.74,95.19,7.12,Bio-Polymer,130.1
PROD-0792,Smartwatch Model 566,Smartwatch,1375.36,4,40x17x14,Cardboard,65.08,4,311.79,31.18,7.63,52.62,57.58,Bio-Polymer,171.41
PROD-0793,Tablet Model 343,Tablet,2824.47,3,38x25x3,Cardboard,67.63,1,396.94,39.69,2.25,24.23,97.71,Recycled PET,234.51
PROD-0794,Tablet Model 948,Tablet,2860.86,3,46x32x16,Plastic,82.25,2,407.87,40.79,5.95,24.77,97.43,Recycled PET,238.74
PROD-0795,Camera Model 606,Camera,756.03,1,39x18x19,Cardboard,29.92,4,105.02,10.5,5.58,88.43,12.65,Recycled PET,72.23
PROD-0796,Headphones Model 581,Headphones,1891.13,2,23x23x2,Plastic,62.61,2,125.95,12.6,4.08,38.24,77.12,Bio-Polymer,147.85
PROD-0797,Smartphone Model 253,Smartphone,1448.52,1,39x24x9,Cardboard,67.87,2,439.65,43.96,4.93,33.31,80.28,Recycled PET,140.43
PROD-0798,Laptop Model 600,Laptop,2633.27,5,29x21x2,Cardboard,44.8,2,411.56,41.16,5.67,70.41,36.87,Bio-Polymer,257.2
PROD-0799,Smartphone Model 812,Smartphone,850.72,2,42x34x2,Plastic,55.07,1,312.63,31.26,3.89,46.78,65.86,Molded Pulp,112.92
PROD-0800,Smartphone Model 740,Smartphone,60.92,1,17x28x13,Composite,43.84,2,497.4,49.74,3.64,63.45,48.82,Bio-Polymer,76.58
PROD-0801,Smartphone Model 160,Smartphone,529.56,4,41x26x14,Cardboard,44.25,2,370.24,37.02,7.64,84.97,22.79,Recycled PET,132.73
PROD-0802,Tablet Model 715,Tablet,1081.09,5,44x16x10,Plastic,52.08,1,115.76,11.58,1.6,36.97,76.13,Recycled PET,150.59
PROD-0803,Laptop Model 124,Laptop,981.38,3,11x33x8,Plastic,31.03,3,424.86,42.49,3.82,80.52,26.28,Recycled PET,146.45
PROD-0804,Tablet Model 230,Tablet,2384.52,1,21x37x3,Cardboard,47.96,4,213.22,21.32,6.88,74.52,34.04,Recycled PET,165.33
PROD-0805,Laptop Model 328,Laptop,2057.65,5,22x9x2,Cardboard,22.92,1,27.71,2.77,2.88,81.3,19.0,Molded Pulp,189.99
PROD-0806,Smartwatch Model 271,Smartwatch,933.69,5,11x38x4,Plastic,67.76,4,167.5,16.75,6.15,44.39,71.93,Molded Pulp,148.08
PROD-0807,Tablet Model 577,Tablet,1400.34,3,40x39x13,Plastic,42.4,1,384.14,38.41,3.72,60.35,45.87,Bio-Polymer,161.85
PROD-0808,Camera Model 965,Camera,331.9,3,19x8x2,Plastic,60.96,1,480.5,48.05,8.59,63.51,44.34,Recycled PET,118.95
PROD-0809,Smartwatch Model 374,Smartwatch,2699.53,3,20x33x7,Aluminum,52.87,1,145.31,14.53,4.15,49.83,60.46,Molded Pulp,204.29
PROD-0810,Headphones Model 143,Headphones,2809.5,1,41x27x14,Cardboard,21.7,4,130.79,13.08,3.07,84.28,15.73,Molded Pulp,178.85
PROD-0811,Tablet Model 916,Tablet,2940.42,3,48x5x13,Aluminum,76.97,1,286.17,28.62,5.77,30.36,89.82,Molded Pulp,230.81
PROD-0812,Headphones Model 116,Headphones,2612.23,4,31x29x3,Plastic,36.79,1,407.73,40.77,2.22,60.91,46.51,Recycled PET,240.16
PROD-0813,Laptop Model 668,Laptop,563.18,5,22x20x16,Aluminum,54.7,1,375.8,37.58,8.18,69.89,36.65,Molded Pulp,151.17
PROD-0814,Smartphone Model 914,Smartphone,186.28,3,26x38x5,Composite,36.08,4,284.38,28.44,7.12,89.85,12.67,Recycled PET,92.87
PROD-0815,Smartwatch Model 417,Smartwatch,1759.81,5,35x18x9,Plastic,41.82,3,319.38,31.94,7.93,88.05,16.8,Molded Pulp,206.37
PROD-0816,Tablet Model 875,Tablet,2742.18,2,41x9x9,Composite,73.58,1,128.63,12.86,4.59,24.43,92.04,Molded Pulp,188.48
PROD-0817,Headphones Model 180,Headphones,573.19,2,15x33x8,Aluminum,61.46,1,221.96,22.2,8.52,64.45,45.66,Recycled PET,90.72
PROD-0818,Headphones Model 473,Headphones,70.78,3,17x23x4,Composite,65.1,1,135.13,13.51,5.44,41.76,72.22,Recycled PET,73.08
PROD-0819,Camera Model 299,Camera,2426.21,5,38x23x16,Aluminum,12.24,1,443.36,44.34,1.85,91.54,8.05,Recycled PET,250.35
PROD-0820,Smartphone Model 565,Smartphone,276.55,2,40x18x8,Cardboard,50.67,1,65.15,6.52,3.02,50.56,64.35,Molded Pulp,59.43
PROD-0821,Smartphone Model 367,Smartphone,1270.43,3,24x36x15,Cardboard,84.89,3,343.07,34.31,7.4,30.44,92.15,Bio-Polymer,152.01
PROD-0822,Tablet Model 588,Tablet,2052.72,5,35x26x6,Aluminum,54.27,2,137.54,13.75,9.07,76.41,30.0,Bio-Polymer,202.17
PROD-0823,Headphones Model 637,Headphones,748.55,3,35x19x13,Plastic,42.18,2,243.03,24.3,1.86,52.45,57.91,Recycled PET,115.18
PROD-0824,Laptop Model 115,Laptop,297.69,5,21x23x11,Cardboard,91.52,1,156.71,15.67,8.78,23.31,94.02,Recycled PET,115.22
PROD-0825,Smartphone Model 893,Smartphone,2321.56,2,48x38x18,Aluminum,75.93,4,168.39,16.84,8.19,44.07,71.93,Bio-Polymer,172.04
PROD-0826,Headphones Model 185,Headphones,1909.02,3,29x32x16,Plastic,20.58,3,137.59,13.76,4.21,95.04,6.23,Bio-Polymer,163.41
PROD-0827,Laptop Model 490,Laptop,2966.05,2,24x17x12,Cardboard,51.54,3,378.87,37.89,7.2,67.58,37.87,Recycled PET,226.63
PROD-0828,Camera Model 434,Camera,1065.71,3,35x22x10,Aluminum,15.88,3,189.2,18.92,2.68,89.75,8.58,Recycled PET,126.81
PROD-0829,Headphones Model 618,Headphones,232.2,1,32x8x13,Plastic,84.96,2,365.91,36.59,8.32,31.86,86.13,Recycled PET,73.43
PROD-0830,Smartphone Model 982,Smartphone,2216.33,2,49x13x16,Plastic,64.96,4,233.47,23.35,6.92,47.74,62.17,Bio-Polymer,172.92
PROD-0831,Laptop Model 926,Laptop,1589.11,2,36x36x8,Aluminum,77.18,2,278.15,27.82,4.95,22.68,95.64,Bio-Polymer,148.1
PROD-0832,Headphones Model 693,Headphones,678.95,4,25x31x16,Composite,36.31,3,276.21,27.62,8.78,101.68,1.98,Bio-Polymer,131.78
PROD-0833,Camera Model 471,Camera,2356.1,2,40x12x6,Composite,34.4,2,488.17,48.82,2.25,64.49,42.31,Recycled PET,207.86
PROD-0834,Tablet Model 501,Tablet,651.08,5,26x39x11,Composite,40.71,2,189.86,18.99,8.61,93.76,10.44,Molded Pulp,136.13
PROD-0835,Tablet Model 589,Tablet,818.95,3,19x6x11,Composite,25.89,1,111.77,11.18,1.21,69.92,35.05,Bio-Polymer,107.57
