material_type,strength,weight_capacity,biodegradability_score,recyclability_percent,co2_emission_score,product_category,typical_weight,fragility_level,shape,material,recycling,weight,co2_impact_index,cost,cost_efficiency_index,material_suitability_score,final_sustainability_index
Cornstarch Polymer,56,25,31,73,27.19,Baby Products,2.1,Medium,can,metal,recycle,24.35,0.0354735721887194,44.58,0.02193944712593243,30.1,30.157413019314653
Recycled Cardboard,64,19,94,45,13.27,Beverages,0.35,Low,bottle,metal,compost,17.51,0.0700770847932726,49.02,0.01999200319872051,41.3,41.390069087991996
Hemp Fiber,68,18,46,68,25.2,Stationery,1.69,Low,box,paper,reuse,18.67,0.03816793893129771,41.05,0.023781212841854936,37.800000000000004,37.86194915177315
Hemp Fiber,81,29,79,93,10.48,Cosmetics,1.48,Medium,pouch,metal,compost,20.98,0.08710801393728222,41.98,0.02326663564448581,50,50.110374649581765
Algae Bioplastic,43,14,30,86,33.97,Cosmetics,1.58,Medium,box,plastic,compost,29.86,0.028595939376608523,35.6,0.0273224043715847,31.899999999999995,31.955918343748188
Bamboo Fiber,93,4,49,48,20.48,Industrial Parts,0.43,Low,bottle,glass,reuse,16.79,0.04655493482309125,46.38,0.021105951878429716,46.1,46.167660886701526
Recycled Paper,79,10,33,79,22.52,Baby Products,0.46,High,bottle,plastic,reuse,16.54,0.04251700680272109,39.4,0.024752475247524754,43.1,43.167269482050244
Areca Leaf Sheath,50,5,49,49,28.07,Beverages,2.21,Medium,can,glass,reuse,18.13,0.03439972480220158,39.49,0.02469745616201531,33.1,33.15909718096422
Eco-Foam Starch,86,29,38,80,31.08,Cosmetics,0.54,Low,can,plastic,reuse,25.8,0.03117206982543641,54.08,0.01815541031227306,40.7,40.749327480137715
Algae Bioplastic,43,14,30,86,33.97,Cosmetics,1.58,Medium,pouch,plastic,reuse,20.75,0.028595939376608523,32.46,0.029886431560071727,31.899999999999995,31.958482370936675
Recycled HDPE,46,20,49,68,19.31,Healthcare,2.03,Medium,pouch,metal,recycle,21.88,0.049236829148202856,43.63,0.02240645305848084,31.200000000000003,31.271643282206686
Wheat Straw Fiber,80,19,86,99,8.62,Beverages,1.93,Medium,bottle,plastic,recycle,24.03,0.10395010395010396,37.63,0.025886616619207867,55.3,55.42983672056931
Wheat Straw Fiber,80,23,100,82,11.33,Cosmetics,0.76,Medium,bottle,paper,recycle,25.64,0.08110300081103,48.02,0.02039983680130559,53.50000000000001,53.60150283761234
Cassava Biopolymer,70,20,84,95,9.23,Food,0.86,Low,bottle,paper,reuse,16.65,0.09775171065493646,38.09,0.02558199027884369,50.8,50.92333370093378
Paper Pulp Mold,42,25,54,77,32.74,Healthcare,1.66,Low,pouch,paper,reuse,22.61,0.02963841138114997,38.78,0.02513826043237808,31.299999999999997,31.354776671813525
Bamboo Fiber,41,11,83,75,14.12,Industrial Parts,1.65,Low,bottle,paper,reuse,25.76,0.06613756613756615,33.8,0.02873563218390805,40.6,40.694873198321474
Mushroom Packaging,49,11,71,53,14.68,Clothing,0.14,Medium,pouch,metal,compost,21.03,0.06377551020408163,37.59,0.025913449080072554,36.2,36.289688959284156
Coconut Coir,85,5,93,85,26.64,Electronics,0.99,Medium,bottle,paper,recycle,15.91,0.0361794500723589,40.28,0.024224806201550386,59.6,59.660404256273914
Jute Fiber,94,18,56,72,15.32,Food,0.51,Medium,box,plastic,recycle,14.93,0.061274509803921566,52.55,0.018674136321195144,48.4,48.479948646125116
Sugarcane Bagasse,47,19,40,87,9.7,Toys,2.31,Medium,box,paper,compost,22.26,0.09345794392523366,31.08,0.03117206982543641,33.8,33.924630013750665
Recycled PET Blend,61,22,39,48,28.49,Electronics,1.73,Low,bottle,metal,compost,14.24,0.0339097999321804,45.03,0.021724961981316532,29.1,29.155634761913497
PLA Bioplastic,46,11,55,42,15.36,Stationery,0.51,High,box,glass,recycle,15.93,0.06112469437652812,34.3,0.028328611898017,29.899999999999995,29.98945330627454
Bamboo Fiber,41,11,83,75,14.12,Industrial Parts,1.65,Low,pouch,plastic,reuse,17.55,0.06613756613756615,23.31,0.04113533525298231,40.6,40.707272901390546
Cassava Biopolymer,55,21,52,89,14.95,Healthcare,2.4,High,can,plastic,recycle,21.4,0.06269592476489029,41.86,0.02333177788147457,38.400000000000006,38.48602770264637
Palm Leaf Material,43,16,67,92,25.47,Baby Products,0.52,Medium,box,metal,reuse,22.92,0.037778617302606725,26.74,0.036049026676279745,39.900000000000006,39.97382764397889
Mushroom Packaging,45,27,49,55,21.66,Baby Products,1.51,Low,can,glass,recycle,16.45,0.0441306266548985,42.5,0.022988505747126436,26.199999999999996,26.26711913240202
Recycled Cardboard,64,19,94,45,13.27,Beverages,0.35,Low,box,paper,recycle,13.52,0.0700770847932726,45.2,0.021645021645021644,41.3,41.391722106438294
Recycled Cardboard,42,26,61,100,27.25,Food,1.38,Low,pouch,glass,compost,24.08,0.035398230088495575,34.25,0.028368794326241134,37,37.06376702441474
Paper Pulp Mold,65,12,55,94,19.64,Fragile Goods,1.2,Medium,box,plastic,compost,23.38,0.04844961240310077,36.11,0.026946914578280787,45.699999999999996,45.77539652698138
Palm Leaf Material,46,16,72,68,19.3,Baby Products,2.65,High,box,plastic,reuse,22.35,0.04926108374384236,37.71,0.025833118057349523,37,37.07509420180119
Cassava Biopolymer,66,18,83,42,32.46,Home Decor,0.85,High,bottle,plastic,reuse,21.88,0.029886431560071727,46.9,0.020876826722338204,39.400000000000006,39.450763258282414
Coconut Coir,66,18,52,64,20.43,Stationery,2.76,Medium,can,glass,recycle,18.01,0.04666355576294914,42.54,0.02296738631143776,37.6,37.669630942074384
Bamboo Fiber,91,30,75,47,26.74,Food,0.99,Low,can,paper,compost,19.11,0.036049026676279745,61.42,0.016020506247997435,42.699999999999996,42.752069532924274
Jute Fiber,81,8,70,80,14.85,Stationery,0.45,Low,pouch,plastic,reuse,20.38,0.06309148264984227,38.04,0.025614754098360656,51.9,51.98870623674821
Eco-Foam Starch,86,29,38,80,31.08,Cosmetics,0.54,Low,pouch,metal,reuse,15.79,0.03117206982543641,57.23,0.017173278378842523,40.7,40.74834534820428
Recycled Paper,47,27,80,98,17.97,Cosmetics,1.83,Medium,can,paper,reuse,21.92,0.05271481286241434,36.27,0.026831231553528304,41.6,41.67954604441594
Coconut Coir,85,5,93,85,26.64,Electronics,0.99,Medium,bottle,plastic,recycle,20.6,0.0361794500723589,40.87,0.02388344877000239,59.6,59.66006289884236
Paper Pulp Mold,55,10,51,55,14.2,Toys,1.57,High,bottle,paper,reuse,19.32,0.06578947368421052,38.91,0.025056376847907794,34.7,34.79084585053212
Bamboo Fiber,52,12,100,82,34.64,Baby Products,0.37,Medium,can,metal,reuse,24.56,0.028058361391694726,37.18,0.026191723415400735,48.4,48.45425008480709
Biodegradable Foam,66,12,46,61,19.55,Home Decor,2.51,High,box,glass,compost,19.49,0.048661800486618,41.1,0.023752969121140142,37.6,37.67241476960776
Algae Bioplastic,53,20,100,88,5.81,Food,1.36,High,can,plastic,compost,23.3,0.14684287812041116,29.99,0.032268473701193935,47.5,47.679111351821604
Sugarcane Bagasse,42,30,59,100,16.12,Cosmetics,0.42,High,box,metal,compost,14.06,0.05841121495327103,35.41,0.027464982147761607,35.4,35.485876197101035
Cornstarch Polymer,56,25,31,73,27.19,Baby Products,2.1,Medium,can,plastic,recycle,24.2,0.0354735721887194,40.46,0.024119633381572598,30.1,30.159593205570296
Coconut Coir,85,5,93,85,26.64,Electronics,0.99,Medium,box,plastic,compost,23.02,0.0361794500723589,37.08,0.026260504201680673,59.6,59.66243995427404
Algae Bioplastic,73,29,43,97,25.16,Stationery,1.41,Medium,bottle,glass,compost,30.81,0.0382262996941896,46.28,0.021150592216582064,41.2,41.259376891910776
Cornstarch Polymer,47,5,32,84,27.88,Home Decor,2.36,Medium,can,glass,compost,28,0.03462603878116344,31.3,0.030959752321981428,35.8,35.86558579110314
Cassava Biopolymer,73,17,40,59,5.52,Fragile Goods,1.31,Medium,pouch,paper,compost,24.68,0.15337423312883436,44.22,0.022114108801415303,36.6,36.775488341930256
Recycled Cardboard,40,5,76,50,28.84,Cosmetics,2.88,Low,box,metal,reuse,17.31,0.03351206434316354,33.31,0.029146021568055958,35.7,35.76265808591122
Recycled Paper,53,28,43,96,15.56,Food,2.79,Medium,bottle,metal,recycle,15.57,0.06038647342995168,42.36,0.023062730627306273,35.300000000000004,35.383449204057264
Areca Leaf Sheath,53,25,90,79,11.38,Clothing,2.36,High,pouch,glass,reuse,16.37,0.08077544426494346,39.46,0.024715768660405337,42.2,42.305491212925354
Recycled Cardboard,42,26,61,100,27.25,Food,1.38,Low,bottle,plastic,reuse,22.55,0.035398230088495575,41.13,0.023736055067647754,37,37.05913428515615
Recycled PET Blend,46,4,72,73,34.68,Healthcare,1.24,Low,box,paper,recycle,26.47,0.028026905829596414,31.36,0.030902348578491966,41.599999999999994,41.658929254408086
Biodegradable Foam,74,18,60,93,34.76,Food,1.91,Low,can,glass,reuse,13.95,0.027964205816554812,35.79,0.027181299266104922,47.400000000000006,47.45514550508266
Recycled HDPE,93,22,92,46,7.7,Stationery,0.31,High,bottle,paper,compost,15.78,0.1149425287356322,57.73,0.01702707304614337,48.9,49.031969601781775
Jute Fiber,51,24,30,57,28.66,Baby Products,0.27,Low,can,paper,recycle,20.17,0.033715441672285906,44.91,0.02178174689610107,25.499999999999996,25.55549718856838
Sugarcane Bagasse,47,19,40,87,9.7,Toys,2.31,Medium,can,metal,reuse,14.32,0.09345794392523366,36.04,0.026997840172786176,33.8,33.92045578409802
Coconut Coir,44,27,84,58,33.39,Stationery,0.37,High,bottle,paper,reuse,17.89,0.02907822041291073,45.46,0.02152389151958674,33.5,33.5506021119325
Paper Pulp Mold,82,19,64,95,18.84,Industrial Parts,2.09,Low,bottle,metal,compost,26.22,0.05040322580645162,41.57,0.02349072116513977,50.699999999999996,50.77389394697158
Mushroom Packaging,65,4,81,41,20.36,Electronics,1.92,Low,bottle,plastic,reuse,23.61,0.04681647940074907,36.66,0.026553372278279343,42.7,42.77336985167903
Bamboo Fiber,64,4,69,81,34.12,Beverages,2.51,Medium,can,plastic,reuse,24.15,0.028473804100227793,32.78,0.02960331557134399,48,48.05807711967157
Cassava Biopolymer,79,7,66,59,30.15,Clothing,1.75,Low,pouch,glass,reuse,15.08,0.03210272873194222,40.86,0.023889154323936932,46.6,46.65599188305588
Paper Pulp Mold,55,10,51,55,14.2,Toys,1.57,High,box,plastic,recycle,11.27,0.06578947368421052,35.18,0.027639579878385848,34.7,34.7934290535626
Eco-Foam Starch,50,10,58,72,11.78,Beverages,2.09,Low,pouch,metal,recycle,17.85,0.0782472613458529,33.54,0.02895193977996526,38,38.107199201125816
Eco-Foam Starch,91,15,59,68,34.92,Healthcare,1.19,High,can,paper,reuse,8.36,0.027839643652561245,54.7,0.017953321364452424,48.2,48.24579296501702
PLA Bioplastic,79,25,53,98,13.96,Electronics,2.61,Medium,bottle,paper,reuse,22.26,0.06684491978609625,44.18,0.02213368747233289,46.4,46.48897860725843
Paper Pulp Mold,55,10,51,55,14.2,Toys,1.57,High,bottle,plastic,compost,23.74,0.06578947368421052,33.33,0.029129041654529567,34.7,34.79491851533874
Biodegradable Foam,95,20,91,97,9.21,Healthcare,2.3,Low,box,metal,recycle,16.07,0.0979431929480901,46.35,0.021119324181626188,60.10000000000001,60.21906251712972
Jute Fiber,81,8,70,80,14.85,Stationery,0.45,Low,box,paper,recycle,22.91,0.06309148264984227,42.37,0.023057412958266084,51.9,51.98614889560811
Recycled PET Blend,61,30,41,92,8.54,Stationery,0.76,Low,pouch,plastic,recycle,22.88,0.10482180293501049,38.92,0.0250501002004008,35.900000000000006,36.02987190313542
Mushroom Packaging,65,4,81,41,20.36,Electronics,1.92,Low,pouch,metal,reuse,14.39,0.04681647940074907,39.93,0.024431956999755682,42.7,42.771248436400505
Eco-Foam Starch,47,14,78,100,23.62,Baby Products,2.82,Low,box,metal,compost,18,0.04061738424045491,28.51,0.03388681802778719,45.5,45.574504202268244
PLA Bioplastic,77,13,93,49,11.72,Industrial Parts,2.86,Medium,can,paper,compost,17.66,0.07861635220125786,43.62,0.02241147467503362,47.6,47.70102782687629
Recycled PET Blend,88,15,47,51,28.77,Healthcare,1.3,High,pouch,glass,reuse,24.66,0.03359086328518643,53.52,0.018341892883345562,41.5,41.55193275616853
Areca Leaf Sheath,41,5,33,47,15.06,Toys,0.98,Medium,bottle,glass,reuse,23.66,0.062266500622665,31.54,0.03073140749846343,26.799999999999997,26.892997908121128
Hemp Fiber,65,20,65,68,18,Beverages,0.48,Low,bottle,metal,compost,22.86,0.05263157894736842,43.96,0.02224199288256228,40.1,40.174873571829934
Palm Leaf Material,50,17,100,90,33.2,Beverages,0.65,High,can,metal,compost,17.19,0.029239766081871343,31.16,0.031094527363184084,47.9,47.96033429344506
Bamboo Fiber,64,4,69,81,34.12,Beverages,2.51,Medium,box,plastic,recycle,26.83,0.028473804100227793,32.1,0.030211480362537763,48,48.05868528446277
Recycled HDPE,41,19,42,62,19.8,Stationery,2.54,High,pouch,metal,reuse,20.91,0.04807692307692307,38.55,0.025284450063211127,27.400000000000002,27.473361373140136
Mushroom Packaging,46,20,55,85,25.86,Stationery,1.84,Medium,bottle,plastic,recycle,22.48,0.03723008190618019,33.27,0.02918004085205719,35.8,35.86641012275823
Wheat Straw Fiber,76,20,45,84,27.3,Food,0.39,Low,box,plastic,compost,28.65,0.0353356890459364,48.91,0.02003606491685033,42.6,42.65537175396279
Paper Pulp Mold,49,20,94,76,22.51,Healthcare,0.8,Low,pouch,plastic,recycle,23.31,0.042535091450446615,35.55,0.02735978112175103,42.7,42.7698948725722
Areca Leaf Sheath,53,25,90,79,11.38,Clothing,2.36,High,can,metal,compost,19.4,0.08077544426494346,39.41,0.024746349913387776,42.2,42.30552179417833
Coconut Coir,76,28,50,59,31.35,Fragile Goods,0.4,Medium,bottle,metal,compost,17.51,0.030911901081916538,55.93,0.01756543123133673,36.199999999999996,36.24847733231325
Recycled Cardboard,80,16,97,41,22.82,Stationery,0.98,Medium,can,plastic,recycle,11.33,0.041981528127623846,46.83,0.020907380305247754,46.80000000000001,46.86288890843288
Algae Bioplastic,71,21,93,48,17.89,Stationery,2.92,Low,can,paper,reuse,12.17,0.05293806246691371,43.71,0.022366360993066426,43.20000000000001,43.27530442345999
Recycled PET Blend,61,22,39,48,28.49,Electronics,1.73,Low,can,metal,recycle,24.28,0.0339097999321804,42.97,0.022742779167614285,29.1,29.156652579099795
Hemp Fiber,83,8,64,46,31.99,Healthcare,2.75,Medium,pouch,glass,recycle,10.12,0.030312215822976666,51.69,0.018978933383943825,44.50000000000001,44.54929114920692
Eco-Foam Starch,65,21,47,84,13.57,Healthcare,0.35,High,can,paper,reuse,25.06,0.06863417982155114,37.9,0.02570694087403599,39.400000000000006,39.494341120695594
Hemp Fiber,45,27,80,95,23.02,Industrial Parts,1.9,Low,pouch,glass,reuse,24.02,0.041631973355537054,42.98,0.02273760800363802,40.4,40.46436958135917
Recycled Paper,52,22,99,91,19.71,Baby Products,2.41,High,pouch,metal,recycle,15.68,0.048285852245292124,33.68,0.02883506343713956,46.99999999999999,47.07712091568243
Hemp Fiber,83,16,71,89,30.61,Food,2.22,Medium,can,paper,compost,20.91,0.03163555836760519,43.71,0.022366360993066426,52.10000000000001,52.15400191936068
Mushroom Packaging,42,9,68,85,5.46,Fragile Goods,1.45,Low,can,metal,recycle,22.88,0.15479876160990713,30.27,0.03197953309881676,40.5,40.68677829470873
Areca Leaf Sheath,41,5,33,47,15.06,Toys,0.98,Medium,box,metal,compost,20.46,0.062266500622665,37.92,0.025693730729701953,26.799999999999997,26.887960231352366
Recycled HDPE,67,14,66,64,34.49,Cosmetics,1.31,Low,bottle,paper,reuse,26.16,0.02817695125387433,48.93,0.02002803925495694,41.89999999999999,41.94820499050883
Cassava Biopolymer,75,10,51,96,23.73,Toys,1.9,Low,box,metal,reuse,13.04,0.040436716538617065,39.3,0.02481389578163772,48.900000000000006,48.96525061232026
Hemp Fiber,75,17,59,88,18.54,Clothing,1.84,Low,bottle,paper,compost,22.52,0.0511770726714432,43.33,0.022558087074216106,46.8,46.87373515974566
Areca Leaf Sheath,72,28,92,50,22.57,Fragile Goods,1.53,Medium,bottle,metal,recycle,16.96,0.04242681374628765,54.63,0.017975912277548085,41.6,41.66040272602384
Cornstarch Polymer,67,10,92,93,20.52,Clothing,2.57,Low,box,plastic,reuse,11.31,0.04646840148698885,35.89,0.027107617240444564,54.1,54.17357601872744
Jute Fiber,81,22,46,91,22.42,Food,2.35,High,box,glass,compost,14.2,0.04269854824935952,42.69,0.022888532845044635,45.1,45.16558708109441
Mushroom Packaging,65,4,81,41,20.36,Electronics,1.92,Low,bottle,plastic,compost,17.38,0.04681647940074907,37.88,0.025720164609053495,42.7,42.772536644009804
Paper Pulp Mold,81,29,46,41,30.18,Healthcare,1.85,Low,bottle,metal,recycle,20.12,0.03207184092366902,58.61,0.016775708773695688,33,33.04884754969736
Algae Bioplastic,73,29,43,97,25.16,Stationery,1.41,Medium,bottle,metal,compost,15.49,0.0382262996941896,44.01,0.022217285047767165,41.2,41.26044358474196
Recycled HDPE,54,6,43,54,29.56,Cosmetics,1.19,High,pouch,metal,compost,17.47,0.032722513089005235,35,0.027777777777777776,33.8,33.86050029086678
Jute Fiber,81,11,69,55,23.06,Toys,0.72,Medium,bottle,plastic,recycle,18.02,0.04156275976724855,48.2,0.02032520325203252,45.800000000000004,45.861887963019285
Jute Fiber,43,19,63,71,7.23,Beverages,0.26,Medium,can,metal,reuse,15.6,0.12150668286755771,36.79,0.026462026991267533,34,34.14796870985882
Recycled HDPE,77,19,42,55,21.28,Industrial Parts,2.86,Medium,can,paper,reuse,17.17,0.04488330341113106,48.99,0.020004000800160033,36.8,36.86488730421129
Paper Pulp Mold,82,19,64,95,18.84,Industrial Parts,2.09,Low,can,glass,reuse,22.86,0.05040322580645162,46.42,0.02108814846056516,50.699999999999996,50.77149137426701
Cassava Biopolymer,55,21,52,89,14.95,Healthcare,2.4,High,box,metal,compost,28.24,0.06269592476489029,32.27,0.030057108506161705,38.400000000000006,38.49275303327106
Hemp Fiber,53,23,77,67,17.21,Stationery,1.66,Low,box,metal,compost,21.04,0.05491488193300384,40.14,0.024307243558580455,37.8,37.87922212549158
Eco-Foam Starch,40,30,76,94,6.31,Toys,2.26,High,box,glass,recycle,20.66,0.13679890560875513,31.68,0.030599755201958383,37,37.16739866081072
Wheat Straw Fiber,76,20,45,84,27.3,Food,0.39,Low,bottle,glass,compost,19.6,0.0353356890459364,38.13,0.02555583950932788,42.6,42.66089152855527
Mushroom Packaging,69,27,69,67,33.51,Baby Products,0.8,Low,can,glass,compost,18.05,0.028977108084613158,48.9,0.02004008016032064,39.8,39.84901718824493
Bamboo Fiber,57,24,93,70,11.28,Clothing,0.45,High,bottle,plastic,reuse,22.88,0.08143322475570033,40.86,0.023889154323936932,42.5,42.60532237907964
Coconut Coir,67,7,86,81,15,Electronics,1.02,Low,pouch,plastic,compost,24.92,0.0625,38.44,0.025354969574036514,51.4,51.48785496957404
Bamboo Fiber,41,11,83,75,14.12,Industrial Parts,1.65,Low,pouch,metal,compost,14.19,0.06613756613756615,31.1,0.03115264797507788,40.6,40.69729021411264
Cassava Biopolymer,92,6,96,46,22.15,Food,0.43,Low,box,glass,compost,25.19,0.04319654427645789,45.54,0.021486892995272885,54.2,54.26468343727173
Palm Leaf Material,75,9,90,71,6.69,Industrial Parts,0.81,Low,pouch,metal,recycle,28.13,0.13003901170351104,44.03,0.02220741727737064,52,52.15224642898088
Algae Bioplastic,74,10,75,99,6.62,Clothing,1.64,Low,can,metal,compost,14.96,0.13123359580052493,36.73,0.0265041081367612,54,54.157737703937286
Bamboo Fiber,41,11,83,75,14.12,Industrial Parts,1.65,Low,pouch,metal,recycle,24.6,0.06613756613756615,30.96,0.03128911138923655,40.6,40.6974266775268
Recycled Paper,47,27,80,98,17.97,Cosmetics,1.83,Medium,box,plastic,reuse,28.18,0.05271481286241434,34.12,0.028473804100227793,41.6,41.68118861696264
Mushroom Packaging,49,11,71,53,14.68,Clothing,0.14,Medium,bottle,glass,compost,23.58,0.06377551020408163,33.19,0.029248318221702253,36.2,36.29302382842579
Recycled Cardboard,77,6,43,68,23.23,Electronics,1.5,Medium,pouch,metal,recycle,19.12,0.041271151465125874,38.71,0.025182573659027953,43.5,43.566453725124155
Cornstarch Polymer,53,13,88,87,31.7,Beverages,0.97,Low,can,plastic,reuse,23.89,0.030581039755351678,36.44,0.02670940170940171,47.00000000000001,47.057290441464765
Coconut Coir,94,30,90,79,6.84,Food,0.11,Low,can,paper,compost,15.94,0.12755102040816327,58.74,0.016739203213927016,53,53.14429022362209
PLA Bioplastic,78,25,54,77,25.27,Baby Products,2.96,Low,can,paper,recycle,18.44,0.03806623524933384,52.66,0.018635855385762207,42.1,42.15670209063509
Palm Leaf Material,57,27,90,42,7.08,Healthcare,1.77,Low,bottle,metal,recycle,16.34,0.12376237623762376,46.44,0.021079258010118045,35.39999999999999,35.54484163424773
Bamboo Fiber,91,30,75,47,26.74,Food,0.99,Low,can,metal,reuse,13.26,0.036049026676279745,57.22,0.017176228100309172,42.699999999999996,42.75322525477659
Algae Bioplastic,43,5,61,69,34.58,Cosmetics,0.37,Medium,box,glass,compost,20.21,0.028105677346824058,30.48,0.03176620076238882,37.400000000000006,37.45987187810922
Bamboo Fiber,91,30,75,47,26.74,Food,0.99,Low,box,glass,compost,21.52,0.036049026676279745,55.27,0.01777145903678692,42.699999999999996,42.753820485713064
Hemp Fiber,61,29,53,58,17.13,Beverages,2.12,Medium,can,metal,compost,23.31,0.05515719801434087,48.88,0.020048115477145148,31.8,31.875205313491488
Recycled PET Blend,74,11,31,100,34.83,Beverages,2.22,Medium,pouch,plastic,recycle,2.39,0.027909572983533353,35.74,0.02721829069134458,45.1,45.15512786367488
Recycled HDPE,54,6,43,54,29.56,Cosmetics,1.19,High,can,metal,compost,20.91,0.032722513089005235,34.96,0.027808676307007785,33.8,33.86053118939601
Palm Leaf Material,43,16,67,92,25.47,Baby Products,0.52,Medium,box,glass,recycle,20.39,0.037778617302606725,25.26,0.03808073115003808,39.900000000000006,39.97585934845265
Recycled Cardboard,85,9,89,40,24.53,Healthcare,1.19,Medium,box,glass,recycle,14.55,0.03916960438699569,50.99,0.019234468166955183,48.599999999999994,48.65840407255395
Hemp Fiber,71,29,40,90,11.6,Electronics,0.37,Low,box,plastic,reuse,17.78,0.07936507936507936,42.36,0.023062730627306273,38.599999999999994,38.702427809992386
Paper Pulp Mold,93,15,62,89,6.04,Clothing,0.86,High,pouch,metal,recycle,23.77,0.14204545454545456,39.69,0.024576062914721062,53.599999999999994,53.766621517460166
Wheat Straw Fiber,90,11,100,95,25.83,Beverages,1.06,Medium,pouch,glass,reuse,20.49,0.03727171077152441,32.47,0.02987750224081267,62.7,62.767149213012345
Eco-Foam Starch,42,23,61,43,6.01,Food,0.81,Low,pouch,metal,reuse,19.91,0.14265335235378032,41.02,0.023798191337458353,26.5,26.666451543691238
Sugarcane Bagasse,74,16,100,70,10.33,Fragile Goods,0.52,Medium,box,glass,compost,24.46,0.088261253309797,47.55,0.02059732234809475,51.400000000000006,51.5088585756579
Wheat Straw Fiber,80,23,100,82,11.33,Cosmetics,0.76,Medium,bottle,paper,reuse,31.57,0.08110300081103,50.22,0.01952362358453729,53.50000000000001,53.600626624395574
Bamboo Fiber,57,5,66,62,30.15,Clothing,1.34,Low,can,paper,compost,18.79,0.03210272873194222,33.84,0.028702640642939148,41.199999999999996,41.26080536937488
Areca Leaf Sheath,66,8,65,59,16.72,Home Decor,2.33,High,can,paper,reuse,21.23,0.05643340857787811,36.87,0.02640612622128334,42.199999999999996,42.28283953479916
Coconut Coir,95,10,96,100,27.99,Baby Products,2.02,Medium,box,glass,recycle,15.54,0.03449465332873405,42.71,0.022878059940517045,64.7,64.75737271326926
Recycled PET Blend,61,24,42,64,18.25,Cosmetics,0.48,Low,pouch,plastic,compost,30.72,0.05194805194805195,41.33,0.023623907394283016,32.3,32.37557195934233
Areca Leaf Sheath,90,19,47,46,26.21,Healthcare,2.05,Medium,bottle,paper,recycle,17.3,0.036751194413818446,55.83,0.01759633996128805,39.9,39.9543475343751
PLA Bioplastic,95,20,39,51,21.56,Healthcare,2.18,Low,bottle,glass,compost,10.96,0.044326241134751775,57.75,0.01702127659574468,40.5,40.561347517730496
Wheat Straw Fiber,59,12,54,99,22.02,Electronics,2.56,High,pouch,metal,recycle,23.11,0.043440486533449174,34.78,0.02794857462269424,44.699999999999996,44.771389061156135
Hemp Fiber,45,27,80,95,23.02,Industrial Parts,1.9,Low,can,paper,reuse,11.95,0.041631973355537054,35,0.027777777777777776,40.4,40.46940975113331
Recycled PET Blend,74,11,31,100,34.83,Beverages,2.22,Medium,can,plastic,compost,26.48,0.027909572983533353,35.57,0.027344818156959255,45.1,45.155254391140495
Recycled HDPE,52,27,46,96,6.73,Toys,2.45,Low,bottle,plastic,compost,22.95,0.129366106080207,32.94,0.029463759575721865,35.9,36.05882986565592
Algae Bioplastic,53,20,100,88,5.81,Food,1.36,High,bottle,plastic,compost,14.86,0.14684287812041116,31.4,0.0308641975308642,47.5,47.67770707565128
Coconut Coir,45,19,73,69,10.01,Baby Products,1.93,Low,pouch,metal,reuse,23.35,0.09082652134423251,34.52,0.02815315315315315,36.2,36.31897967449739
Jute Fiber,53,29,95,89,21.87,Beverages,1.03,High,can,metal,recycle,18.33,0.043725404459991256,40.89,0.023872045834328,44,44.06759745029432
Biodegradable Foam,50,30,95,60,13.57,Food,1.07,High,bottle,plastic,reuse,22.13,0.06863417982155114,47.1,0.020790020790020788,37,37.089424200611575
Recycled Paper,53,28,43,96,15.56,Food,2.79,Medium,can,plastic,reuse,13.59,0.06038647342995168,34.85,0.02789400278940028,35.300000000000004,35.38828047621936
Paper Pulp Mold,46,17,68,82,23.45,Healthcare,0.75,Medium,bottle,plastic,reuse,13.29,0.0408997955010225,37.72,0.025826446280991736,38.699999999999996,38.76672624178201
Bamboo Fiber,93,4,49,48,20.48,Industrial Parts,0.43,Low,pouch,metal,recycle,21.59,0.04655493482309125,46.53,0.021039343572480537,46.1,46.167594278395576
Biodegradable Foam,50,4,31,73,10.12,Healthcare,1.47,High,can,metal,reuse,29.42,0.08992805755395684,28.35,0.034071550255536626,34.599999999999994,34.72399960780949
Recycled Paper,40,16,73,48,25.59,Healthcare,1.28,High,bottle,glass,compost,16.77,0.037608123354644606,35.72,0.027233115468409588,31.400000000000002,31.464841238823055
Biodegradable Foam,69,9,79,44,13.62,Home Decor,1.16,Medium,bottle,paper,reuse,16.4,0.06839945280437756,35.49,0.027404768429706766,42.599999999999994,42.69580422123408
Cornstarch Polymer,47,5,32,84,27.88,Home Decor,2.36,Medium,bottle,metal,recycle,18.31,0.03462603878116344,30.24,0.03201024327784891,35.8,35.866636282059005
Bamboo Fiber,62,17,90,48,33.97,Clothing,2.62,High,bottle,plastic,compost,13.38,0.028595939376608523,48.11,0.020362451639177357,41.099999999999994,41.14895839101578
Hemp Fiber,52,30,57,84,27.23,Healthcare,2.54,High,pouch,paper,recycle,22.76,0.035423308537017355,40.68,0.02399232245681382,34.8,34.85941563099383
Palm Leaf Material,69,30,48,53,21.57,Stationery,0.82,Medium,can,metal,reuse,24.51,0.044306601683650866,52.46,0.018705574261129815,31.900000000000006,31.963012175944787
Palm Leaf Material,82,5,94,61,17.55,Toys,0.52,High,can,paper,recycle,22.41,0.053908355795148244,43.2,0.02262443438914027,54.1,54.1765327901843
Cassava Biopolymer,79,7,66,59,30.15,Clothing,1.75,Low,box,glass,compost,19.15,0.03210272873194222,38.73,0.025169896803423106,46.6,46.65727262553537
